Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 8,8,Ja'Marr Chase,WR,Dak Stinks,289.45,20.67,317.4,24.42,13,100.0,A+,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
1 - 7,7,Saquon Barkley,RB,Olave Another,252.41,18.03,300.0,23.08,13,99.67,A+,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
13 - 3,123,Brock Bowers,TE,I'm Batman,144.0,9.6,205.7,15.82,13,97.25,A+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
12 - 7,117,Chuba Hubbard,RB,Division iPad,136.19,9.73,200.2,15.4,13,95.21,A,{A279F58E-795F-4115-B9F5-8E795F7115FC}
2 - 9,19,Derrick Henry,RB,Chicken Fried Chicken Meal,225.04,16.07,254.2,19.55,13,94.75,A,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
3 - 10,30,Alvin Kamara,RB,All my homies hate Dallas,231.09,16.51,248.3,19.1,13,93.95,A,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
4 - 4,34,Lamar Jackson,QB,Olave Another,303.83,20.26,321.4,24.72,13,93.72,A,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
10 - 8,98,Chase Brown,RB,I'm Batman,166.97,11.93,201.7,15.52,13,92.6,A-,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
8 - 2,72,David Montgomery,RB,Patrick's Stars,177.34,12.67,214.22,16.48,13,92.13,A-,{99C913F4-1FF6-4361-93D2-117EA19F759C}
7 - 1,61,Joe Burrow,QB,Metcalves of Steele,278.72,18.58,284.04,21.85,13,92.1,A-,{5E530C03-3F19-48F0-A309-52B769E76347}
14 - 6,136,Jared Goff,QB,It's Britney's Bench,234.9,15.66,223.0,17.15,13,91.91,A-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
13 - 10,130,Bucky Irving,RB,All my homies hate Dallas,112.11,8.01,173.5,13.35,13,91.82,A-,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
13 - 1,121,Jayden Daniels,QB,Metcalves of Steele,255.91,17.06,261.76,20.14,13,91.65,A-,{5E530C03-3F19-48F0-A309-52B769E76347}
3 - 8,28,Josh Jacobs,RB,Dak Stinks,216.51,15.46,228.3,17.56,13,90.97,A-,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
4 - 6,36,Josh Allen,QB,It's Britney's Bench,313.58,20.91,303.62,23.36,13,90.55,A-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
2 - 7,17,Jahmyr Gibbs,RB,Division iPad,238.5,17.04,236.8,18.22,13,90.51,A-,{A279F58E-795F-4115-B9F5-8E795F7115FC}
7 - 5,65,George Kittle,TE,It's Britney's Bench,175.43,11.7,194.1,16.18,12,90.22,A-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
9 - 8,88,Jaxon Smith-Njigba,WR,Dak Stinks,191.39,12.76,199.2,15.32,13,89.97,B+,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
2 - 5,15,Kyren Williams,RB,3rd World Immigrant,232.87,16.63,236.0,16.86,14,89.92,B+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
1 - 2,2,Bijan Robinson,RB,Chicken Fried Chicken Meal,292.77,20.91,246.8,18.98,13,89.52,B+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
4 - 8,38,De'Von Achane,RB,I'm Batman,211.07,15.08,230.4,17.72,13,89.12,B+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
11 - 1,101,Steelers D/ST,D/ST,Metcalves of Steele,137.59,8.09,137.0,10.54,13,88.97,B+,{5E530C03-3F19-48F0-A309-52B769E76347}
16 - 10,160,Jerry Jeudy,WR,Metcalves of Steele,176.72,11.78,181.4,13.95,13,88.48,B+,{5E530C03-3F19-48F0-A309-52B769E76347}
8 - 6,76,Terry McLaurin,WR,It's Britney's Bench,193.47,12.9,202.8,15.6,13,88.15,B+,{30B3E10C-D363-4E74-8961-7D4829DE152A}
6 - 7,57,James Conner,RB,Division iPad,177.8,13.68,193.6,14.89,13,88.08,B+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
4 - 3,33,Joe Mixon,RB,Dak Stinks,218.62,15.62,212.1,21.21,10,87.84,B+,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
11 - 4,104,Jordan Love,QB,Division iPad,206.72,17.23,188.06,17.1,11,87.77,B+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
6 - 5,55,Trey McBride,TE,3rd World Immigrant,182.3,12.15,177.3,14.78,12,87.56,B+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
10 - 7,97,Brian Thomas Jr.,WR,Division iPad,171.63,11.44,182.1,14.01,13,87.44,B+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
4 - 1,31,Jalen Hurts,QB,All my homies hate Dallas,314.32,20.95,282.48,21.73,13,87.22,B+,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
16 - 4,154,Darnell Mooney,WR,Olave Another,174.04,11.6,174.3,13.41,13,86.93,B,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
14 - 2,132,Jakobi Meyers,WR,Patrick's Stars,175.23,11.68,156.6,14.24,11,86.55,B,{99C913F4-1FF6-4361-93D2-117EA19F759C}
9 - 2,82,Tony Pollard,RB,Chicken Fried Chicken Meal,172.81,12.34,178.0,13.69,13,86.43,B,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
1 - 9,9,Justin Jefferson,WR,Patrick's Stars,282.2,18.81,235.18,18.09,13,86.32,B,{99C913F4-1FF6-4361-93D2-117EA19F759C}
16 - 7,157,Ka'imi Fairbairn,K,Division iPad,135.34,7.96,137.0,10.54,13,85.91,B,{A279F58E-795F-4115-B9F5-8E795F7115FC}
12 - 4,114,J.K. Dobbins,RB,Olave Another,155.48,11.96,166.0,15.09,11,85.9,B,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
9 - 9,89,Courtland Sutton,WR,Patrick's Stars,189.57,12.64,180.8,13.91,13,85.72,B,{99C913F4-1FF6-4361-93D2-117EA19F759C}
6 - 6,56,Aaron Jones,RB,It's Britney's Bench,189.91,13.57,186.5,14.35,13,85.66,B,{30B3E10C-D363-4E74-8961-7D4829DE152A}
15 - 2,142,Justin Herbert,QB,Chicken Fried Chicken Meal,252.01,16.8,196.96,15.15,13,85.6,B,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
1 - 6,6,Amon-Ra St. Brown,WR,3rd World Immigrant,283.98,18.93,226.18,17.4,13,84.74,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
3 - 4,24,James Cook,RB,Division iPad,221.92,15.85,192.7,16.06,12,83.93,B,{A279F58E-795F-4115-B9F5-8E795F7115FC}
10 - 1,91,Jordan Addison,WR,All my homies hate Dallas,188.63,12.58,164.8,14.98,11,83.92,B,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
16 - 2,152,Zach Charbonnet,RB,Patrick's Stars,139.96,10.0,150.3,11.56,13,83.88,B,{99C913F4-1FF6-4361-93D2-117EA19F759C}
3 - 6,26,Drake London,WR,3rd World Immigrant,225.56,15.04,197.3,15.18,13,83.79,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
14 - 4,134,Brandon Aubrey,K,Olave Another,137.32,8.08,127.0,9.77,13,83.73,B,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
12 - 2,112,Najee Harris,RB,Patrick's Stars,174.97,12.5,171.6,13.2,13,83.56,B,{99C913F4-1FF6-4361-93D2-117EA19F759C}
16 - 5,155,Jordan Mason,RB,3rd World Immigrant,82.57,6.35,115.0,9.58,12,83.34,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
8 - 7,77,Kyler Murray,QB,Division iPad,264.09,17.61,222.88,17.14,13,83.31,B,{A279F58E-795F-4115-B9F5-8E795F7115FC}
15 - 10,150,Cameron Dicker,K,All my homies hate Dallas,133.85,7.87,124.0,9.54,13,83.3,B,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
10 - 4,94,Ladd McConkey,WR,Olave Another,178.4,11.89,163.5,13.62,12,83.14,B,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
15 - 6,146,Jake Bates,K,3rd World Immigrant,129.37,7.61,122.0,9.38,13,83.13,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
10 - 10,100,Jayden Reed,WR,Metcalves of Steele,180.45,12.03,168.1,12.93,13,83.11,B,{5E530C03-3F19-48F0-A309-52B769E76347}
5 - 10,50,Malik Nabers,WR,All my homies hate Dallas,222.57,14.84,182.1,16.55,11,82.43,B-,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
1 - 5,5,CeeDee Lamb,WR,It's Britney's Bench,316.73,21.12,219.3,16.87,13,82.23,B-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
2 - 2,12,Garrett Wilson,WR,Patrick's Stars,251.59,16.77,199.2,15.32,13,82.13,B-,{99C913F4-1FF6-4361-93D2-117EA19F759C}
8 - 9,79,Brock Purdy,QB,Chicken Fried Chicken Meal,259.3,17.29,215.46,16.57,13,82.11,B-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
16 - 9,159,Lions D/ST,D/ST,Chicken Fried Chicken Meal,117.28,6.9,112.0,8.62,13,81.62,B-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
5 - 5,45,D'Andre Swift,RB,It's Britney's Bench,180.74,12.91,171.7,13.21,13,81.08,B-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
12 - 5,115,Rico Dowdle,RB,3rd World Immigrant,148.5,10.61,148.6,12.38,12,81.04,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
13 - 6,126,Caleb Williams,QB,3rd World Immigrant,252.19,16.81,204.34,15.72,13,80.82,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
6 - 1,51,DJ Moore,WR,All my homies hate Dallas,223.6,14.91,174.8,13.45,13,80.55,B-,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
5 - 3,43,Nico Collins,WR,I'm Batman,229.68,15.31,156.2,19.52,8,80.24,B-,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
2 - 3,13,Puka Nacua,WR,Dak Stinks,257.99,17.2,170.1,18.9,9,79.74,C+,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
12 - 1,111,Tua Tagovailoa,QB,All my homies hate Dallas,240.5,16.03,165.24,18.36,9,79.36,C+,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
15 - 9,149,Kirk Cousins,QB,Patrick's Stars,250.92,16.73,169.84,13.06,13,79.3,C+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
5 - 9,49,Patrick Mahomes,QB,Patrick's Stars,307.68,20.51,217.56,16.74,13,79.28,C+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
5 - 4,44,Zay Flowers,WR,Division iPad,216.41,14.43,174.7,13.44,13,79.15,C+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
1 - 3,3,Breece Hall,RB,I'm Batman,289.43,20.67,189.3,15.77,12,78.6,C+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
3 - 9,29,Rachaad White,RB,Patrick's Stars,225.31,16.09,170.1,14.18,12,78.42,C+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
3 - 7,27,Travis Kelce,TE,Olave Another,209.13,13.94,158.3,12.18,13,78.16,C+,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
4 - 2,32,Kenneth Walker III,RB,Patrick's Stars,212.4,15.17,167.3,16.73,10,77.91,C+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
7 - 9,69,Chris Godwin,WR,Patrick's Stars,214.03,14.27,137.8,19.69,7,77.86,C+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
6 - 10,60,George Pickens,WR,Metcalves of Steele,208.97,13.93,155.4,12.95,12,77.53,C+,{5E530C03-3F19-48F0-A309-52B769E76347}
13 - 4,124,Jameson Williams,WR,Division iPad,161.76,10.78,139.6,12.69,11,77.48,C+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
8 - 5,75,Rhamondre Stevenson,RB,3rd World Immigrant,191.88,13.71,154.0,12.83,12,77.33,C+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
4 - 5,35,Cooper Kupp,WR,3rd World Immigrant,217.96,14.53,165.7,16.57,10,77.2,C+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
13 - 7,127,Aaron Rodgers,QB,Olave Another,265.24,17.68,188.24,14.48,13,76.79,C,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
7 - 4,64,David Njoku,TE,Division iPad,170.71,11.38,133.9,13.39,10,76.64,C,{A279F58E-795F-4115-B9F5-8E795F7115FC}
6 - 8,58,C.J. Stroud,QB,I'm Batman,276.58,18.44,180.58,13.89,13,75.19,C,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
8 - 1,71,Brian Robinson Jr.,RB,All my homies hate Dallas,178.79,12.77,134.5,13.45,10,75.07,C,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
