Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Chuba Hubbard,RB,Furnace Party,0.0,0.0,163.0,9.59,17,100.0,A+,{895560E7-2F06-4344-BFC6-24F2919D0BB0}
C.J. Stroud,QB,India's Most Wanted,0.0,0.0,275.52,18.37,15,98.35,A+,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Browns D/ST,D/ST,MPT Phase Tua,0.0,0.0,178.0,10.47,17,97.33,A+,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
Nick Folk,K,Pineapples and Tartar Sauce,129.33,7.61,128.0,7.53,17,95.45,A,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
Kyren Williams,RB,3rd World Immigrant,0.0,0.0,239.0,19.92,12,95.27,A,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Jerome Ford,RB,Chicken Fried Chicken Meal,0.0,0.0,189.2,11.13,17,93.84,A,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Jaguars D/ST,D/ST,Arm Pitts,0.0,0.0,114.0,6.71,17,93.05,A,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
Brandon Aubrey,K,Brady Gaga,120.21,7.07,173.0,10.18,17,92.71,A-,{99C913F4-1FF6-4361-93D2-117EA19F759C}
Puka Nacua,WR,3rd World Immigrant,0.0,0.0,246.0,14.47,17,92.49,A-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Trey McBride,TE,Brady Gaga,54.82,3.65,141.0,8.29,17,89.0,B+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
Rashee Rice,WR,India's Most Wanted,0.0,0.0,173.0,10.81,16,85.15,B,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Brandon McManus,K,India's Most Wanted,130.67,7.69,135.0,7.94,17,85.12,B,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Jayden Reed,WR,Chicken Fried Chicken Meal,0.0,0.0,185.2,11.58,16,84.29,B,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Baker Mayfield,QB,Here 4 fun,0.0,0.0,274.06,16.12,17,82.24,B-,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
Gus Edwards,RB,Brady Gaga,0.0,0.0,181.0,10.65,17,80.7,B-,{99C913F4-1FF6-4361-93D2-117EA19F759C}
Chris Boswell,K,Here 4 fun,122.38,7.2,129.0,7.59,17,79.58,C+,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
Texans D/ST,D/ST,India's Most Wanted,0.0,0.0,132.0,7.76,17,79.06,C+,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Jason Sanders,K,MPT Phase Tua,124.49,7.32,137.0,8.06,17,77.51,C+,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
Zack Moss,RB,MOTHER MAY I,0.0,0.0,156.1,11.15,14,77.29,C+,{5E530C03-3F19-48F0-A309-52B769E76347}
Matthew Stafford,QB,Arm Pitts,0.0,0.0,243.1,16.21,15,76.27,C,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
Jordan Love,QB,Chicken Fried Chicken Meal,0.0,0.0,319.06,18.77,17,75.98,C,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Tyjae Spears,RB,3rd World Immigrant,0.0,0.0,127.8,7.52,17,75.41,C,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Curtis Samuel,WR,MPT Phase Tua,0.0,0.0,126.2,7.89,16,74.99,C,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
Brock Purdy,QB,"Baby Chark, Juju Juju ",0.0,0.0,295.6,18.48,16,74.69,C,{30B3E10C-D363-4E74-8961-7D4829DE152A}
Joshua Palmer,WR,MOTHER MAY I,0.0,0.0,87.7,7.97,11,74.24,C,{5E530C03-3F19-48F0-A309-52B769E76347}
Rams D/ST,D/ST,3rd World Immigrant,0.0,0.0,84.0,4.94,17,72.26,C-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Broncos D/ST,D/ST,3rd World Immigrant,0.0,0.0,104.0,6.12,17,70.64,C-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Jonnu Smith,TE,MOTHER MAY I,0.0,0.0,99.2,5.84,17,70.04,C-,{5E530C03-3F19-48F0-A309-52B769E76347}
Taysom Hill,TE,Arm Pitts,0.0,0.0,127.02,7.94,16,69.79,D+,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
Kareem Hunt,RB,Pineapples and Tartar Sauce,0.0,0.0,111.0,7.4,15,69.13,D+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
Chiefs D/ST,D/ST,India's Most Wanted,0.0,0.0,156.0,9.18,17,67.48,D+,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Ty Chandler,RB,Pineapples and Tartar Sauce,0.0,0.0,90.5,5.32,17,65.95,D,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
Vikings D/ST,D/ST,Arm Pitts,0.0,0.0,120.0,7.06,17,65.61,D,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
Raiders D/ST,D/ST,"Baby Chark, Juju Juju ",0.0,0.0,148.0,8.71,17,65.08,D,{30B3E10C-D363-4E74-8961-7D4829DE152A}
Falcons D/ST,D/ST,Here 4 fun,0.0,0.0,102.0,6.0,17,62.81,D-,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
Hunter Henry,TE,"Baby Chark, Juju Juju ",0.0,0.0,98.9,7.06,14,61.85,D-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
Isaiah Likely,TE,Arm Pitts,48.48,3.23,86.1,5.06,17,60.49,D-,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
Justice Hill,RB,MPT Phase Tua,0.0,0.0,95.3,5.96,16,59.7,F-,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
DeMario Douglas,WR,Pineapples and Tartar Sauce,0.0,0.0,82.7,5.91,14,58.31,F-,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
Josh Downs,WR,Brady Gaga,0.0,0.0,123.1,7.24,17,57.76,F-,{99C913F4-1FF6-4361-93D2-117EA19F759C}
Tank Dell,WR,India's Most Wanted,0.0,0.0,141.5,12.86,11,57.49,F-,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Colts D/ST,D/ST,Chicken Fried Chicken Meal,0.0,0.0,127.0,7.47,17,55.66,F-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Kendrick Bourne,WR,Chicken Fried Chicken Meal,0.0,0.0,81.5,10.19,8,55.07,F-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Latavius Murray,RB,Furnace Party,37.46,2.68,74.4,4.65,16,53.66,F-,{895560E7-2F06-4344-BFC6-24F2919D0BB0}
Robert Woods,WR,"Baby Chark, Juju Juju ",0.0,0.0,69.3,4.95,14,50.31,F-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
Zamir White,RB,MPT Phase Tua,0.0,0.0,66.4,3.91,17,49.2,F-,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
D'Onta Foreman,RB,MOTHER MAY I,0.0,0.0,85.7,8.57,10,47.56,F-,{5E530C03-3F19-48F0-A309-52B769E76347}
Kyler Murray,QB,3rd World Immigrant,0.0,0.0,146.36,18.3,8,43.84,F-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Jake Browning,QB,Arm Pitts,0.0,0.0,143.94,15.99,9,42.45,F-,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
Packers D/ST,D/ST,Pineapples and Tartar Sauce,0.0,0.0,112.0,6.59,17,41.81,F-,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
Zay Jones,WR,"Baby Chark, Juju Juju ",0.0,0.0,61.1,6.79,9,41.71,F-,{30B3E10C-D363-4E74-8961-7D4829DE152A}
Noah Brown,WR,Chicken Fried Chicken Meal,0.0,0.0,85.1,8.51,10,10.0,F-,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
