Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 6,6,Christian McCaffrey,RB,Team Padodara,0.0,0.0,372.8,23.3,16,100.0,A+,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
2 - 8,18,CeeDee Lamb,WR,Killler jatt ,0.0,0.0,355.7,20.92,17,96.27,A,{60C8783C-68C6-446B-8A96-6FF3C6BDC774}
3 - 7,27,Josh Allen,QB,BurgerBoyz,0.0,0.0,383.64,22.57,17,95.65,A,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
1 - 5,5,Tyreek Hill,WR,Team bhalani,0.0,0.0,339.9,21.24,16,94.83,A,{0E22E7FC-569B-49C8-A313-22E034A6865F}
11 - 6,106,Dak Prescott,QB,Team Padodara,0.0,0.0,326.34,19.2,17,94.13,A,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
2 - 10,20,Jalen Hurts,QB,NoHalfSends,0.0,0.0,340.82,20.05,17,90.85,A-,{6A39F767-40D1-4825-B0A7-1D20433A3184}
10 - 5,95,Raheem Mostert,RB,Team Padodara,0.0,0.0,259.2,17.28,15,90.32,A-,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
3 - 9,29,Lamar Jackson,QB,"All Barkley, No Bite",0.0,0.0,316.72,19.8,16,88.57,B+,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
2 - 9,19,Amon-Ra St. Brown,WR,Still Rollin',200.57,13.37,289.9,18.12,16,88.56,B+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
15 - 4,144,Nico Collins,WR,Eks Gonna Give It To Ya!,0.0,0.0,232.4,15.49,15,87.75,B+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
6 - 2,52,Breece Hall,RB,"All Barkley, No Bite",0.0,0.0,261.5,15.38,17,86.52,B,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
15 - 1,141,Cowboys D/ST,D/ST,NoHalfSends,0.0,0.0,234.0,13.76,17,85.51,B,{6A39F767-40D1-4825-B0A7-1D20433A3184}
13 - 10,130,Bills D/ST,D/ST,Hark,0.0,0.0,209.0,12.29,17,85.47,B,{8BF15A87-7793-43C2-B15A-87779313C26A}
4 - 9,39,Keenan Allen,WR,Still Rollin',0.0,0.0,237.86,18.3,13,85.42,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
7 - 1,61,DJ Moore,WR,NoHalfSends,0.0,0.0,252.5,14.85,17,84.9,B,{6A39F767-40D1-4825-B0A7-1D20433A3184}
3 - 10,30,Travis Etienne Jr.,RB,Hark,0.0,0.0,259.4,15.26,17,84.71,B,{8BF15A87-7793-43C2-B15A-87779313C26A}
7 - 6,66,Mike Evans,WR,Team Padodara,0.0,0.0,250.0,14.71,17,84.53,B,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
5 - 2,42,Rachaad White,RB,Still Rollin',0.0,0.0,239.9,14.11,17,84.51,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
12 - 10,120,David Njoku,TE,NoHalfSends,0.0,0.0,205.2,12.82,16,84.11,B,{6A39F767-40D1-4825-B0A7-1D20433A3184}
9 - 4,84,Tua Tagovailoa,QB,Eks Gonna Give It To Ya!,0.0,0.0,262.86,15.46,17,83.65,B,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
11 - 2,102,Russell Wilson,QB,Still Rollin',0.0,0.0,236.4,15.76,15,83.37,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
10 - 2,92,Evan Engram,TE,"All Barkley, No Bite",0.0,0.0,230.3,13.55,17,83.28,B,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
16 - 6,156,Sam Howell,QB,Team bhalani,0.0,0.0,225.54,13.27,17,83.23,B,{0E22E7FC-569B-49C8-A313-22E034A6865F}
15 - 3,143,Browns D/ST,D/ST,Killler jatt ,0.0,0.0,219.0,12.88,17,83.09,B,{60C8783C-68C6-446B-8A96-6FF3C6BDC774}
14 - 1,131,Geno Smith,QB,Hark,0.0,0.0,213.26,14.22,15,83.06,B,{8BF15A87-7793-43C2-B15A-87779313C26A}
2 - 6,16,A.J. Brown,WR,Team bhalani,0.0,0.0,251.6,14.8,17,82.72,B-,{0E22E7FC-569B-49C8-A313-22E034A6865F}
5 - 10,50,Trevor Lawrence,QB,Hark,0.0,0.0,248.04,15.5,16,82.55,B-,{8BF15A87-7793-43C2-B15A-87779313C26A}
3 - 5,25,Patrick Mahomes,QB,Team bhalani,0.0,0.0,268.72,16.8,16,82.44,B-,{0E22E7FC-569B-49C8-A313-22E034A6865F}
3 - 1,21,Joe Mixon,RB,NoHalfSends,0.0,0.0,243.0,14.29,17,82.41,B-,{6A39F767-40D1-4825-B0A7-1D20433A3184}
2 - 2,12,Derrick Henry,RB,"All Barkley, No Bite",0.0,0.0,240.66,14.16,17,82.26,B-,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
13 - 1,121,Jakobi Meyers,WR,NoHalfSends,0.0,0.0,183.08,11.44,16,82.15,B-,{6A39F767-40D1-4825-B0A7-1D20433A3184}
5 - 4,44,T.J. Hockenson,TE,Eks Gonna Give It To Ya!,0.0,0.0,221.0,14.73,15,82.03,B-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
8 - 10,80,George Kittle,TE,NoHalfSends,0.0,0.0,210.2,13.14,16,81.71,B-,{6A39F767-40D1-4825-B0A7-1D20433A3184}
4 - 5,35,Jahmyr Gibbs,RB,Team Padodara,0.0,0.0,220.1,14.67,15,81.7,B-,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
7 - 9,69,Brandon Aiyuk,WR,"All Barkley, No Bite",0.0,0.0,226.7,14.17,16,81.64,B-,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
12 - 5,115,Dolphins D/ST,D/ST,Team Padodara,0.0,0.0,197.0,11.59,17,81.18,B-,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
9 - 9,89,David Montgomery,RB,"All Barkley, No Bite",0.0,0.0,206.2,14.73,14,80.97,B-,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
4 - 1,31,Deebo Samuel,WR,Hark,0.0,0.0,220.7,14.71,15,80.88,B-,{8BF15A87-7793-43C2-B15A-87779313C26A}
1 - 2,2,Travis Kelce,TE,Still Rollin',0.0,0.0,223.4,14.89,15,80.87,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
7 - 3,63,Justin Herbert,QB,Killler jatt ,0.0,0.0,222.16,17.09,13,80.84,B-,{60C8783C-68C6-446B-8A96-6FF3C6BDC774}
7 - 4,64,James Cook,RB,Eks Gonna Give It To Ya!,0.0,0.0,216.7,12.75,17,80.42,B-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
1 - 1,1,Justin Jefferson,WR,NoHalfSends,0.0,0.0,179.2,17.92,10,80.0,B-,{6A39F767-40D1-4825-B0A7-1D20433A3184}
1 - 3,3,Ja'Marr Chase,WR,Killler jatt ,0.0,0.0,225.72,14.11,16,79.98,C+,{60C8783C-68C6-446B-8A96-6FF3C6BDC774}
5 - 8,48,Justin Fields,QB,Green,0.0,0.0,211.18,16.24,13,79.64,C+,{8EF18ACD-28B1-4DFE-A527-98F4D5D23E5D}
1 - 7,7,Bijan Robinson,RB,BurgerBoyz,0.0,0.0,224.3,13.19,17,79.53,C+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
