Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,LPI,Pick Number,First Pick Points,Top Two Pick Points,Top Four Pick Points,Number of A Grades
The Chase is on,84.41,B,Game of Yards!,1.0,1901.26,1684.24,21-7-0,2024.0,43.0,9,347.0,585.7,989.4000000000001,5.0
Bhals,83.7,B,Brown Munde,6.0,1744.32,1765.94,17-11-0,2024.0,49.0,5,356.5,704.4,1178.6,9.0
The Hungry Dogs,83.56,B,EBC League,2.0,1883.06,1493.16,10-4-0,2024.0,40.0,6,403.0,720.48,1399.42,6.0
Taco Tuesday Everyday,82.25,B-,THE BEST OF THE BEST,2.0,1682.34,1438.1,10-4-0,2024.0,46.0,11,265.98,696.36,1327.28,6.0
Division iPad,82.11,B-,0755 Fantasy Football,2.0,1708.4,1621.36,11-3-0,2024.0,13.0,4,218.2,581.0999999999999,910.1999999999999,5.0
Partners for What's Possible,81.48,B-,Pennoni Younglings,3.0,1719.5,1589.22,9-5-0,2024.0,30.0,8,246.7,487.1,1047.3400000000001,4.0
Team Rodriguez,81.37,B-,THE BEST OF THE BEST,1.0,1832.76,1476.6,13-1-0,2024.0,75.0,12,338.8,678.3,1001.8,3.0
Hungry Dogs,80.28,B-,EBC League,2.0,1843.64,1575.68,11-3-0,2021.0,9.0,1,127.5,342.8,861.0999999999999,2.0
Patrick's Stars,80.27,B-,0755 Fantasy Football,10.0,1771.38,1777.64,7-7-0,2024.0,-8.0,9,317.48,569.38,950.1800000000001,3.0
All my homies hate Dallas,80.19,B-,0755 Fantasy Football,4.0,1671.82,1631.78,8-6-0,2024.0,2.0,10,244.7,461.6,1042.02,4.0
RAJUN CAJUN,79.9,C+,Turf On Grade 2.0,7.0,1582.84,1685.66,4-10-0,2024.0,10.0,4,263.4,626.3,1096.4,6.0
My Team Hurts,79.71,C+,RRR On Premise,,,,,,,,,,,
Trestleches,79.47,C+,Turf On Grade 2.0,2.0,1859.26,1725.44,9-5-0,2024.0,55.0,10,403.0,619.9,1036.1999999999998,4.0
Peter Pan + the Lost Boys ,79.42,C+,THE BEST OF THE BEST,7.0,1532.54,1439.04,10-4-0,2024.0,9.0,7,311.2,421.9,949.94,4.0
PAI Alcoholics Anonymous ,78.71,C+,Pennoni Younglings,5.0,1805.66,1828.46,6-8-0,2024.0,42.0,3,263.4,528.7,1169.68,4.0
Golden Receivers,78.46,C+,Family Fantasy,4.0,1892.7,1525.78,12-2-0,2024.0,63.0,8,403.0,675.1,1090.0,5.0
Hark,78.36,C+,Brown Munde,7.0,1546.54,1521.66,14-14-0,2024.0,-12.0,8,256.7,466.1,869.3000000000001,2.0
Prahlad's Ghost,78.35,C+,Pennoni Younglings,1.0,1678.7,1729.84,7-7-0,2024.0,23.0,9,317.48,447.68,978.88,4.0
Pleasant Valley Panthers,78.12,C+,EBC League,1.0,1721.44,1453.88,10-4-0,2024.0,12.0,7,240.9,596.2,1047.2,3.0
Pain Inflictors,78.03,C+,Game of Yards!,2.0,1584.74,1456.54,10-4-0,2021.0,-7.0,2,313.86,503.46000000000004,852.8600000000001,2.0
Philadelphia Bills Mafia,78.0,C+,Pennoni Younglings,8.0,1551.24,1703.48,5-9-0,2024.0,-7.0,5,341.7,418.4,894.5999999999999,3.0
Django Achane'd,77.84,C+,Turf On Grade 2.0,3.0,1832.8,1652.3,10-4-0,2024.0,32.0,3,240.9,317.6,857.9,5.0
Team Vellapanti,77.63,C+,Game of Yards!,7.0,1568.8,1599.84,6-8-0,2021.0,12.0,9,308.8,518.4,880.4,1.0
SIGMAS,77.55,C+,Family Fantasy,9.0,1627.64,1578.98,6-8-0,2024.0,-21.0,3,218.2,518.0999999999999,815.8,5.0
