Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 6,6,Christian McCaffrey,RB,Inter Miami CF,0.0,0.0,391.3,24.46,16,100.0,A+,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
3 - 3,19,CeeDee Lamb,WR,Bryson Stott Fan Club,0.0,0.0,403.2,23.72,17,97.97,A+,{10F78273-9201-4EE8-B782-739201DEE809}
4 - 2,26,Josh Allen,QB,Riley  Read option,0.0,0.0,392.64,23.1,17,96.58,A,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
1 - 7,7,Tyreek Hill,WR,Riley  Read option,0.0,0.0,376.4,23.52,16,95.2,A,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
12 - 8,96,Dak Prescott,QB,Pleasant Valley Panthers,0.0,0.0,342.84,20.17,17,92.04,A-,{8DC6CB03-411B-4540-86CB-03411B854029}
3 - 8,24,Jalen Hurts,QB,The Hungry Dogs,0.0,0.0,356.82,20.99,17,89.15,B+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
3 - 5,21,Amon-Ra St. Brown,WR,THE POOL,242.06,16.14,330.9,20.68,16,88.99,B+,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
7 - 5,53,Breece Hall,RB,THE POOL,0.0,0.0,290.5,17.09,17,88.76,B+,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
5 - 2,34,Lamar Jackson,QB,Abyss Diamond Eyes,0.0,0.0,331.22,20.7,16,88.48,B+,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
6 - 4,44,Keenan Allen,WR,THE POOL,0.0,0.0,278.86,21.45,13,86.94,B,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
14 - 5,109,Michael Pittman Jr.,WR,Wut happened uh 🤷🏽‍♂️,0.0,0.0,250.2,15.64,16,86.35,B,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
4 - 4,28,Travis Etienne Jr.,RB,THE POOL,0.0,0.0,282.4,16.61,17,85.54,B,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
7 - 1,49,Rachaad White,RB,Pleasant Valley Panthers,0.0,0.0,267.9,15.76,17,84.99,B,{8DC6CB03-411B-4540-86CB-03411B854029}
4 - 5,29,DJ Moore,WR,Wut happened uh 🤷🏽‍♂️,0.0,0.0,286.5,16.85,17,83.89,B,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
16 - 8,128,Jordan Addison,WR,Pleasant Valley Panthers,0.0,0.0,221.3,13.02,17,83.89,B,{8DC6CB03-411B-4540-86CB-03411B854029}
8 - 7,63,Mike Evans,WR,Abyss Diamond Eyes,0.0,0.0,282.5,16.62,17,83.82,B,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
1 - 1,1,Patrick Mahomes,QB,Pleasant Valley Panthers,0.0,0.0,280.22,17.51,16,83.16,B,{8DC6CB03-411B-4540-86CB-03411B854029}
2 - 1,9,Stefon Diggs,WR,The Hungry Dogs,0.0,0.0,273.8,16.11,17,82.23,B-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
3 - 6,22,A.J. Brown,WR,Inter Miami CF,0.0,0.0,289.6,17.04,17,82.09,B-,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
11 - 6,86,Tua Tagovailoa,QB,Inter Miami CF,0.0,0.0,270.36,15.9,17,81.33,B-,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
8 - 6,62,Alvin Kamara,RB,Bryson Stott Fan Club,0.0,0.0,233.0,17.92,13,81.23,B-,{10F78273-9201-4EE8-B782-739201DEE809}
3 - 4,20,Joe Mixon,RB,Wut happened uh 🤷🏽‍♂️,0.0,0.0,267.0,15.71,17,80.87,B-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
11 - 5,85,Evan Engram,TE,THE POOL,0.0,0.0,230.3,13.55,17,80.84,B-,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
13 - 5,101,Geno Smith,QB,THE POOL,0.0,0.0,227.26,15.15,15,80.84,B-,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
2 - 2,10,Davante Adams,WR,Riley  Read option,0.0,0.0,265.4,15.61,17,80.8,B-,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
12 - 2,90,Brandon Aiyuk,WR,Riley  Read option,0.0,0.0,249.2,15.58,16,80.43,B-,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
9 - 4,68,James Cook,RB,Wut happened uh 🤷🏽‍♂️,0.0,0.0,232.7,13.69,17,79.91,C+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
2 - 3,11,Bijan Robinson,RB,Inter Miami CF,0.0,0.0,246.3,14.49,17,79.72,C+,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
2 - 6,14,Derrick Henry,RB,Bryson Stott Fan Club,0.0,0.0,246.66,14.51,17,79.68,C+,{10F78273-9201-4EE8-B782-739201DEE809}
1 - 3,3,Ja'Marr Chase,WR,Bryson Stott Fan Club,0.0,0.0,262.72,16.42,16,79.5,C+,{10F78273-9201-4EE8-B782-739201DEE809}
9 - 2,66,Isiah Pacheco,RB,Abyss Diamond Eyes,0.0,0.0,213.9,15.28,14,79.03,C+,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
6 - 5,45,Trevor Lawrence,QB,Wut happened uh 🤷🏽‍♂️,0.0,0.0,262.54,16.41,16,78.63,C+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
6 - 7,47,Deebo Samuel,WR,Abyss Diamond Eyes,0.0,0.0,243.7,16.25,15,78.44,C+,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
13 - 6,102,Brian Robinson Jr.,RB,Inter Miami CF,0.0,0.0,198.1,13.21,15,78.4,C+,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
6 - 3,43,T.J. Hockenson,TE,Inter Miami CF,0.0,0.0,219.0,14.6,15,78.13,C+,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
3 - 7,23,Jahmyr Gibbs,RB,Riley  Read option,0.0,0.0,242.1,16.14,15,77.91,C+,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
2 - 5,13,Saquon Barkley,RB,Wut happened uh 🤷🏽‍♂️,0.0,0.0,223.2,15.94,14,77.79,C+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
7 - 3,51,Amari Cooper,WR,Bryson Stott Fan Club,0.0,0.0,227.0,15.13,15,77.3,C+,{10F78273-9201-4EE8-B782-739201DEE809}
11 - 8,88,David Montgomery,RB,The Hungry Dogs,0.0,0.0,207.2,14.8,14,76.66,C,{4656A2AD-A939-460B-96A2-ADA939760B8B}
10 - 4,76,George Pickens,WR,THE POOL,0.0,0.0,208.8,12.28,17,76.61,C,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
1 - 5,5,Travis Kelce,TE,THE POOL,0.0,0.0,219.4,14.63,15,76.44,C,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
5 - 6,38,Justin Herbert,QB,Inter Miami CF,0.0,0.0,234.16,18.01,13,76.1,C,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
1 - 2,2,Justin Jefferson,WR,Abyss Diamond Eyes,0.0,0.0,202.2,20.22,10,75.96,C,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
7 - 2,50,George Kittle,TE,Abyss Diamond Eyes,0.0,0.0,203.2,12.7,16,75.87,C,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
10 - 7,79,Cowboys D/ST,D/ST,Abyss Diamond Eyes,0.0,0.0,172.0,10.12,17,75.61,C,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
12 - 6,94,David Njoku,TE,Bryson Stott Fan Club,0.0,0.0,201.2,12.57,16,75.43,C,{10F78273-9201-4EE8-B782-739201DEE809}
5 - 5,37,Justin Fields,QB,THE POOL,0.0,0.0,230.18,17.71,13,75.37,C,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
2 - 8,16,Tony Pollard,RB,Pleasant Valley Panthers,0.0,0.0,222.6,13.09,17,75.31,C,{8DC6CB03-411B-4540-86CB-03411B854029}
16 - 4,124,Ezekiel Elliott,RB,THE POOL,127.95,9.14,174.5,10.26,17,75.27,C,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
8 - 1,57,James Conner,RB,The Hungry Dogs,0.0,0.0,201.5,15.5,13,74.84,C,{4656A2AD-A939-460B-96A2-ADA939760B8B}
5 - 1,33,Chris Olave,WR,Pleasant Valley Panthers,220.98,14.73,231.3,14.46,16,74.79,C,{8DC6CB03-411B-4540-86CB-03411B854029}
6 - 1,41,DeVonta Smith,WR,The Hungry Dogs,0.0,0.0,227.6,14.23,16,74.73,C,{4656A2AD-A939-460B-96A2-ADA939760B8B}
6 - 2,42,Calvin Ridley,WR,Riley  Read option,0.0,0.0,229.9,13.52,17,74.46,C,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
15 - 1,113,Cole Kmet,TE,Pleasant Valley Panthers,0.0,0.0,181.1,10.65,17,74.44,C,{8DC6CB03-411B-4540-86CB-03411B854029}
4 - 8,32,DK Metcalf,WR,Pleasant Valley Panthers,0.0,0.0,225.4,14.09,16,74.26,C,{8DC6CB03-411B-4540-86CB-03411B854029}
8 - 4,60,DeAndre Hopkins,WR,THE POOL,0.0,0.0,223.6,13.15,17,73.77,C,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
7 - 8,56,Kenneth Walker III,RB,The Hungry Dogs,0.0,0.0,199.4,13.29,15,73.75,C,{4656A2AD-A939-460B-96A2-ADA939760B8B}
15 - 3,115,Courtland Sutton,WR,Bryson Stott Fan Club,0.0,0.0,190.2,11.89,16,73.6,C,{10F78273-9201-4EE8-B782-739201DEE809}
9 - 1,65,Chris Godwin,WR,Pleasant Valley Panthers,0.0,0.0,209.2,12.31,17,73.46,C,{8DC6CB03-411B-4540-86CB-03411B854029}
9 - 7,71,Terry McLaurin,WR,Riley  Read option,0.0,0.0,209.2,12.31,17,73.46,C,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
7 - 7,55,D'Andre Swift,RB,Riley  Read option,0.0,0.0,199.3,12.46,16,72.96,C-,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
10 - 8,80,Javonte Williams,RB,Pleasant Valley Panthers,0.0,0.0,179.2,11.2,16,72.92,C-,{8DC6CB03-411B-4540-86CB-03411B854029}
12 - 4,92,Zay Flowers,WR,THE POOL,0.0,0.0,206.4,12.9,16,72.46,C-,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
