Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade
15 - 8,Vikings D/ST,D/ST,First down syndrome ,90.25,5.31,127.0,9.77,13,100.0
2 - 2,Saquon Barkley,RB,Pleasant Valley Panthers,252.41,18.03,300.0,23.08,13,83.01607338787332
10 - 8,David Montgomery,RB,JanSteez,177.34,12.67,214.22,16.48,13,80.25060111975134
14 - 8,Chase Brown,RB,JanSteez,166.97,11.93,193.3,14.87,13,76.61283724765475
3 - 3,Derrick Henry,RB,Inter Miami CF,225.04,16.07,254.2,19.55,13,76.40274055696229
4 - 1,Josh Jacobs,RB,First down syndrome ,216.51,15.46,228.3,17.56,13,73.48774078940201
6 - 2,George Kittle,TE,Pleasant Valley Panthers,175.43,11.7,184.0,16.73,11,72.73381827048131
3 - 6,De'Von Achane,RB,The Hungry Dogs,211.07,15.08,230.4,17.72,13,72.72351360249057
16 - 6,Ka'imi Fairbairn,K,Inter Miami CF,140.45,8.26,145.0,11.15,13,71.88871471949118
14 - 2,Brian Thomas Jr.,WR,Pleasant Valley Panthers,171.63,11.44,182.1,14.01,13,71.64273615630249
6 - 5,Lamar Jackson,QB,Bryson Stott Fan Club,303.83,20.26,321.4,24.72,13,71.35649621355869
4 - 6,Alvin Kamara,RB,Inter Miami CF,231.09,16.51,248.3,19.1,13,71.26939321563118
8 - 3,James Conner,RB,The Hungry Dogs,177.8,13.68,193.6,14.89,13,70.82913201633271
10 - 3,Terry McLaurin,WR,The Hungry Dogs,193.47,12.9,202.8,15.6,13,70.66525717795012
15 - 5,Steelers D/ST,D/ST,Riley  Read option,125.2,7.36,126.0,9.69,13,69.99872224280269
11 - 5,Jaxon Smith-Njigba,WR,Riley  Read option,191.39,12.76,199.2,15.32,13,69.86186412843834
1 - 6,Ja'Marr Chase,WR,The Hungry Dogs,289.45,20.67,295.4,22.72,13,69.62272949663038
10 - 1,Tony Pollard,RB,First down syndrome ,172.81,12.34,178.0,13.69,13,69.13432212975094
14 - 4,Jayden Daniels,QB,Riley  Read option,255.91,17.06,261.76,20.14,13,68.5672768850535
7 - 1,Joe Burrow,QB,JanSteez,278.72,18.58,275.66,21.2,13,68.2875815477198
2 - 5,Jahmyr Gibbs,RB,Bryson Stott Fan Club,238.5,17.04,236.8,18.22,13,66.49063665290551
4 - 3,Josh Allen,QB,The Hungry Dogs,313.58,20.91,303.62,23.36,13,65.74705433829611
7 - 4,Trey McBride,TE,Bryson Stott Fan Club,182.3,12.15,177.3,14.78,12,65.5335619492466
6 - 4,Joe Mixon,RB,Riley  Read option,218.62,15.62,212.1,21.21,10,65.29525627438653
