Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Tyler Higbee,TE,Seigaku FC,130.34,8.69,152.0,8.94,17,100.0,A+,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
Trevor Lawrence,QB,Wut happened uh 🤷🏽‍♂️,260.71,16.29,295.62,17.39,17,99.87,A+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
Kirk Cousins,QB,Pleasant Valley Panthers,269.17,16.82,291.58,17.15,17,98.78,A+,{8DC6CB03-411B-4540-86CB-03411B854029}
Kenneth Walker III,RB,Abyss Diamond Eyes,126.57,9.04,202.5,13.5,15,97.32,A+,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Evan Engram,TE,Abyss Diamond Eyes,124.37,8.29,176.9,10.41,17,97.29,A+,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Isiah Pacheco,RB,The Hungry Dogs,66.3,4.42,135.0,7.94,17,92.96,A-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Patriots D/ST,D/ST,Champagne  Papi ,90.39,5.32,173.0,10.18,17,92.79,A-,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
Tony Pollard,RB,Seigaku FC,177.23,11.82,248.8,15.55,16,92.65,A-,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
Jason Myers,K,Seigaku FC,124.21,7.31,156.0,9.18,17,91.93,A-,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
Rachaad White,RB,The Hungry Dogs,95.97,6.4,139.1,8.18,17,91.78,A-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Jamaal Williams,RB,Seigaku FC,123.09,8.79,225.9,13.29,17,91.57,A-,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
Jakobi Meyers,WR,Abyss Diamond Eyes,173.92,11.59,180.3,12.88,14,90.7,A-,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Latavius Murray,RB,Pitman MaleManipulator,0.0,0.0,154.2,11.86,13,88.69,B+,{10F78273-9201-4EE8-B782-739201DEE809}
Gerald Everett,TE,Seigaku FC,127.63,7.98,139.5,8.72,16,87.81,B+,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
Brett Maher,K,Champagne  Papi ,129.42,7.61,159.0,9.35,17,87.46,B+,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
Geno Smith,QB,Abyss Diamond Eyes,148.82,14.88,303.88,17.88,17,87.31,B+,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Zay Jones,WR,Champagne  Papi ,109.2,6.82,198.1,12.38,16,84.87,B,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
Jerick McKinnon,RB,Seigaku FC,87.03,6.69,196.3,11.55,17,84.65,B,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
Justin Fields,QB,The Hungry Dogs,253.09,15.82,295.98,19.73,15,83.51,B,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Broncos D/ST,D/ST,Pleasant Valley Panthers,86.8,5.11,102.0,6.0,17,83.37,B,{8DC6CB03-411B-4540-86CB-03411B854029}
D'Onta Foreman,RB,Wut happened uh 🤷🏽‍♂️,68.17,4.54,131.0,7.71,17,82.45,B-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
Chiefs D/ST,D/ST,The Hungry Dogs,59.1,3.48,115.0,6.76,17,81.91,B-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Browns D/ST,D/ST,Pitman MaleManipulator,107.29,6.31,102.0,6.0,17,79.93,C+,{10F78273-9201-4EE8-B782-739201DEE809}
David Njoku,TE,Abyss Diamond Eyes,131.43,8.21,142.0,10.14,14,78.21,C+,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Christian Watson,WR,Champagne  Papi ,108.76,6.8,164.1,11.72,14,76.85,C,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
Cardinals D/ST,D/ST,Wut happened uh 🤷🏽‍♂️,66.68,3.92,91.0,5.35,17,76.16,C,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
Zack Moss,RB,Champagne  Papi ,32.71,2.18,64.5,4.96,13,68.84,D+,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
Ben DiNucci,QB,The Hungry Dogs,0.0,0.0,0.0,0.0,0,62.54,D-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Michael Carter,RB,Champagne  Papi ,150.53,10.04,126.0,7.88,16,54.3,F-,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
Zonovan Knight,RB,Abyss Diamond Eyes,0.0,0.0,59.0,7.38,8,48.89,F-,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Deshaun Watson,QB,Abyss Diamond Eyes,112.35,18.73,85.58,14.26,6,48.72,F-,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Odell Beckham Jr.,WR,Seigaku FC,0.0,0.0,0.0,0.0,0,10.0,F-,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
