Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 8,8,Ja'Marr Chase,WR,Golden Receivers,289.45,20.67,317.4,24.42,13,100.0,A+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
1 - 10,10,Saquon Barkley,RB,Oh My Josh,252.41,18.03,300.0,23.08,13,99.17,A+,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
9 - 3,99,Brock Bowers,TE,SIGMAS,144.0,9.6,205.7,15.82,13,98.83,A+,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
14 - 8,164,Bucky Irving,RB,For Me to Poop on,112.11,8.01,173.5,13.35,13,96.56,A,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
10 - 7,115,Chuba Hubbard,RB,Numb Nutz,136.19,9.73,200.2,15.4,13,96.41,A,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
4 - 4,40,Lamar Jackson,QB,Rizzly Bears,303.83,20.26,321.4,24.72,13,95.59,A,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
2 - 9,21,Derrick Henry,RB,Gabe's Grand Team,225.04,16.07,254.2,19.55,13,94.11,A,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
3 - 8,32,Alvin Kamara,RB,Golden Receivers,231.09,16.51,248.3,19.1,13,93.91,A,{4656A2AD-A939-460B-96A2-ADA939760B8B}
2 - 12,24,Josh Allen,QB,lawrence's Loud Team,313.58,20.91,303.62,23.36,13,92.35,A-,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
8 - 12,96,Chase Brown,RB,lawrence's Loud Team,166.97,11.93,201.7,15.52,13,92.03,A-,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
7 - 8,80,Jayden Daniels,QB,Golden Receivers,255.91,17.06,261.76,20.14,13,91.39,A-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
6 - 8,68,George Kittle,TE,For Me to Poop on,175.43,11.7,194.1,16.18,12,91.35,A-,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
5 - 1,49,Joe Burrow,QB,lawrence's Loud Team,278.72,18.58,284.04,21.85,13,91.35,A-,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
12 - 7,139,Jerry Jeudy,WR,Numb Nutz,176.72,11.78,181.4,13.95,13,90.91,A-,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
2 - 10,22,De'Von Achane,RB,SIGMAS,211.07,15.08,230.4,17.72,13,90.82,A-,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
5 - 11,59,David Montgomery,RB,Your Mom,177.34,12.67,214.22,16.48,13,90.57,A-,{F1F84656-65C6-418D-85EB-A941DF949C09}
13 - 6,150,Jared Goff,QB,Numb Nutz,234.9,15.66,223.0,17.15,13,90.49,A-,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
4 - 6,42,Josh Jacobs,RB,Breece Hall Sucks,216.51,15.46,228.3,17.56,13,90.32,A-,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
15 - 8,176,Josh Downs,WR,Golden Receivers,111.26,8.56,137.6,13.76,10,90.18,A-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
1 - 2,2,Bijan Robinson,RB,Skibidi Rizzlers,292.77,20.91,246.8,18.98,13,90.14,A-,{88877912-82AE-408B-9AD4-17D54F48BACA}
4 - 9,45,Joe Mixon,RB,Gabe's Grand Team,218.62,15.62,212.1,21.21,10,90.13,A-,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
2 - 5,17,Kyren Williams,RB,Golden Receivers,232.87,16.63,236.0,16.86,14,89.83,B+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
1 - 12,12,Jahmyr Gibbs,RB,Tortured Football Department,238.5,17.04,236.8,18.22,13,89.6,B+,{8F726947-16B6-4023-8839-58DD00CD6659}
12 - 3,135,Darnell Mooney,WR,Oh My Josh,174.04,11.6,174.3,13.41,13,89.47,B+,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
2 - 1,13,Jalen Hurts,QB,Tortured Football Department,314.32,20.95,282.48,21.73,13,89.42,B+,{8F726947-16B6-4023-8839-58DD00CD6659}
6 - 5,65,Terry McLaurin,WR,Golden Receivers,193.47,12.9,202.8,15.6,13,89.21,B+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
7 - 3,75,Jaxon Smith-Njigba,WR,SIGMAS,191.39,12.76,199.2,15.32,13,88.52,B+,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
13 - 2,146,Steelers D/ST,D/ST,Skibidi Rizzlers,125.2,7.36,126.0,9.69,13,88.07,B+,{88877912-82AE-408B-9AD4-17D54F48BACA}
12 - 4,136,Khalil Shakir,WR,Rizzly Bears,153.68,10.25,156.9,13.08,12,88.05,B+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
1 - 6,6,Justin Jefferson,WR,Numb Nutz,282.2,18.81,235.18,18.09,13,87.77,B+,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
8 - 10,94,Brian Thomas Jr.,WR,SIGMAS,171.63,11.44,182.1,14.01,13,87.68,B+,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
9 - 4,100,Courtland Sutton,WR,Gabe's Grand Team,189.57,12.64,180.8,13.91,13,87.57,B+,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
13 - 5,149,Ka'imi Fairbairn,K,For Me to Poop on,140.45,8.26,145.0,11.15,13,87.45,B+,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
8 - 3,87,J.K. Dobbins,RB,Oh My Josh,155.48,11.96,166.0,15.09,11,86.84,B,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
15 - 5,173,Matthew Stafford,QB,For Me to Poop on,240.5,16.03,199.42,14.24,14,86.43,B,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
8 - 2,86,Tony Pollard,RB,Your Mom,172.81,12.34,178.0,13.69,13,86.4,B,{F1F84656-65C6-418D-85EB-A941DF949C09}
12 - 1,133,Zach Charbonnet,RB,Tortured Football Department,139.96,10.0,150.3,11.56,13,86.3,B,{8F726947-16B6-4023-8839-58DD00CD6659}
1 - 5,5,Amon-Ra St. Brown,WR,For Me to Poop on,283.98,18.93,226.18,17.4,13,86.28,B,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
4 - 11,47,James Conner,RB,Skibidi Rizzlers,177.8,13.68,193.6,14.89,13,86.18,B,{88877912-82AE-408B-9AD4-17D54F48BACA}
9 - 9,105,Jordan Addison,WR,Rizzly Bears,188.63,12.58,164.8,14.98,11,86.16,B,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
6 - 4,64,Aaron Jones,RB,Rizzly Bears,189.91,13.57,186.5,14.35,13,85.85,B,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
5 - 8,56,Trey McBride,TE,Golden Receivers,182.3,12.15,177.3,14.78,12,85.22,B,{4656A2AD-A939-460B-96A2-ADA939760B8B}
9 - 12,108,Jakobi Meyers,WR,Tortured Football Department,175.23,11.68,156.6,14.24,11,85.11,B,{8F726947-16B6-4023-8839-58DD00CD6659}
10 - 2,110,Ladd McConkey,WR,Your Mom,178.4,11.89,163.5,13.62,12,85.08,B,{F1F84656-65C6-418D-85EB-A941DF949C09}
16 - 10,190,Lions D/ST,D/ST,SIGMAS,106.71,6.28,99.0,7.62,13,84.96,B,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
3 - 6,30,James Cook,RB,Numb Nutz,221.92,15.85,192.7,16.06,12,84.89,B,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
13 - 7,151,Rico Dowdle,RB,Breece Hall Sucks,148.5,10.61,148.6,12.38,12,84.82,B,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
14 - 5,161,Bills D/ST,D/ST,Golden Receivers,79.74,4.69,94.0,7.23,13,84.82,B,{4656A2AD-A939-460B-96A2-ADA939760B8B}
10 - 3,111,Caleb Williams,QB,Oh My Josh,252.19,16.81,204.34,15.72,13,84.65,B,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
14 - 9,165,Hunter Henry,TE,Gabe's Grand Team,111.04,7.4,125.0,9.62,13,84.6,B,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
14 - 10,166,Cameron Dicker,K,SIGMAS,138.3,8.14,129.0,9.92,13,84.56,B,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
11 - 8,128,Tua Tagovailoa,QB,Golden Receivers,240.5,16.03,165.24,18.36,9,84.27,B,{4656A2AD-A939-460B-96A2-ADA939760B8B}
