Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade
14 - 8,Bucky Irving,RB,For Me to Poop on,112.11,8.01,173.5,13.35,13,100.0
10 - 7,Chuba Hubbard,RB,Numb Nutz,136.19,9.73,200.2,15.4,13,95.77701318267093
9 - 3,Brock Bowers,TE,SIGMAS,144.0,9.6,205.7,15.82,13,95.27966930552748
15 - 8,Josh Downs,WR,Golden Receivers,111.26,8.56,137.6,13.76,10,83.40918465817188
14 - 5,Bills D/ST,D/ST,Golden Receivers,79.74,4.69,94.0,7.23,13,83.36968577240744
1 - 10,Saquon Barkley,RB,Oh My Josh,252.41,18.03,300.0,23.08,13,81.38054433148402
5 - 11,David Montgomery,RB,Your Mom,177.34,12.67,214.22,16.48,13,81.34069646435753
8 - 12,Chase Brown,RB,lawrence's Loud Team,166.97,11.93,193.3,14.87,13,78.45351493618203
14 - 9,Hunter Henry,TE,Gabe's Grand Team,111.04,7.4,125.0,9.62,13,77.84533734270224
2 - 9,Derrick Henry,RB,Gabe's Grand Team,225.04,16.07,254.2,19.55,13,77.51627324047347
2 - 10,De'Von Achane,RB,SIGMAS,211.07,15.08,230.4,17.72,13,75.33195356773025
13 - 5,Ka'imi Fairbairn,K,For Me to Poop on,140.45,8.26,145.0,11.15,13,74.82520187447612
12 - 1,Zach Charbonnet,RB,Tortured Football Department,139.96,10.0,150.3,11.56,13,74.80508440933234
4 - 4,Lamar Jackson,QB,Rizzly Bears,303.83,20.26,321.4,24.72,13,74.73936738347912
6 - 8,George Kittle,TE,For Me to Poop on,175.43,11.7,184.0,16.73,11,74.56753677970441
3 - 8,Alvin Kamara,RB,Golden Receivers,231.09,16.51,248.3,19.1,13,74.27596150496336
8 - 10,Brian Thomas Jr.,WR,SIGMAS,171.63,11.44,182.1,14.01,13,74.2515393239418
15 - 4,Justin Fields,QB,Gabe's Grand Team,89.65,17.93,118.34,13.15,9,74.01129049010748
6 - 5,Terry McLaurin,WR,Golden Receivers,193.47,12.9,202.8,15.6,13,73.8059246266724
4 - 11,James Conner,RB,Skibidi Rizzlers,177.8,13.68,193.6,14.89,13,73.67651727248693
13 - 2,Steelers D/ST,D/ST,Skibidi Rizzlers,125.2,7.36,126.0,9.69,13,73.62819593251673
7 - 3,Jaxon Smith-Njigba,WR,SIGMAS,191.39,12.76,199.2,15.32,13,73.5801666159466
8 - 3,J.K. Dobbins,RB,Oh My Josh,155.48,11.96,166.0,15.09,11,73.33389016685203
4 - 6,Josh Jacobs,RB,Breece Hall Sucks,216.51,15.46,228.3,17.56,13,73.1759272571119
5 - 1,Joe Burrow,QB,lawrence's Loud Team,278.72,18.58,275.66,21.2,13,72.73114360016996
1 - 8,Ja'Marr Chase,WR,Golden Receivers,289.45,20.67,295.4,22.72,13,72.42960951704731
12 - 4,Khalil Shakir,WR,Rizzly Bears,153.68,10.25,156.9,13.08,12,72.38917952899901
12 - 7,Jerry Jeudy,WR,Numb Nutz,176.72,11.78,181.4,13.95,13,72.29012059074908
7 - 8,Jayden Daniels,QB,Golden Receivers,255.91,17.06,261.76,20.14,13,72.17362983529678
8 - 2,Tony Pollard,RB,Your Mom,172.81,12.34,178.0,13.69,13,72.10613276368983
2 - 1,Jalen Hurts,QB,Tortured Football Department,314.32,20.95,282.48,21.73,13,71.71734285368748
12 - 3,Darnell Mooney,WR,Oh My Josh,174.04,11.6,174.3,13.41,13,71.10634285362379
1 - 12,Jahmyr Gibbs,RB,Tortured Football Department,238.5,17.04,236.8,18.22,13,70.33185999757737
16 - 6,Braelon Allen,RB,Breece Hall Sucks,75.42,5.39,75.8,5.83,13,70.0058482621437
5 - 8,Trey McBride,TE,Golden Receivers,182.3,12.15,177.3,14.78,12,69.66796795841246
4 - 9,Joe Mixon,RB,Gabe's Grand Team,218.62,15.62,212.1,21.21,10,69.43949610182192
2 - 12,Josh Allen,QB,lawrence's Loud Team,313.58,20.91,303.62,23.36,13,69.41421209151744
6 - 4,Aaron Jones,RB,Rizzly Bears,189.91,13.57,186.5,14.35,13,69.16638485253034
14 - 10,Cameron Dicker,K,SIGMAS,138.3,8.14,129.0,9.92,13,68.87883956125022
10 - 9,Brandon Aubrey,K,Gabe's Grand Team,142.08,8.36,132.0,10.15,13,68.72023281911157
7 - 11,Najee Harris,RB,Your Mom,174.97,12.5,171.6,13.2,13,68.70419355811512
16 - 10,Lions D/ST,D/ST,SIGMAS,106.71,6.28,99.0,7.62,13,68.59112399574853
2 - 5,Kyren Williams,RB,Golden Receivers,232.87,16.63,222.8,17.14,13,68.5649215027413
