Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Latavius Murray,RB,Team HebAchi,0.0,0.0,140.7,10.82,13,100.0,A+,{49094F84-F849-4173-B052-21E1CDEDB4EF}
Taysom Hill,TE,Pain Inflictors,69.01,4.31,143.8,8.99,16,96.22,A,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
Tyler Allgeier,RB,Stiff Armed and Dangerous,75.64,5.04,151.4,9.46,16,95.55,A,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Chiefs D/ST,D/ST,Stiff Armed and Dangerous,73.77,4.34,132.1,7.77,17,94.82,A,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Darius Slayton,WR,THE BIGMADBLUE,13.3,0.89,106.9,6.68,16,94.76,A,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Jamaal Williams,RB,Brown Munde,111.84,7.99,221.4,13.02,17,93.14,A,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
Zay Jones,WR,Pain Inflictors,89.31,5.58,158.6,9.91,16,89.23,B+,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
Bengals D/ST,D/ST,The Chase Is On,121.8,7.16,118.5,7.41,16,88.81,B+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Jeff Wilson Jr.,RB,The Chase Is On,45.4,3.03,147.5,9.22,16,88.18,B+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Jason Myers,K,Pain Inflictors,123.34,7.26,154.0,9.06,17,88.01,B+,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
Daniel Jones,QB,The Chase Is On,222.93,14.86,251.0,15.69,16,87.96,B+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
Jared Goff,QB,2 Many Cooks,207.23,12.95,265.82,15.64,17,87.67,B+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Joshua Palmer,WR,Wakanda Forever,123.87,7.74,134.8,8.43,16,86.43,B,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
Hayden Hurst,TE,Bhambhwani Pawan Dilip,104.46,6.53,79.4,6.11,13,84.44,B,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Jerick McKinnon,RB,Bhambhwani Pawan Dilip,73.05,5.62,169.8,9.99,17,84.36,B,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Geno Smith,QB,2 Many Cooks,125.75,12.57,261.88,15.4,17,84.01,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Isaiah Likely,TE,Team CTE,66.8,4.18,73.3,4.58,16,83.96,B,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Jaguars D/ST,D/ST,Stiff Armed and Dangerous,76.27,4.49,132.4,7.79,17,83.48,B,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Curtis Samuel,WR,Wakanda Forever,110.86,7.39,144.8,8.52,17,83.26,B,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
Wil Lutz,K,Brown Munde,124.82,7.34,108.0,6.35,17,82.53,B-,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
Gerald Everett,TE,Brown Munde,102.6,6.41,110.5,6.91,16,82.06,B-,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
Chris Olave,WR,Pain Inflictors,144.77,9.05,163.7,10.91,15,81.73,B-,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
Younghoe Koo,K,THE BIGMADBLUE,126.75,7.46,149.0,8.76,17,80.7,B-,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
Jets D/ST,D/ST,Bhambhwani Pawan Dilip,91.1,5.36,140.8,8.28,17,80.58,B-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
Greg Zuerlein,K,Brown Munde,120.96,7.12,138.0,8.12,17,80.33,B-,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
Greg Dulcich,TE,Team CTE,31.81,2.65,69.6,6.96,10,79.73,C+,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
