Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,League Name,Year
5 - 8,48,Patrick Mahomes,QB,MOTHER MAY I,319.91,19.99,390.9,22.99,17,100.0,A+,0755 Fantasy Football,2022
1 - 10,10,Josh Allen,QB,PHL Mike,342.02,21.38,362.52,22.66,16,97.96,A+,0755 Fantasy Football,2022
6 - 4,54,Jalen Hurts,QB,The Big Hurts,287.41,19.16,340.04,22.67,15,97.74,A+,0755 Fantasy Football,2022
3 - 3,23,Travis Kelce,TE,Office Director,184.05,11.5,261.3,15.37,17,96.59,A,0755 Fantasy Football,2022
1 - 5,5,Austin Ekeler,RB,MPT Phase1A,251.86,16.79,319.2,18.78,17,96.53,A,0755 Fantasy Football,2022
1 - 2,2,Christian McCaffrey,RB,Team Just here 4 fun,265.15,18.94,313.86,18.46,17,95.88,A,0755 Fantasy Football,2022
6 - 3,53,Josh Jacobs,RB,MOTHER MAY I,191.82,12.79,301.8,17.75,17,94.7,A,0755 Fantasy Football,2022
1 - 3,3,Justin Jefferson,WR,Office Director,238.07,14.88,304.66,17.92,17,94.39,A,0755 Fantasy Football,2022
11 - 2,102,Joe Burrow,QB,Team Just here 4 fun,247.78,15.49,309.7,19.36,16,93.5,A,0755 Fantasy Football,2022
2 - 9,19,Tyreek Hill,WR,Team Just here 4 fun,202.54,12.66,287.7,16.92,17,93.13,A,0755 Fantasy Football,2022
2 - 2,12,Davante Adams,WR,Hot Sauce 'n' Bananas,205.3,13.69,284.5,16.74,17,92.96,A-,0755 Fantasy Football,2022
1 - 7,7,Derrick Henry,RB,The Big Hurts,250.1,16.67,286.26,17.89,16,92.29,A-,0755 Fantasy Football,2022
4 - 1,31,Nick Chubb,RB,PHL Mike,202.77,13.52,267.9,15.76,17,90.98,A-,0755 Fantasy Football,2022
16 - 3,153,Trevor Lawrence,QB,MOTHER MAY I,225.48,14.09,268.62,15.8,17,90.47,A-,0755 Fantasy Football,2022
2 - 5,15,Stefon Diggs,WR,Brady Gaga,211.88,13.24,262.6,16.41,16,90.11,A-,0755 Fantasy Football,2022
3 - 5,25,Saquon Barkley,RB,MPT Phase1A,202.04,14.43,255.5,15.97,16,90.06,A-,0755 Fantasy Football,2022
4 - 4,34,A.J. Brown,WR,The Big Hurts,184.42,11.53,255.6,15.04,17,88.68,B+,0755 Fantasy Football,2022
2 - 6,16,CeeDee Lamb,WR,MPT Phase1A,209.12,13.07,248.1,14.59,17,86.84,B,0755 Fantasy Football,2022
15 - 1,141,Justin Fields,QB,Prahlad's  Life Coach,207.32,12.96,240.98,16.07,15,84.44,B,0755 Fantasy Football,2022
9 - 9,89,Tony Pollard,RB,Hot Sauce 'n' Bananas,157.21,10.48,229.3,14.33,16,84.07,B,0755 Fantasy Football,2022
13 - 3,123,Kirk Cousins,QB,Office Director,234.33,14.65,245.58,14.45,17,83.06,B,0755 Fantasy Football,2022
12 - 8,118,Jamaal Williams,RB,Office Director,111.46,7.96,219.9,12.94,17,82.99,B-,0755 Fantasy Football,2022
4 - 2,32,Jaylen Waddle,WR,Hot Sauce 'n' Bananas,175.39,10.96,221.7,13.04,17,82.81,B-,0755 Fantasy Football,2022
9 - 6,86,Tom Brady,QB,Brady Gaga,276.25,17.27,249.66,14.69,17,82.71,B-,0755 Fantasy Football,2022
2 - 3,13,Joe Mixon,RB,MOTHER MAY I,237.97,15.86,209.5,14.96,14,82.7,B-,0755 Fantasy Football,2022
10 - 2,92,DeVonta Smith,WR,Hot Sauce 'n' Bananas,159.9,9.99,207.1,12.18,17,82.41,B-,0755 Fantasy Football,2022
2 - 7,17,Aaron Jones,RB,Chicken Fried Chicken Meal,213.26,15.23,219.1,12.89,17,81.86,B-,0755 Fantasy Football,2022
14 - 4,134,Tua Tagovailoa,QB,The Big Hurts,236.99,14.81,209.92,16.15,13,81.32,B-,0755 Fantasy Football,2022
9 - 1,81,Rhamondre Stevenson,RB,Prahlad's  Life Coach,162.38,10.83,214.6,12.62,17,80.73,B-,0755 Fantasy Football,2022
1 - 9,9,Ja'Marr Chase,WR,Hot Sauce 'n' Bananas,234.2,14.64,197.9,16.49,12,80.65,B-,0755 Fantasy Football,2022
4 - 6,36,Lamar Jackson,QB,MPT Phase1A,277.27,17.33,210.08,16.16,13,80.59,B-,0755 Fantasy Football,2022
8 - 7,77,Amari Cooper,WR,Chicken Fried Chicken Meal,159.91,9.99,207.0,12.18,17,80.52,B-,0755 Fantasy Football,2022
6 - 2,52,Justin Herbert,QB,Hot Sauce 'n' Bananas,295.72,18.48,242.26,14.25,17,80.51,B-,0755 Fantasy Football,2022
1 - 8,8,Dalvin Cook,RB,MOTHER MAY I,236.0,16.86,217.3,12.78,17,80.26,B-,0755 Fantasy Football,2022
6 - 8,58,Amon-Ra St. Brown,WR,Office Director,168.9,10.56,214.6,13.41,16,80.19,B-,0755 Fantasy Football,2022
7 - 6,66,Miles Sanders,RB,Brady Gaga,172.35,12.31,206.7,12.16,17,80.05,B-,0755 Fantasy Football,2022
8 - 5,75,Christian Kirk,WR,Brady Gaga,159.39,9.96,199.9,11.76,17,79.18,C+,0755 Fantasy Football,2022
8 - 6,76,Tyler Lockett,WR,MPT Phase1A,157.51,9.84,195.3,12.21,16,79.04,C+,0755 Fantasy Football,2022
12 - 6,116,Kenneth Walker III,RB,MPT Phase1A,116.56,8.33,189.0,12.6,15,78.58,C+,0755 Fantasy Football,2022
1 - 4,4,Cooper Kupp,WR,Chicken Fried Chicken Meal,255.38,15.96,163.9,18.21,9,78.24,C+,0755 Fantasy Football,2022
3 - 4,24,James Conner,RB,Chicken Fried Chicken Meal,217.75,15.55,177.2,13.63,13,78.11,C+,0755 Fantasy Football,2022
3 - 1,21,Leonard Fournette,RB,Prahlad's  Life Coach,229.42,15.29,189.6,11.85,16,78.11,C+,0755 Fantasy Football,2022
3 - 6,26,Mike Evans,WR,Brady Gaga,186.49,11.66,186.9,12.46,15,78.0,C+,0755 Fantasy Football,2022
7 - 8,68,T.J. Hockenson,TE,MOTHER MAY I,133.91,8.37,172.4,10.14,17,77.99,C+,0755 Fantasy Football,2022
1 - 6,6,Najee Harris,RB,Brady Gaga,235.84,15.72,202.96,11.94,17,77.85,C+,0755 Fantasy Football,2022
7 - 2,62,Kyler Murray,QB,Team Just here 4 fun,277.06,17.32,175.52,15.96,11,77.5,C+,0755 Fantasy Football,2022
6 - 5,55,George Kittle,TE,Brady Gaga,138.23,9.87,170.5,11.37,15,77.42,C+,0755 Fantasy Football,2022
4 - 3,33,Terry McLaurin,WR,MOTHER MAY I,183.37,11.46,190.5,11.21,17,76.88,C,0755 Fantasy Football,2022
2 - 1,11,Alvin Kamara,RB,PHL Mike,226.46,16.18,183.2,12.21,15,76.79,C,0755 Fantasy Football,2022
5 - 4,44,Travis Etienne Jr.,RB,Chicken Fried Chicken Meal,178.17,11.88,187.6,11.04,17,76.59,C,0755 Fantasy Football,2022
3 - 10,30,Tee Higgins,WR,PHL Mike,197.32,12.33,183.9,11.49,16,76.39,C,0755 Fantasy Football,2022
7 - 4,64,Aaron Rodgers,QB,Chicken Fried Chicken Meal,272.93,17.06,207.2,12.19,17,76.33,C,0755 Fantasy Football,2022
4 - 5,35,Ezekiel Elliott,RB,Brady Gaga,193.81,12.92,177.3,11.82,15,75.57,C,0755 Fantasy Football,2022
2 - 10,20,Mark Andrews,TE,Prahlad's  Life Coach,194.06,12.13,154.0,10.27,15,74.93,C,0755 Fantasy Football,2022
13 - 2,122,Derek Carr,QB,Team Just here 4 fun,222.68,13.92,192.08,12.81,15,74.76,C,0755 Fantasy Football,2022
9 - 10,90,Dak Prescott,QB,PHL Mike,270.02,16.88,178.6,14.88,12,74.74,C,0755 Fantasy Football,2022
5 - 1,41,Chris Godwin,WR,Prahlad's  Life Coach,160.7,11.48,170.8,11.39,15,74.65,C,0755 Fantasy Football,2022
11 - 3,103,Brandon Aiyuk,WR,Office Director,153.67,9.6,188.8,11.11,17,74.57,C,0755 Fantasy Football,2022
16 - 1,151,Garrett Wilson,WR,PHL Mike,143.93,9.0,174.2,10.25,17,74.34,C,0755 Fantasy Football,2022
13 - 9,129,49ers D/ST,D/ST,Hot Sauce 'n' Bananas,122.61,7.21,170.0,10.0,17,74.04,C,0755 Fantasy Football,2022
2 - 8,18,D'Andre Swift,RB,Office Director,220.62,14.71,167.1,11.94,14,73.85,C,0755 Fantasy Football,2022
14 - 6,136,Eagles D/ST,D/ST,MPT Phase1A,134.65,7.92,169.0,9.94,17,73.59,C,0755 Fantasy Football,2022
6 - 1,51,DK Metcalf,WR,PHL Mike,175.72,10.98,181.8,10.69,17,73.52,C,0755 Fantasy Football,2022
10 - 4,94,Bills D/ST,D/ST,The Big Hurts,158.63,9.33,152.0,9.5,16,73.46,C,0755 Fantasy Football,2022
3 - 8,28,DJ Moore,WR,MOTHER MAY I,195.05,12.19,167.6,9.86,17,72.56,C-,0755 Fantasy Football,2022
4 - 7,37,Michael Pittman Jr.,WR,Chicken Fried Chicken Meal,192.28,12.02,167.0,10.44,16,72.49,C-,0755 Fantasy Football,2022
15 - 2,142,Cowboys D/ST,D/ST,Team Just here 4 fun,117.6,6.92,165.0,9.71,17,72.48,C-,0755 Fantasy Football,2022
10 - 10,100,Russell Wilson,QB,Prahlad's  Life Coach,260.01,16.25,170.26,11.35,15,72.47,C-,0755 Fantasy Football,2022
8 - 2,72,Dameon Pierce,RB,Hot Sauce 'n' Bananas,167.62,11.17,151.4,11.65,13,72.42,C-,0755 Fantasy Football,2022
12 - 7,117,Daniel Carlson,K,Chicken Fried Chicken Meal,132.12,7.77,156.0,9.18,17,72.22,C-,0755 Fantasy Football,2022
6 - 9,59,Jerry Jeudy,WR,Team Just here 4 fun,176.6,11.04,170.7,11.38,15,72.05,C-,0755 Fantasy Football,2022
9 - 8,88,Justin Tucker,K,MOTHER MAY I,139.37,8.2,157.0,9.24,17,71.65,C-,0755 Fantasy Football,2022
5 - 3,43,David Montgomery,RB,Office Director,196.94,13.13,160.7,10.04,16,71.63,C-,0755 Fantasy Football,2022
8 - 1,71,Devin Singletary,RB,PHL Mike,173.47,11.56,158.9,9.93,16,71.35,C-,0755 Fantasy Football,2022
3 - 7,27,Keenan Allen,WR,The Big Hurts,190.98,12.73,131.0,13.1,10,70.76,C-,0755 Fantasy Football,2022
11 - 5,105,Chris Olave,WR,MPT Phase1A,144.5,9.03,162.2,10.81,15,70.1,C-,0755 Fantasy Football,2022
4 - 9,39,Mike Williams,WR,Team Just here 4 fun,179.86,11.99,145.0,11.15,13,69.76,D+,0755 Fantasy Football,2022
5 - 9,49,Breece Hall,RB,Hot Sauce 'n' Bananas,193.1,12.87,105.6,15.09,7,69.6,D+,0755 Fantasy Football,2022
8 - 8,78,AJ Dillon,RB,Office Director,152.64,10.18,153.6,9.04,17,69.01,D+,0755 Fantasy Football,2022
2 - 4,14,Deebo Samuel,WR,The Big Hurts,226.82,14.18,140.4,10.8,13,68.87,D+,0755 Fantasy Football,2022
9 - 4,84,Cordarrelle Patterson,RB,Chicken Fried Chicken Meal,145.58,10.4,144.2,11.09,13,68.64,D+,0755 Fantasy Football,2022
