Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 4,4,Ja'Marr Chase,WR,Came and Wentz,289.75,20.7,319.4,24.57,13,100.0,A+,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
1 - 12,12,Saquon Barkley,RB,Pho_King,252.62,18.04,302.0,23.23,13,98.51,A+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
16 - 5,185,Bucky Irving,RB,Partners for What's Possible,112.15,8.01,173.5,13.35,13,95.68,A,{5E530C03-3F19-48F0-A309-52B769E76347}
8 - 7,91,Brock Bowers,TE,Eli,144.05,9.6,205.7,15.82,13,95.44,A,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
10 - 4,112,Chuba Hubbard,RB,Prahlad's Ghost,136.26,9.73,200.2,15.4,13,95.39,A,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
4 - 10,46,Lamar Jackson,QB,PAI Alcoholics Anonymous ,304.57,20.3,321.4,24.72,13,94.8,A,{0CE04EAF-1603-4259-869A-A567F9953F44}
2 - 9,21,Derrick Henry,RB,Came and Wentz,225.25,16.09,254.2,19.55,13,94.19,A,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
12 - 5,137,Jayden Daniels,QB,Partners for What's Possible,256.66,17.11,261.76,20.14,13,93.3,A,{5E530C03-3F19-48F0-A309-52B769E76347}
6 - 12,72,Joe Burrow,QB,Pennoni Adjacent,280.04,18.67,286.04,22.0,13,93.25,A,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
2 - 10,22,Alvin Kamara,RB,PAI Alcoholics Anonymous ,231.21,16.52,248.3,19.1,13,92.81,A-,{0CE04EAF-1603-4259-869A-A567F9953F44}
9 - 9,105,Chase Brown,RB,Prahlad's Ghost,167.04,11.93,201.7,15.52,13,92.42,A-,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
3 - 8,32,Josh Allen,QB,Partners for What's Possible,314.54,20.97,303.62,23.36,13,92.37,A-,{5E530C03-3F19-48F0-A309-52B769E76347}
6 - 6,66,David Montgomery,RB,19th St Halal Cart,177.45,12.68,214.22,16.48,13,91.4,A-,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
3 - 10,34,De'Von Achane,RB,The Golden Receivers,211.18,15.08,230.4,17.72,13,90.37,A-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
5 - 3,51,George Kittle,TE,PAI Alcoholics Anonymous ,175.53,11.7,194.1,16.18,12,90.08,A-,{0CE04EAF-1603-4259-869A-A567F9953F44}
7 - 6,78,Terry McLaurin,WR,Eli,193.63,12.91,202.8,15.6,13,89.96,B+,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
11 - 2,122,Khalil Shakir,WR,Daddy's Home,153.75,10.25,156.9,13.08,12,89.91,B+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
2 - 6,18,Kyren Williams,RB,19th St Halal Cart,233.06,16.65,236.0,16.86,14,89.86,B+,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
3 - 9,33,Josh Jacobs,RB,Prahlad's Ghost,216.68,15.48,228.3,17.56,13,89.63,B+,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
3 - 12,36,Joe Mixon,RB,Pho_King,218.77,15.63,212.1,21.21,10,89.49,B+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
4 - 2,38,Jalen Hurts,QB,Team Cogs,315.18,21.01,282.48,21.73,13,88.91,B+,{91828F94-1966-4B65-828F-9419663B65D8}
1 - 11,11,Jahmyr Gibbs,RB,Team Cogs,238.64,17.05,236.8,18.22,13,88.81,B+,{91828F94-1966-4B65-828F-9419663B65D8}
1 - 5,5,Bijan Robinson,RB,Philadelphia Bills Mafia,292.99,20.93,246.8,18.98,13,88.35,B+,{65213399-AD95-4113-B087-DAB0440DEF10}
9 - 5,101,Brian Thomas Jr.,WR,Philadelphia Bills Mafia,171.72,11.45,182.1,14.01,13,88.23,B+,{65213399-AD95-4113-B087-DAB0440DEF10}
12 - 10,142,Jared Goff,QB,PAI Alcoholics Anonymous ,235.81,15.72,225.0,17.31,13,88.07,B+,{0CE04EAF-1603-4259-869A-A567F9953F44}
10 - 10,118,Jerry Jeudy,WR,PAI Alcoholics Anonymous ,176.85,11.79,183.4,14.11,13,88.01,B+,{0CE04EAF-1603-4259-869A-A567F9953F44}
8 - 9,93,Jaxon Smith-Njigba,WR,Came and Wentz,191.5,12.77,199.2,15.32,13,88.01,B+,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
11 - 6,126,Rico Dowdle,RB,Eli,148.58,10.61,148.6,12.38,12,87.7,B+,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
10 - 2,110,J.K. Dobbins,RB,Team Cogs,155.58,11.97,166.0,15.09,11,87.23,B+,{91828F94-1966-4B65-828F-9419663B65D8}
1 - 9,9,Justin Jefferson,WR,Prahlad's Ghost,282.52,18.83,235.18,18.09,13,87.02,B+,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
15 - 7,175,Jordan Mason,RB,19th St Halal Cart,82.6,6.35,115.0,9.58,12,86.68,B,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
10 - 5,113,Steelers D/ST,D/ST,Partners for What's Possible,137.59,8.09,137.0,10.54,13,86.46,B,{5E530C03-3F19-48F0-A309-52B769E76347}
12 - 2,134,Josh Downs,WR,Team Cogs,111.29,8.56,137.6,13.76,10,86.15,B,{91828F94-1966-4B65-828F-9419663B65D8}
5 - 11,59,Trey McBride,TE,Team Cogs,182.39,12.16,177.3,14.78,12,85.85,B,{91828F94-1966-4B65-828F-9419663B65D8}
12 - 7,139,Darnell Mooney,WR,Eli,174.13,11.61,174.3,13.41,13,85.8,B,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
1 - 7,7,Amon-Ra St. Brown,WR,19th St Halal Cart,284.25,18.95,226.18,17.4,13,85.53,B,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
4 - 7,43,James Conner,RB,Eli,177.93,13.69,193.6,14.89,13,85.25,B,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
14 - 5,161,Ka'imi Fairbairn,K,Partners for What's Possible,137.24,8.07,140.0,10.77,13,85.17,B,{5E530C03-3F19-48F0-A309-52B769E76347}
10 - 1,109,Jordan Addison,WR,Pho_King,188.75,12.58,164.8,14.98,11,85.05,B,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
6 - 4,64,Aaron Jones,RB,Prahlad's Ghost,190.03,13.57,186.5,14.35,13,84.82,B,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
8 - 3,87,Tony Pollard,RB,The Golden Receivers,172.92,12.35,178.0,13.69,13,84.55,B,{4656A2AD-A939-460B-96A2-ADA939760B8B}
9 - 8,104,Ladd McConkey,WR,Partners for What's Possible,178.49,11.9,163.5,13.62,12,84.41,B,{5E530C03-3F19-48F0-A309-52B769E76347}
9 - 1,97,Jayden Reed,WR,Pennoni Adjacent,180.52,12.03,168.1,12.93,13,84.39,B,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
8 - 5,89,Courtland Sutton,WR,Partners for What's Possible,189.68,12.65,180.8,13.91,13,84.33,B,{5E530C03-3F19-48F0-A309-52B769E76347}
2 - 11,23,Drake London,WR,Daddy's Home,225.73,15.05,197.3,15.18,13,84.28,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
7 - 8,80,Najee Harris,RB,Partners for What's Possible,175.11,12.51,171.6,13.2,13,84.22,B,{5E530C03-3F19-48F0-A309-52B769E76347}
16 - 2,182,Eagles D/ST,D/ST,Team Cogs,100.35,5.9,108.0,8.31,13,84.17,B,{91828F94-1966-4B65-828F-9419663B65D8}
10 - 9,117,Jakobi Meyers,WR,Came and Wentz,175.31,11.69,156.6,14.24,11,84.02,B,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
1 - 3,3,CeeDee Lamb,WR,PAI Alcoholics Anonymous ,317.06,21.14,219.3,16.87,13,83.87,B,{0CE04EAF-1603-4259-869A-A567F9953F44}
6 - 7,67,Kyler Murray,QB,Eli,264.89,17.66,222.88,17.14,13,83.82,B,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
2 - 2,14,Garrett Wilson,WR,Team Cogs,251.81,16.79,199.2,15.32,13,83.44,B,{91828F94-1966-4B65-828F-9419663B65D8}
12 - 11,143,Caleb Williams,QB,Daddy's Home,252.94,16.86,204.34,15.72,13,83.44,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
3 - 5,29,James Cook,RB,Philadelphia Bills Mafia,222.09,15.86,192.7,16.06,12,83.4,B,{65213399-AD95-4113-B087-DAB0440DEF10}
14 - 6,162,Matthew Stafford,QB,19th St Halal Cart,241.73,16.12,199.42,14.24,14,83.11,B,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
14 - 8,164,Justin Herbert,QB,Philadelphia Bills Mafia,252.77,16.85,196.96,15.15,13,83.08,B,{65213399-AD95-4113-B087-DAB0440DEF10}
