Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Total Pick,Draft Grade,Letter Grade
1 - 4,Ja'Marr Chase,WR,Came and Wentz,289.75,20.7,319.4,24.57,13,4,100.0,A+
1 - 12,Saquon Barkley,RB,Pho_King,252.62,18.04,302.0,23.23,13,12,97.65716758078521,A+
8 - 7,Brock Bowers,TE,Eli,144.05,9.6,205.7,15.82,13,91,91.62708895812908,A-
10 - 4,Chuba Hubbard,RB,Prahlad's Ghost,136.26,9.73,200.2,15.4,13,112,86.8965014543099,B
2 - 9,Derrick Henry,RB,Came and Wentz,225.25,16.09,254.2,19.55,13,21,86.8417942140514,B
16 - 5,Bucky Irving,RB,Partners for What's Possible,112.15,8.01,173.5,13.35,13,185,84.36634799174985,B
4 - 10,Lamar Jackson,QB,PAI Alcoholics Anonymous ,304.57,20.3,321.4,24.72,13,46,84.31512915640181,B
2 - 10,Alvin Kamara,RB,PAI Alcoholics Anonymous ,231.21,16.52,248.3,19.1,13,22,84.15945881606399,B
6 - 6,David Montgomery,RB,19th St Halal Cart,177.45,12.68,214.22,16.48,13,66,81.74268577421327,B-
3 - 10,De'Von Achane,RB,The Golden Receivers,211.18,15.08,230.4,17.72,13,34,81.33579252966115,B-
1 - 11,Jahmyr Gibbs,RB,Team Cogs,238.64,17.05,236.8,18.22,13,11,80.02316409211342,B-
3 - 9,Josh Jacobs,RB,Prahlad's Ghost,216.68,15.48,228.3,17.56,13,33,79.8619299676065,C+
9 - 9,Chase Brown,RB,Prahlad's Ghost,167.04,11.93,201.7,15.52,13,105,79.46881502820669,C+
3 - 8,Josh Allen,QB,Partners for What's Possible,314.54,20.97,303.62,23.36,13,32,79.20425516779953,C+
6 - 12,Joe Burrow,QB,Pennoni Adjacent,280.04,18.67,286.04,22.0,13,72,78.30466320835653,C+
1 - 5,Bijan Robinson,RB,Philadelphia Bills Mafia,292.99,20.93,246.8,18.98,13,5,78.19212316380397,C+
5 - 3,George Kittle,TE,PAI Alcoholics Anonymous ,175.53,11.7,184.0,16.73,11,51,76.52851013557876,C
1 - 9,Justin Jefferson,WR,Prahlad's Ghost,282.52,18.83,235.18,18.09,13,9,76.19698657646569,C
2 - 6,Kyren Williams,RB,19th St Halal Cart,233.06,16.65,222.8,17.14,13,18,76.1848559093538,C
7 - 6,Terry McLaurin,WR,Eli,193.63,12.91,202.8,15.6,13,78,76.03686327607794,C
3 - 12,Joe Mixon,RB,Pho_King,218.77,15.63,212.1,21.21,10,36,75.17360353865037,C
8 - 9,Jaxon Smith-Njigba,WR,Came and Wentz,191.5,12.77,199.2,15.32,13,93,75.14947468317,C
10 - 5,Steelers D/ST,D/ST,Partners for What's Possible,137.59,8.09,137.0,10.54,13,113,75.14055929862847,C
12 - 5,Jayden Daniels,QB,Partners for What's Possible,256.66,17.11,261.76,20.14,13,137,74.82418870763576,C
4 - 2,Jalen Hurts,QB,Team Cogs,315.18,21.01,282.48,21.73,13,38,74.1470742567937,C
4 - 7,James Conner,RB,Eli,177.93,13.69,193.6,14.89,13,43,73.98836171709812,C
1 - 7,Amon-Ra St. Brown,WR,19th St Halal Cart,284.25,18.95,226.18,17.4,13,7,73.68659734692085,C
9 - 5,Brian Thomas Jr.,WR,Philadelphia Bills Mafia,171.72,11.45,182.1,14.01,13,101,72.64258651086716,C-
