Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Sam Howell,QB,Philadelphia British Army,0.0,0.0,257.04,15.12,17,100.0,A+,{65213399-AD95-4113-B087-DAB0440DEF10}
Gus Edwards,RB,I'd_Tap_ That,0.0,0.0,181.0,10.65,17,97.15,A+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Puka Nacua,WR,PAI India Division Manager,0.0,0.0,246.0,14.47,17,94.12,A,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Texans D/ST,D/ST,Philadelphia British Army,0.0,0.0,132.0,7.76,17,91.4,A-,{65213399-AD95-4113-B087-DAB0440DEF10}
Jerome Ford,RB,Prahlad's Ghost,0.0,0.0,189.2,11.13,17,89.57,B+,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Taysom Hill,TE,Bli Erinker,0.0,0.0,143.52,8.97,16,89.49,B+,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Jaguars D/ST,D/ST,PAI India Division Manager,0.0,0.0,114.0,6.71,17,88.92,B+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Brandon Aubrey,K,19th St Halal Cart,123.6,7.27,174.0,10.24,17,85.11,B,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Jordan Love,QB,Team Cogs,0.0,0.0,319.06,18.77,17,84.67,B,{91828F94-1966-4B65-828F-9419663B65D8}
Baker Mayfield,QB,Book of MoreMoms,0.0,0.0,274.06,16.12,17,83.48,B,{5E530C03-3F19-48F0-A309-52B769E76347}
Cairo Santos,K,Bli Erinker,135.64,7.98,151.0,8.88,17,83.35,B,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Zack Moss,RB,Prahlad's Ghost,0.0,0.0,156.1,11.15,14,81.68,B-,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Jake Moody,K,Pennoni Adjacent,0.0,0.0,122.0,7.18,17,81.51,B-,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
C.J. Stroud,QB,Team Cogs,0.0,0.0,277.52,18.5,15,81.24,B-,{91828F94-1966-4B65-828F-9419663B65D8}
Tyjae Spears,RB,Prahlad's Ghost,0.0,0.0,127.8,7.52,17,75.71,C,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Rashid Shaheed,WR,Bli Erinker,0.0,0.0,132.6,8.84,15,75.65,C,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Chiefs D/ST,D/ST,I'd_Tap_ That,0.0,0.0,156.0,9.18,17,75.35,C,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Raiders D/ST,D/ST,Team Cogs,0.0,0.0,148.0,8.71,17,75.27,C,{91828F94-1966-4B65-828F-9419663B65D8}
Chris Boswell,K,PAI Alcoholics Anonymous ,125.08,7.36,130.0,7.65,17,74.31,C,{0CE04EAF-1603-4259-869A-A567F9953F44}
Chargers D/ST,D/ST,Came and Wentz,0.0,0.0,95.0,5.59,17,72.94,C-,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
Bears D/ST,D/ST,19th St Halal Cart,0.0,0.0,120.0,7.06,17,72.34,C-,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Rashee Rice,WR,The Golden Receivers,0.0,0.0,173.0,10.81,16,71.16,C-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Kyren Williams,RB,19th St Halal Cart,0.0,0.0,239.0,19.92,12,70.59,C-,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Trey McBride,TE,Philadelphia British Army,70.57,4.7,181.5,10.68,17,70.38,C-,{65213399-AD95-4113-B087-DAB0440DEF10}
Curtis Samuel,WR,Came and Wentz,0.0,0.0,126.2,7.89,16,69.65,D+,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
Jameson Williams,WR,19th St Halal Cart,0.0,0.0,68.3,5.69,12,68.51,D+,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Chuba Hubbard,RB,Prahlad's Ghost,0.0,0.0,163.0,9.59,17,67.98,D+,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
Jonnu Smith,TE,Bli Erinker,0.0,0.0,124.2,7.31,17,65.52,D,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
Ty Chandler,RB,The Golden Receivers,0.0,0.0,90.5,5.32,17,65.35,D,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Falcons D/ST,D/ST,19th St Halal Cart,0.0,0.0,102.0,6.0,17,65.32,D,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Hunter Henry,TE,I'd_Tap_ That,0.0,0.0,119.9,8.56,14,65.11,D,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Matt Prater,K,PAI Alcoholics Anonymous ,123.58,7.27,123.0,7.24,17,64.82,D,{0CE04EAF-1603-4259-869A-A567F9953F44}
