Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 12,12,Saquon Barkley,RB,Team Rodriguez,229.38,16.38,285.5,21.96,13,100.0,A+,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
2 - 3,17,Ja'Marr Chase,WR,Team Rodriguez,237.02,16.93,270.9,20.84,13,99.34,A+,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
11 - 3,143,Chuba Hubbard,RB,Wu-Tangs Killabeez,121.25,8.66,182.7,14.05,13,97.77,A+,{8BED9748-9839-4F55-AD97-4898394F5553}
13 - 11,179,Bucky Irving,RB,Taco Tuesday Everyday,98.81,7.06,155.5,11.96,13,97.71,A+,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
14 - 8,190,Sam Darnold,QB,Peter Pan + the Lost Boys ,192.49,14.81,241.36,18.57,13,96.92,A,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
10 - 5,131,Bo Nix,QB,Toon Squad,192.76,13.77,226.78,17.44,13,96.8,A,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
2 - 7,21,Derrick Henry,RB,It HURTS being an Eagles fan ,213.25,15.23,247.7,19.05,13,95.49,A,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
2 - 4,18,Lamar Jackson,QB,Taco Tuesday Everyday,303.83,20.26,321.4,24.72,13,95.19,A,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
8 - 11,109,Brock Bowers,TE,Dirty Tone and  The Boys,115.72,7.71,162.2,12.48,13,93.86,A,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
1 - 2,2,Josh Allen,QB,Crazy Kat,313.58,20.91,303.62,23.36,13,92.47,A-,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
4 - 12,54,Joe Mixon,RB,Wu-Tangs Killabeez,197.32,14.09,198.6,19.86,10,92.28,A-,{8BED9748-9839-4F55-AD97-4898394F5553}
9 - 5,117,Chase Brown,RB,Terrell Suggs to be you,146.27,10.45,179.7,13.82,13,91.97,A-,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B}
10 - 6,132,J.K. Dobbins,RB,Maid of Honor,140.27,10.79,152.0,13.82,11,91.35,A-,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
7 - 7,91,George Kittle,TE,Peter Pan + the Lost Boys ,143.99,9.6,164.1,13.68,12,91.09,A-,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
4 - 4,46,Jayden Daniels,QB,Taco Tuesday Everyday,255.91,17.06,261.76,20.14,13,90.93,A-,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
6 - 11,81,David Montgomery,RB,Dirty Tone and  The Boys,166.48,11.89,198.22,15.25,13,90.92,A-,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
