Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade
13 - 11,Bucky Irving,RB,Taco Tuesday Everyday,98.81,7.06,155.5,11.96,13,100.0
11 - 3,Chuba Hubbard,RB,Wu-Tangs Killabeez,121.25,8.66,182.7,14.05,13,96.67410707340672
14 - 3,Tank Bigsby,RB,Team Rodriguez,67.93,4.85,97.7,8.14,12,93.56135597542169
8 - 11,Brock Bowers,TE,Dirty Tone and  The Boys,115.72,7.71,162.2,12.48,13,92.16009100497122
14 - 11,Jordan Mason,RB,Dirty Tone and  The Boys,76.89,5.91,109.5,9.12,12,90.95897388586455
1 - 12,Saquon Barkley,RB,Team Rodriguez,229.38,16.38,285.5,21.96,13,83.1207249235605
13 - 6,Bills D/ST,D/ST,sports,79.74,4.69,94.0,7.23,13,82.22513834704127
9 - 5,Chase Brown,RB,Terrell Suggs to be you,146.27,10.45,179.7,13.82,13,81.41696754452045
14 - 8,Sam Darnold,QB,Peter Pan + the Lost Boys ,192.49,14.81,241.36,18.57,13,81.3382083931627
6 - 11,David Montgomery,RB,Dirty Tone and  The Boys,166.48,11.89,198.22,15.25,13,79.27200189890299
2 - 3,Ja'Marr Chase,WR,Team Rodriguez,237.02,16.93,270.9,20.84,13,78.69442635735005
10 - 5,Bo Nix,QB,Toon Squad,192.76,13.77,226.78,17.44,13,78.55485200502544
2 - 7,Derrick Henry,RB,It HURTS being an Eagles fan ,213.25,15.23,247.7,19.05,13,78.43340501016841
13 - 7,Packers D/ST,D/ST,Peter Pan + the Lost Boys ,93.38,5.49,102.0,7.85,13,77.24385238471972
14 - 13,Ray Davis,RB,Crazy Kat,68.65,4.9,79.0,6.08,13,76.98765166669283
7 - 8,Terry McLaurin,WR,It HURTS being an Eagles fan ,156.18,10.41,172.3,13.25,13,75.67535745243532
7 - 7,George Kittle,TE,Peter Pan + the Lost Boys ,143.99,9.6,156.0,14.18,11,75.58933040489302
8 - 9,Brian Thomas Jr.,WR,sports,140.93,9.4,155.1,11.93,13,75.46657824177865
3 - 1,Joe Burrow,QB,the   jadey bunch,278.72,18.58,284.04,21.85,13,75.22510718808854
1 - 2,Josh Allen,QB,Crazy Kat,313.58,20.91,303.62,23.36,13,74.628194405546
2 - 4,Lamar Jackson,QB,Taco Tuesday Everyday,303.83,20.26,321.4,24.72,13,74.5846862488196
2 - 11,Alvin Kamara,RB,Dirty Tone and  The Boys,197.18,14.08,216.3,16.64,13,74.57869244962166
3 - 11,Josh Jacobs,RB,Taco Tuesday Everyday,195.88,13.99,214.8,16.52,13,74.3482686294377
12 - 3,Ka'imi Fairbairn,K,Team Rodriguez,140.45,8.26,145.0,11.15,13,74.00018489401351
6 - 3,Baker Mayfield,QB,Team Rodriguez,245.41,16.36,259.26,19.94,13,73.58424459170377
8 - 2,Jaxon Smith-Njigba,WR,The Upside Down,153.71,10.25,161.7,12.44,13,73.42951901553982
11 - 8,Zach Charbonnet,RB,It HURTS being an Eagles fan ,122.21,8.73,132.3,10.18,13,73.33665397746276
10 - 6,J.K. Dobbins,RB,Maid of Honor,140.27,10.79,152.0,13.82,11,72.92762004707015
3 - 6,De'Von Achane,RB,sports,187.8,13.41,198.9,15.3,13,72.6512782765442
5 - 13,James Conner,RB,The Upside Down,161.2,12.4,175.6,13.51,13,72.63898682091029
11 - 10,Steelers D/ST,D/ST,Toon Squad,125.2,7.36,126.0,9.69,13,72.26442664374983
11 - 14,Jerry Jeudy,WR,The  Dream crusher,145.98,9.73,151.9,11.68,13,72.0471869328731
4 - 4,Jayden Daniels,QB,Taco Tuesday Everyday,255.91,17.06,261.76,20.14,13,71.82092424108814
