Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Kyren Williams,RB,Crazy Kat,0.0,0.0,239.0,19.92,12,100.0,A+,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
Trey McBride,TE,Peter Pan + the Lost Boys ,54.82,3.65,141.0,8.29,17,99.97,A+,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
Raiders D/ST,D/ST,Off Script ,0.0,0.0,135.0,7.94,17,93.21,A,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
Baker Mayfield,QB,Toon Squad,0.0,0.0,274.06,16.12,17,91.97,A-,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
Puka Nacua,WR,The Upside Down,0.0,0.0,246.0,14.47,17,91.91,A-,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
Bears D/ST,D/ST,The Upside Down,0.0,0.0,110.0,6.47,17,88.64,B+,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
Jake Ferguson,TE,Rollin' with Mahomies,0.0,0.0,141.6,8.33,17,87.55,B+,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B}
Chuba Hubbard,RB,Team Rodriguez,0.0,0.0,163.0,9.59,17,86.1,B,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
D'Onta Foreman,RB,The  Dream crusher,0.0,0.0,85.7,8.57,10,84.01,B,{600C56A6-5DB0-42B1-8C56-A65DB022B176}
Sam Howell,QB,The Upside Down,0.0,0.0,257.04,15.12,17,83.84,B,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
Rashee Rice,WR,Team Sunshine,0.0,0.0,173.0,10.81,16,83.02,B,{1AE08E91-6882-4C36-A08E-9168821C36D0}
Tyjae Spears,RB,Maid of Honor,0.0,0.0,127.8,7.52,17,80.93,B-,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
Jake Browning,QB,The Upside Down,0.0,0.0,143.94,15.99,9,80.32,B-,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
Jayden Reed,WR,The Upside Down,0.0,0.0,185.2,11.58,16,79.98,C+,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
Desmond Ridder,QB,Crazy Kat,0.0,0.0,176.64,11.04,16,79.16,C+,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
Anders Carlson,K,Maid of Honor,0.0,0.0,119.0,7.0,17,76.68,C,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
Romeo Doubs,WR,Team Sunshine,0.0,0.0,144.9,8.52,17,75.98,C,{1AE08E91-6882-4C36-A08E-9168821C36D0}
Cairo Santos,K,Peter Pan + the Lost Boys ,139.29,8.19,155.0,9.12,17,75.71,C,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
Buccaneers D/ST,D/ST,Wu-Tangs Killabeez,0.0,0.0,108.0,6.35,17,75.56,C,{8BED9748-9839-4F55-AD97-4898394F5553}
Vikings D/ST,D/ST,Peter Pan + the Lost Boys ,0.0,0.0,111.0,6.53,17,75.46,C,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
Chase McLaughlin,K,Team Sunshine,118.2,6.95,134.0,7.88,17,74.9,C,{1AE08E91-6882-4C36-A08E-9168821C36D0}
Taysom Hill,TE,Toon Squad,0.0,0.0,127.02,7.94,16,74.75,C,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
Jake Moody,K,the   jadey bunch,0.0,0.0,127.0,7.47,17,74.41,C,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
Sam LaPorta,TE,Team Sunshine,0.0,0.0,196.3,11.55,17,74.37,C,{1AE08E91-6882-4C36-A08E-9168821C36D0}
Zack Moss,RB,Dirty Tone and  The Boys,0.0,0.0,156.1,11.15,14,74.12,C,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
Emari Demercado,RB,Dirty Tone and  The Boys,0.0,0.0,62.8,4.49,14,73.31,C,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
Josh Downs,WR,The  Dream crusher,0.0,0.0,123.1,7.24,17,72.52,C-,{600C56A6-5DB0-42B1-8C56-A65DB022B176}
Chargers D/ST,D/ST,Crazy Kat,0.0,0.0,86.0,5.06,17,72.42,C-,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
Gardner Minshew,QB,Wu-Tangs Killabeez,0.0,0.0,196.2,11.54,17,72.18,C-,{8BED9748-9839-4F55-AD97-4898394F5553}
Jaguars D/ST,D/ST,Peter Pan + the Lost Boys ,0.0,0.0,105.0,6.18,17,71.82,C-,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
Nick Folk,K,Taco Tuesday Everyday,133.89,7.88,130.0,7.65,17,71.1,C-,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
Kareem Hunt,RB,Dirty Tone and  The Boys,0.0,0.0,111.0,7.4,15,69.93,D+,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
Brandon Aubrey,K,The  Dream crusher,131.9,7.76,179.0,10.53,17,67.15,D+,{600C56A6-5DB0-42B1-8C56-A65DB022B176}
Texans D/ST,D/ST,Toon Squad,0.0,0.0,118.0,6.94,17,63.58,D,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
Ty Chandler,RB,The Upside Down,0.0,0.0,90.5,5.32,17,63.3,D,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
Aidan O'Connell,QB,Taco Tuesday Everyday,0.0,0.0,125.82,11.44,11,62.48,D-,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
Dontayvion Wicks,WR,Team Rodriguez,0.0,0.0,100.26,6.68,15,61.81,D-,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
Zamir White,RB,The  Dream crusher,0.0,0.0,66.4,3.91,17,61.08,D-,{600C56A6-5DB0-42B1-8C56-A65DB022B176}
Giants D/ST,D/ST,Rollin' with Mahomies,0.0,0.0,114.0,6.71,17,60.96,D-,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B}
Falcons D/ST,D/ST,Taco Tuesday Everyday,0.0,0.0,92.0,5.41,17,60.23,D-,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
Tyrod Taylor,QB,Off Script ,0.0,0.0,87.34,7.94,11,57.76,F-,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
Kyler Murray,QB,Peter Pan + the Lost Boys ,0.0,0.0,146.36,18.3,8,57.08,F-,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
Lions D/ST,D/ST,Wu-Tangs Killabeez,0.0,0.0,93.0,5.47,17,56.71,F-,{8BED9748-9839-4F55-AD97-4898394F5553}
DeMario Douglas,WR,Taco Tuesday Everyday,0.0,0.0,82.7,5.91,14,55.88,F-,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
