Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played
Wil Lutz,K,Peter Pan + the Lost Boys ,120.66,7.1,123.0,9.46,13
Tyrone Tracy Jr.,RB,Peter Pan + the Lost Boys ,71.92,5.14,128.5,9.88,13
Colts D/ST,D/ST,Peter Pan + the Lost Boys ,95.8,5.64,58.0,4.46,13
Nick Folk,K,Peter Pan + the Lost Boys ,134.58,7.92,104.0,8.0,13
Jameis Winston,QB,Dirty Tone and  The Boys,28.25,7.06,131.5,11.95,11
Buccaneers D/ST,D/ST,Dirty Tone and  The Boys,75.24,4.43,60.0,4.62,13
Chad Ryland,K,Dirty Tone and  The Boys,0.0,0.0,75.0,8.33,9
Derek Carr,QB,The  Dream crusher,218.66,14.58,150.9,15.09,10
Matthew Wright,K,The  Dream crusher,0.0,0.0,42.0,14.0,3
Josh Downs,WR,The Upside Down,88.16,6.78,111.1,11.11,10
Justice Hill,RB,The Upside Down,77.38,5.53,87.8,6.75,13
Cade Otton,TE,The Upside Down,87.92,5.86,107.7,8.28,13
Quentin Johnston,WR,The Upside Down,90.6,6.04,98.5,8.95,11
Isaac Guerendo,RB,The Upside Down,37.57,2.68,64.8,4.98,13
Falcons D/ST,D/ST,The Upside Down,107.5,6.32,40.0,3.08,13
Chase McLaughlin,K,It HURTS being an Eagles fan ,133.62,7.86,114.0,8.77,13
Jauan Jennings,WR,Taco Tuesday Everyday,59.65,3.98,141.9,12.9,11
Cardinals D/ST,D/ST,Taco Tuesday Everyday,53.06,3.12,74.0,5.69,13
Kareem Hunt,RB,Maid of Honor,0.0,0.0,115.6,11.56,10
Texans D/ST,D/ST,Maid of Honor,89.43,5.26,113.0,8.69,13
Alexander Mattison,RB,Maid of Honor,86.47,6.18,95.0,9.5,10
Aidan O'Connell,QB,Maid of Honor,113.12,14.14,48.56,8.09,6
Cam Akers,RB,Crazy Kat,21.92,1.69,59.3,4.56,13
Titans D/ST,D/ST,Crazy Kat,83.34,4.9,64.0,4.92,13
Vikings D/ST,D/ST,Terrell Suggs to be you,90.25,5.31,127.0,9.77,13
Seahawks D/ST,D/ST,Terrell Suggs to be you,102.28,6.02,98.0,7.54,13
Brandon McManus,K,Terrell Suggs to be you,0.0,0.0,56.0,8.0,7
Michael Wilson,WR,Terrell Suggs to be you,113.78,7.59,88.8,6.83,13
Chris Boswell,K,Toon Squad,129.64,7.63,162.0,12.46,13
Zach Ertz,TE,Toon Squad,58.2,3.88,104.1,8.01,13
Nick Westbrook-Ikhine,WR,Toon Squad,18.12,1.29,96.9,7.45,13
Broncos D/ST,D/ST,sports,62.93,3.7,127.0,9.77,13
Cedric Tillman,WR,sports,64.5,4.3,65.9,5.99,11
Jonnu Smith,TE,sports,67.7,4.51,129.6,9.97,13
Tyler Bass,K,sports,129.39,7.61,106.0,8.15,13
Eagles D/ST,D/ST,sports,89.53,5.27,92.0,7.08,13
Braelon Allen,RB,sports,68.88,4.92,67.8,5.22,13
Will Reichard,K,Team Rodriguez,125.13,7.36,79.0,8.78,9
Chargers D/ST,D/ST,Wu-Tangs Killabeez,78.89,4.64,104.0,8.0,13
Patriots D/ST,D/ST,Wu-Tangs Killabeez,60.51,3.56,49.0,3.77,13
Blake Grupe,K,Wu-Tangs Killabeez,125.5,7.38,99.0,7.62,13
Miles Sanders,RB,the   jadey bunch,78.45,5.6,40.2,4.02,10
Alec Pierce,WR,the   jadey bunch,42.52,2.83,109.0,8.38,13
Elijah Moore,WR,the   jadey bunch,59.31,3.95,80.7,6.21,13
Cooper Rush,QB,the   jadey bunch,34.45,8.61,69.14,7.68,9
Sincere McCormick,RB,the   jadey bunch,0.0,0.0,20.7,5.17,4
