League,Year,Week,Home Team,Home Score,Home Predicted Score,Away Team,Away Score,Away Predicted Score,Predicted Winner,Actual Winner
Pennoni Younglings,2022,1,Philadelphia British Army,73.98,102.33,19th St Halal Cart,122.82,104.64,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2022,1,Rizzo's Crash Test Dummy,115.1,103.08,Came and Wentz,84.22,103.71,Came and Wentz,Rizzo's Crash Test Dummy
Pennoni Younglings,2022,1,PAI Athletic Director,87.76,101.24,PAI Alcoholics Anonymous ,115.6,99.48,PAI Athletic Director,PAI Alcoholics Anonymous 
Pennoni Younglings,2022,1,Book of MoreMoms,106.86,111.21,Team Corner Office,116.88,108.96,Book of MoreMoms,Team Corner Office
Pennoni Younglings,2022,1,The Golden Receivers,115.02,105.1,Girth Brooks,79.6,105.7,Girth Brooks,The Golden Receivers
Pennoni Younglings,2022,1,I'd_Tap_ That,85.46,98.66,Team Cogs,88.62,108.8,Team Cogs,Team Cogs
Pennoni Younglings,2022,2,19th St Halal Cart,95.82,107.37,Came and Wentz,151.38,101.21,19th St Halal Cart,Came and Wentz
Pennoni Younglings,2022,2,PAI Alcoholics Anonymous ,85.6,99.26,Philadelphia British Army,108.08,103.27,Philadelphia British Army,Philadelphia British Army
Pennoni Younglings,2022,2,PAI Athletic Director,86.1,94.23,Rizzo's Crash Test Dummy,111.06,105.33,Rizzo's Crash Test Dummy,Rizzo's Crash Test Dummy
Pennoni Younglings,2022,2,Team Corner Office,101.8,107.28,Girth Brooks,98.58,104.14,Team Corner Office,Team Corner Office
Pennoni Younglings,2022,2,Team Cogs,141.02,101.02,Book of MoreMoms,103.04,107.43,Book of MoreMoms,Team Cogs
Pennoni Younglings,2022,2,I'd_Tap_ That,88.16,101.04,The Golden Receivers,106.66,109.27,The Golden Receivers,The Golden Receivers
Pennoni Younglings,2022,3,PAI Alcoholics Anonymous ,101.18,98.39,19th St Halal Cart,94.3,110.6,19th St Halal Cart,PAI Alcoholics Anonymous 
Pennoni Younglings,2022,3,Came and Wentz,87.56,103.55,PAI Athletic Director,96.62,92.36,Came and Wentz,PAI Athletic Director
Pennoni Younglings,2022,3,Philadelphia British Army,140.0,100.61,Rizzo's Crash Test Dummy,102.76,105.81,Rizzo's Crash Test Dummy,Philadelphia British Army
Pennoni Younglings,2022,3,Team Cogs,122.22,113.46,Team Corner Office,88.54,105.03,Team Cogs,Team Cogs
Pennoni Younglings,2022,3,Girth Brooks,65.06,110.2,I'd_Tap_ That,97.28,104.38,Girth Brooks,I'd_Tap_ That
Pennoni Younglings,2022,3,Book of MoreMoms,95.9,111.46,The Golden Receivers,107.5,107.19,Book of MoreMoms,The Golden Receivers
Pennoni Younglings,2022,4,19th St Halal Cart,126.86,106.16,PAI Athletic Director,95.52,99.35,19th St Halal Cart,19th St Halal Cart
Pennoni Younglings,2022,4,Rizzo's Crash Test Dummy,97.28,111.33,PAI Alcoholics Anonymous ,120.66,100.02,Rizzo's Crash Test Dummy,PAI Alcoholics Anonymous 
Pennoni Younglings,2022,4,Philadelphia British Army,107.02,106.14,Came and Wentz,107.88,99.06,Philadelphia British Army,Came and Wentz
