Round,Team 1,Seed 1,Score 1,LPI 1,Total Points 1,Record 1,Team 2,Seed 2,Score 2,LPI 2,Total Points 2,Record 2,Winner,Year,League,File Name
Quarter Final,Team Cogs,1,116.98,46,1640.26,12-2-0,Rizzo's Crash Test Dummy,8,105.4,-6,1431.64,6-8-0,Team Cogs,2022,Pennoni Younglings,leagues/Pennoni Younglings 2022.xlsx
Quarter Final,The Golden Receivers,2,106.7,30,1553.28,10-4-0,Came and Wentz,7,95.66,-4,1453.54,7-7-0,The Golden Receivers,2022,Pennoni Younglings,leagues/Pennoni Younglings 2022.xlsx
Quarter Final,19th St Halal Cart,3,93.1,15,1539.04,9-5-0,PAI Alcoholics Anonymous ,6,109.64,34,1463.36,7-7-0,PAI Alcoholics Anonymous ,2022,Pennoni Younglings,leagues/Pennoni Younglings 2022.xlsx
Quarter Final,Philadelphia British Army,4,136.56,8,1482.64,8-6-0,Book of MoreMoms,5,117.74,0,1467.52,7-7-0,Philadelphia British Army,2022,Pennoni Younglings,leagues/Pennoni Younglings 2022.xlsx
Semi Final,Team Cogs,1,84.26,46,1640.26,12-2-0,Philadelphia British Army,4,145.68,10,1482.64,8-6-0,Philadelphia British Army,2022,Pennoni Younglings,leagues/Pennoni Younglings 2022.xlsx
Semi Final,The Golden Receivers,2,96.8,29,1553.28,10-4-0,PAI Alcoholics Anonymous ,6,84.36,31,1463.36,7-7-0,The Golden Receivers,2022,Pennoni Younglings,leagues/Pennoni Younglings 2022.xlsx
Championship,Philadelphia British Army,4,53.0,1,1482.64,8-6-0,The Golden Receivers,2,27.0,18,1553.28,10-4-0,Philadelphia British Army,2022,Pennoni Younglings,leagues/Pennoni Younglings 2022.xlsx
Quarter Final,Team Cogs,1,126.36,7,1629.68,11-3-0,I'd_Tap_ That,8,91.48,-14,1436.46,6-8-0,Team Cogs,2023,Pennoni Younglings,leagues/Pennoni Younglings 2023.xlsx
Quarter Final,19th St Halal Cart,2,131.86,60,1661.48,10-4-0,PAI India Division Manager,7,120.14,29,1661.92,6-8-0,19th St Halal Cart,2023,Pennoni Younglings,leagues/Pennoni Younglings 2023.xlsx
Quarter Final,Book of MoreMoms,3,105.66,-3,1494.1,9-5-0,The Golden Receivers,6,97.42,2,1497.52,7-7-0,Book of MoreMoms,2023,Pennoni Younglings,leagues/Pennoni Younglings 2023.xlsx
Quarter Final,PAI Alcoholics Anonymous ,4,110.92,8,1511.42,8-6-0,Bli Erinker,5,116.56,24,1606.66,7-7-0,Bli Erinker,2023,Pennoni Younglings,leagues/Pennoni Younglings 2023.xlsx
Semi Final,Team Cogs,1,94.76,2,1629.68,11-3-0,Bli Erinker,5,96.82,21,1606.66,7-7-0,Bli Erinker,2023,Pennoni Younglings,leagues/Pennoni Younglings 2023.xlsx
Semi Final,19th St Halal Cart,2,87.78,58,1661.48,10-4-0,Book of MoreMoms,3,114.42,-3,1494.1,9-5-0,Book of MoreMoms,2023,Pennoni Younglings,leagues/Pennoni Younglings 2023.xlsx
Championship,Bli Erinker,5,93.18,24,1606.66,7-7-0,Book of MoreMoms,3,139.8,2,1494.1,9-5-0,Book of MoreMoms,2023,Pennoni Younglings,leagues/Pennoni Younglings 2023.xlsx
Quarter Final,Pho_King,1,89.94,-1,1657.6,10-4-0,Bye,-,-,-,-,-,Pho_King,2024,Pennoni Younglings,leagues/Pennoni Younglings 2024.xlsx
Quarter Final,Partners for What's Possible,2,142.58,19,1719.5,9-5-0,PAI Alcoholics Anonymous ,7,128.9,51,1805.66,6-8-0,Partners for What's Possible,2024,Pennoni Younglings,leagues/Pennoni Younglings 2024.xlsx
Quarter Final,19th St Halal Cart,3,115.94,-22,1703.48,9-5-0,Prahlad's Ghost,6,129.96,14,1678.7,7-7-0,Prahlad's Ghost,2024,Pennoni Younglings,leagues/Pennoni Younglings 2024.xlsx
Quarter Final,Came and Wentz,4,80.76,1,1651.04,9-5-0,The Golden Receivers,5,144.14,8,1686.36,8-6-0,The Golden Receivers,2024,Pennoni Younglings,leagues/Pennoni Younglings 2024.xlsx
Semi Final,Pho_King,1,125.22,2,1657.6,10-4-0,The Golden Receivers,5,138.64,13,1686.36,8-6-0,The Golden Receivers,2024,Pennoni Younglings,leagues/Pennoni Younglings 2024.xlsx
Semi Final,Partners for What's Possible,2,129.96,24,1719.5,9-5-0,Prahlad's Ghost,6,165.08,21,1678.7,7-7-0,Prahlad's Ghost,2024,Pennoni Younglings,leagues/Pennoni Younglings 2024.xlsx
Championship,The Golden Receivers,5,112.82,13,1686.36,8-6-0,Prahlad's Ghost,6,128,23,1678.7,7-7-0,Prahlad's Ghost,2024,Pennoni Younglings,leagues/Pennoni Younglings 2024.xlsx
Quarter Final,Hungry Dogs,1,125.34,8,1843.64,11-3-0,Bye,-,-,-,-,-,Hungry Dogs,2021,EBC League,leagues/EBC League 2021.xlsx
Quarter Final,Pure Mature,2,143.6,10,1807.36,8-6-0,Bye,-,-,-,-,-,Pure Mature,2021,EBC League,leagues/EBC League 2021.xlsx
Quarter Final,Seigaku FC,3,106.76,27,1836.6,8-6-0,Pleasant Valley Panthers,6,129.3,6,1710.14,6-8-0,Pleasant Valley Panthers,2021,EBC League,leagues/EBC League 2021.xlsx
Quarter Final,Abyss Diamond Eyes,4,92.62,-2,1768.88,7-7-0,Pitman OBJYN,5,105.28,8,1713.52,6-8-0,Pitman OBJYN,2021,EBC League,leagues/EBC League 2021.xlsx
Semi Final,Hungry Dogs,1,140.84,14,1843.64,11-3-0,Pitman OBJYN,5,132.26,10,1713.52,6-8-0,Hungry Dogs,2021,EBC League,leagues/EBC League 2021.xlsx
Semi Final,Pure Mature,2,129.46,9,1807.36,8-6-0,Pleasant Valley Panthers,6,127.82,2,1710.14,6-8-0,Pure Mature,2021,EBC League,leagues/EBC League 2021.xlsx
Championship,Hungry Dogs,1,89.18,9,1843.64,11-3-0,Pure Mature,2,127.9,8,1807.36,8-6-0,Pure Mature,2021,EBC League,leagues/EBC League 2021.xlsx
Quarter Final,Seigaku FC,1,130.54,48,1924.04,12-2-0,Bye,-,-,-,-,-,Seigaku FC,2022,EBC League,leagues/EBC League 2022.xlsx
Quarter Final,Wut happened uh 🤷🏽‍♂️,2,110.52,-12,1760.26,9-5-0,Bye,-,-,-,-,-,Wut happened uh 🤷🏽‍♂️,2022,EBC League,leagues/EBC League 2022.xlsx
Quarter Final,The Hungry Dogs,3,134.9,15,1822.06,9-5-0,Riley  Read option,6,114.72,-24,1628.82,6-8-0,The Hungry Dogs,2022,EBC League,leagues/EBC League 2022.xlsx
Quarter Final,Champagne  Papi ,4,160.7,33,1919.74,8-6-0,Pitman MaleManipulator,5,152.86,20,1790.5,6-8-0,Champagne  Papi ,2022,EBC League,leagues/EBC League 2022.xlsx
Semi Final,Seigaku FC,1,114.86,51,1924.04,12-2-0,Champagne  Papi ,4,157.44,39,1919.74,8-6-0,Champagne  Papi ,2022,EBC League,leagues/EBC League 2022.xlsx
Semi Final,Wut happened uh 🤷🏽‍♂️,2,79.26,-22,1760.26,9-5-0,The Hungry Dogs,3,101.36,8,1822.06,9-5-0,The Hungry Dogs,2022,EBC League,leagues/EBC League 2022.xlsx
Championship,Champagne  Papi ,4,103.58,40,1919.74,8-6-0,The Hungry Dogs,3,115.7,12,1822.06,9-5-0,The Hungry Dogs,2022,EBC League,leagues/EBC League 2022.xlsx
Quarter Final,Riley  Read option,1,111.16,-14,1723.68,11-3-0,Bye,-,-,-,-,-,Riley  Read option,2023,EBC League,leagues/EBC League 2023.xlsx
Quarter Final,THE POOL,2,70.04,-9,1793.18,8-6-0,Bye,-,-,-,-,-,THE POOL,2023,EBC League,leagues/EBC League 2023.xlsx
Quarter Final,Inter Miami CF,3,114.02,28,1833.12,8-6-0,Wut happened uh 🤷🏽‍♂️,6,80.66,-6,1746.34,6-8-0,Inter Miami CF,2023,EBC League,leagues/EBC League 2023.xlsx
Quarter Final,Abyss Diamond Eyes,4,113.74,22,1794.56,7-7-0,Bryson Stott Fan Club,5,134.16,6,1771.38,7-7-0,Bryson Stott Fan Club,2023,EBC League,leagues/EBC League 2023.xlsx
Semi Final,Riley  Read option,1,121.28,-10,1723.68,11-3-0,Bryson Stott Fan Club,5,163.5,12,1771.38,7-7-0,Bryson Stott Fan Club,2023,EBC League,leagues/EBC League 2023.xlsx
Semi Final,THE POOL,2,140.4,-8,1793.18,8-6-0,Inter Miami CF,3,105.92,27,1833.12,8-6-0,THE POOL,2023,EBC League,leagues/EBC League 2023.xlsx
Championship,Bryson Stott Fan Club,5,100.66,14,1771.38,7-7-0,THE POOL,2,161.92,-3,1793.18,8-6-0,THE POOL,2023,EBC League,leagues/EBC League 2023.xlsx
Quarter Final,Pleasant Valley Panthers,1,118.86,2,1721.44,10-4-0,Bye,-,-,-,-,-,Pleasant Valley Panthers,2024,EBC League,leagues/EBC League 2024.xlsx
Quarter Final,The Hungry Dogs,2,164.48,33,1883.06,10-4-0,Bye,-,-,-,-,-,The Hungry Dogs,2024,EBC League,leagues/EBC League 2024.xlsx
Quarter Final,Inter Miami CF,3,99.56,18,1700.82,9-5-0,First down syndrome ,6,106.06,-22,1594.3,6-8-0,First down syndrome ,2024,EBC League,leagues/EBC League 2024.xlsx
Quarter Final,JanSteez,4,95.74,-12,1586.02,8-6-0,Bryson Stott Fan Club,5,176.8,10,1652.7,6-8-0,Bryson Stott Fan Club,2024,EBC League,leagues/EBC League 2024.xlsx
Semi Final,Pleasant Valley Panthers,1,149.02,9,1721.44,10-4-0,Bryson Stott Fan Club,5,126.88,15,1652.7,6-8-0,Pleasant Valley Panthers,2024,EBC League,leagues/EBC League 2024.xlsx
Semi Final,The Hungry Dogs,2,166.66,40,1883.06,10-4-0,First down syndrome ,6,122.88,-18,1594.3,6-8-0,The Hungry Dogs,2024,EBC League,leagues/EBC League 2024.xlsx
Championship,Pleasant Valley Panthers,1,174.46,12,1721.44,10-4-0,The Hungry Dogs,2,99.38,40,1883.06,10-4-0,Pleasant Valley Panthers,2024,EBC League,leagues/EBC League 2024.xlsx
Quarter Final,MOTHER MAY I,1,108.04,7,1523.6,9-5-0,Bye,-,-,-,-,-,MOTHER MAY I,2022,0755 Fantasy Football,leagues/0755 Fantasy Football 2022.xlsx
Quarter Final,Office Director,2,136.5,-5,1478.2,9-5-0,Bye,-,-,-,-,-,Office Director,2022,0755 Fantasy Football,leagues/0755 Fantasy Football 2022.xlsx
Quarter Final,Brady Gaga,3,115.82,-11,1495.38,8-6-0,MPT Phase1A,6,105,25,1498.32,6-8-0,Brady Gaga,2022,0755 Fantasy Football,leagues/0755 Fantasy Football 2022.xlsx
Quarter Final,Hot Sauce 'n' Bananas,4,78.72,17,1538.78,7-7-0,The Big Hurts,5,122.4,6,1482.04,7-7-0,The Big Hurts,2022,0755 Fantasy Football,leagues/0755 Fantasy Football 2022.xlsx
Semi Final,MOTHER MAY I,1,104.06,8,1523.6,9-5-0,The Big Hurts,5,108.8,10,1482.04,7-7-0,The Big Hurts,2022,0755 Fantasy Football,leagues/0755 Fantasy Football 2022.xlsx
Semi Final,Office Director,2,128.16,0,1478.2,9-5-0,Brady Gaga,3,83.44,-8,1495.38,8-6-0,Office Director,2022,0755 Fantasy Football,leagues/0755 Fantasy Football 2022.xlsx
Championship,The Big Hurts,5,76.02,6,1482.04,7-7-0,Office Director,2,93.4,-1,1478.2,9-5-0,Office Director,2022,0755 Fantasy Football,leagues/0755 Fantasy Football 2022.xlsx
Quarter Final,3rd World Immigrant,1,90.24,19,1590.46,9-3-0,Bye,-,-,-,-,-,3rd World Immigrant,2023,0755 Fantasy Football,leagues/0755 Fantasy Football 2023.xlsx
Quarter Final,"Baby Chark, Juju Juju ",2,75.28,-9,1413.88,9-4-0,Bye,-,-,-,-,-,"Baby Chark, Juju Juju ",2023,0755 Fantasy Football,leagues/0755 Fantasy Football 2023.xlsx
Quarter Final,Arm Pitts,3,154.92,28,1595.0,8-5-0,MOTHER MAY I,5,62.76,-22,1338.94,8-5-0,Arm Pitts,2023,0755 Fantasy Football,leagues/0755 Fantasy Football 2023.xlsx
Quarter Final,Here 4 fun,4,68.62,21,1574.16,8-5-0,Chicken Fried Chicken Meal,6,85.44,-37,1363.08,7-5-0,Chicken Fried Chicken Meal,2023,0755 Fantasy Football,leagues/0755 Fantasy Football 2023.xlsx
Semi Final,3rd World Immigrant,1,123.64,26,1590.46,9-3-0,Arm Pitts,3,100.4,34,1595,8-5-0,3rd World Immigrant,2023,0755 Fantasy Football,leagues/0755 Fantasy Football 2023.xlsx
Semi Final,"Baby Chark, Juju Juju ",2,77.3,-13,1413.88,9-4-0,Chicken Fried Chicken Meal,6,71.4,-44,1363.08,7-5-0,"Baby Chark, Juju Juju ",2023,0755 Fantasy Football,leagues/0755 Fantasy Football 2023.xlsx
Championship,3rd World Immigrant,1,115.28,28,1590.46,9-3-0,"Baby Chark, Juju Juju ",2,112,-13,1413.88,9-4-0,3rd World Immigrant,2023,0755 Fantasy Football,leagues/0755 Fantasy Football 2023.xlsx
Quarter Final,Division iPad,1,150.06,12,1708.4,11-3-0,Bye,-,-,-,-,-,Division iPad,2024,0755 Fantasy Football,leagues/0755 Fantasy Football 2024.xlsx
Quarter Final,I'm Batman,2,141.6,8,1738.84,10-4-0,Bye,-,-,-,-,-,I'm Batman,2024,0755 Fantasy Football,leagues/0755 Fantasy Football 2024.xlsx
Quarter Final,Dak Stinks,3,123.5,34,1901.86,8-6-0,All my homies hate Dallas,6,145.6,-11,1671.82,8-6-0,All my homies hate Dallas,2024,0755 Fantasy Football,leagues/0755 Fantasy Football 2024.xlsx
Quarter Final,3rd World Immigrant,4,160.16,37,1827.14,8-6-0,Olave Another,5,109.2,5,1744.22,8-6-0,3rd World Immigrant,2024,0755 Fantasy Football,leagues/0755 Fantasy Football 2024.xlsx
Semi Final,Division iPad,1,174.68,14,1708.4,11-3-0,3rd World Immigrant,4,110.18,37,1827.14,8-6-0,Division iPad,2024,0755 Fantasy Football,leagues/0755 Fantasy Football 2024.xlsx
Semi Final,I'm Batman,2,179.42,17,1738.84,10-4-0,All my homies hate Dallas,6,128.04,-5,1671.82,8-6-0,I'm Batman,2024,0755 Fantasy Football,leagues/0755 Fantasy Football 2024.xlsx
Championship,Division iPad,1,126.74,13,1708.4,11-3-0,I'm Batman,2,138.06,18,1738.84,10-4-0,I'm Batman,2024,0755 Fantasy Football,leagues/0755 Fantasy Football 2024.xlsx
Quarter Final,Stiff Armed and Dangerous,1,129.66,17,1598.32,10-4-0,Bye,-,-,-,-,-,Stiff Armed and Dangerous,2022,Game of Yards!,leagues/Game of Yards! 2022.xlsx
Quarter Final,Pain Inflictors,2,105.9,18,1598.4,9-5-0,Bye,-,-,-,-,-,Pain Inflictors,2022,Game of Yards!,leagues/Game of Yards! 2022.xlsx
Quarter Final,Bhambhwani Pawan Dilip,3,118.62,20,1586.96,8-6-0,Team HebAchi,6,148.44,-4,1453.44,6-8-0,Team HebAchi,2022,Game of Yards!,leagues/Game of Yards! 2022.xlsx
Quarter Final,Wakanda Forever,4,120.58,-7,1532.28,8-6-0,Team CTE,5,87.64,11,1520.44,8-6-0,Wakanda Forever,2022,Game of Yards!,leagues/Game of Yards! 2022.xlsx
Semi Final,Stiff Armed and Dangerous,1,152.28,20,1598.32,10-4-0,Wakanda Forever,4,99.46,-6,1532.28,8-6-0,Stiff Armed and Dangerous,2022,Game of Yards!,leagues/Game of Yards! 2022.xlsx
Semi Final,Pain Inflictors,2,97.66,11,1598.4,9-5-0,Team HebAchi,6,103.26,-8,1453.44,6-8-0,Team HebAchi,2022,Game of Yards!,leagues/Game of Yards! 2022.xlsx
Championship,Stiff Armed and Dangerous,1,90.6,24,1598.32,10-4-0,Team HebAchi,6,149.32,-2,1453.44,6-8-0,Team HebAchi,2022,Game of Yards!,leagues/Game of Yards! 2022.xlsx
Quater Final,Run CMC,1,131.42,36,1598.48,18-10-0,Bye,-,-,-,-,-,Run CMC,2023,Game of Yards!,leagues/Game of Yards! 2023.xlsx
Quater Final,Brown Munde,2,119.54,18,1610.14,17-11-0,Bye,-,-,-,-,-,Brown Munde,2023,Game of Yards!,leagues/Game of Yards! 2023.xlsx
Quater Final,THE BIGMADBLUE,3,123.82,11,1561.24,17-11-0,Kelce You Again!,9,84.78,32,1537.8,13-15-0,THE BIGMADBLUE,2023,Game of Yards!,leagues/Game of Yards! 2023.xlsx
Quater Final,Pain Inflictors,4,82.86,0,1551.78,17-11-0,Wakanda Forever,5,77.2,-13,1429.38,14-14-0,Pain Inflictors,2023,Game of Yards!,leagues/Game of Yards! 2023.xlsx
Semi Final,Run CMC,1,126.62,43,1598.48,18-10-0,Pain Inflictors,4,141.68,10,1551.78,17-11-0,Pain Inflictors,2023,Game of Yards!,leagues/Game of Yards! 2023.xlsx
Semi Final,Brown Munde,2,103.58,17,1610.14,17-11-0,THE BIGMADBLUE,3,120.54,12,1561.24,17-11-0,THE BIGMADBLUE,2023,Game of Yards!,leagues/Game of Yards! 2023.xlsx
Championship,Pain Inflictors,4,108.16,10,1551.78,17-11-0,THE BIGMADBLUE,3,118.78,14,1561.24,17-11-0,THE BIGMADBLUE,2023,Game of Yards!,leagues/Game of Yards! 2023.xlsx
Quater Final,The Chase is on,1,96.64,31,1901.26,21-7-0,Bye,-,-,-,-,-,The Chase is on,2024,Game of Yards!,leagues/Game of Yards! 2024.xlsx
Quater Final,Team HebAchi,2,128.4,36,1749.4,22-6-0,Bye,-,-,-,-,-,Team HebAchi,2024,Game of Yards!,leagues/Game of Yards! 2024.xlsx
Quater Final,Cooper Troopers,3,133.08,11,1684.36,17-11-0,Pain Inflictors,5,147.36,-23,1545.28,12-16-0,Pain Inflictors,2024,Game of Yards!,leagues/Game of Yards! 2024.xlsx
Quater Final,Brown Munde,4,117.58,12,1676.52,16-12-0,Groot-o-Matic,8,152.28,-6,1620.12,13-15-0,Groot-o-Matic,2024,Game of Yards!,leagues/Game of Yards! 2024.xlsx
Semi Final,The Chase is on,1,156.78,40,1901.26,21-7-0,Pain Inflictors,5,137.74,-17,1545.28,12-16-0,The Chase is on,2024,Game of Yards!,leagues/Game of Yards! 2024.xlsx
Semi Final,Team HebAchi,2,116.18,31,1749.4,22-6-0,Groot-o-Matic,8,112.16,-13,1620.12,13-15-0,Team HebAchi,2024,Game of Yards!,leagues/Game of Yards! 2024.xlsx
