League,Year,Undefeated Record,Total Teams,Made Playoffs,Playoff Percentage
Pennoni Younglings,2022,1-0,6,5,83.33333333333334
Pennoni Younglings,2022,2-0,4,3,75.0
Pennoni Younglings,2022,3-0,2,2,100.0
Pennoni Younglings,2022,4-0,1,1,100.0
Pennoni Younglings,2022,5-0,1,1,100.0
Pennoni Younglings,2023,1-0,6,4,66.66666666666666
Pennoni Younglings,2023,2-0,3,3,100.0
Pennoni Younglings,2023,3-0,3,3,100.0
Pennoni Younglings,2023,4-0,2,2,100.0
Pennoni Younglings,2023,5-0,1,1,100.0
Pennoni Younglings,2023,6-0,1,1,100.0
Pennoni Younglings,2024,1-0,6,4,66.66666666666666
Pennoni Younglings,2024,2-0,2,2,100.0
Pennoni Younglings,2024,3-0,2,2,100.0
Pennoni Younglings,2024,4-0,2,2,100.0
Family League,2024,1-0,6,0,0.0
Family League,2024,2-0,3,0,0.0
EBC League,2021,1-0,4,3,75.0
EBC League,2021,2-0,2,2,100.0
EBC League,2021,3-0,2,2,100.0
EBC League,2022,1-0,4,4,100.0
EBC League,2022,2-0,1,1,100.0
EBC League,2022,3-0,1,1,100.0
EBC League,2022,4-0,1,1,100.0
EBC League,2022,5-0,1,1,100.0
EBC League,2022,6-0,1,1,100.0
EBC League,2022,7-0,1,1,100.0
EBC League,2023,1-0,4,3,75.0
EBC League,2023,2-0,4,3,75.0
EBC League,2023,3-0,2,2,100.0
EBC League,2023,4-0,1,1,100.0
EBC League,2023,5-0,1,1,100.0
EBC League,2024,1-0,4,4,100.0
EBC League,2024,2-0,3,3,100.0
EBC League,2024,3-0,2,2,100.0
EBC League,2024,4-0,1,1,100.0
EBC League,2024,5-0,1,1,100.0
0755 Fantasy Football,2022,1-0,5,3,60.0
0755 Fantasy Football,2022,2-0,3,2,66.66666666666666
0755 Fantasy Football,2022,3-0,2,1,50.0
0755 Fantasy Football,2022,4-0,1,0,0.0
0755 Fantasy Football,2023,1-0,5,3,60.0
0755 Fantasy Football,2023,2-0,3,3,100.0
0755 Fantasy Football,2023,3-0,1,1,100.0
0755 Fantasy Football,2024,1-0,5,3,60.0
0755 Fantasy Football,2024,2-0,3,2,66.66666666666666
0755 Fantasy Football,2024,3-0,1,0,0.0
Game of Yards!,2018,1-0,5,0,0.0
Game of Yards!,2018,2-0,4,0,0.0
Game of Yards!,2018,3-0,2,0,0.0
Game of Yards!,2018,4-0,2,0,0.0
Game of Yards!,2018,5-0,1,0,0.0
Game of Yards!,2019,1-0,5,0,0.0
Game of Yards!,2019,2-0,2,0,0.0
Game of Yards!,2019,3-0,1,0,0.0
Game of Yards!,2019,4-0,1,0,0.0
Game of Yards!,2020,1-0,5,0,0.0
Game of Yards!,2020,2-0,2,0,0.0
Game of Yards!,2020,3-0,1,0,0.0
Game of Yards!,2021,1-0,5,0,0.0
Game of Yards!,2021,2-0,3,0,0.0
Game of Yards!,2021,3-0,2,0,0.0
Game of Yards!,2022,1-0,5,3,60.0
Game of Yards!,2022,2-0,2,1,50.0
Game of Yards!,2022,3-0,1,1,100.0
Game of Yards!,2022,4-0,1,1,100.0
Game of Yards!,2023,1-0,5,3,60.0
Game of Yards!,2023,2-0,1,0,0.0
Game of Yards!,2024,1-0,5,1,20.0
Game of Yards!,2024,2-0,3,1,33.33333333333333
Game of Yards!,2024,3-0,1,1,100.0
Game of Yards!,2024,4-0,1,1,100.0
Brown Munde,2023,1-0,5,3,60.0
Brown Munde,2023,2-0,3,3,100.0
Brown Munde,2023,3-0,1,1,100.0
Brown Munde,2024,1-0,5,4,80.0
Brown Munde,2024,2-0,3,3,100.0
Brown Munde,2024,3-0,1,1,100.0
Brown Munde,2024,4-0,1,1,100.0
Brown Munde,2023,1-0,4,0,0.0
Brown Munde,2023,2-0,3,0,0.0
Brown Munde,2023,3-0,2,0,0.0
Brown Munde,2023,4-0,1,0,0.0
Brown Munde,2024,1-0,5,0,0.0
Brown Munde,2024,2-0,3,0,0.0
Brown Munde,2024,3-0,2,0,0.0
THE BEST OF THE BEST,2022,1-0,7,5,71.42857142857143
THE BEST OF THE BEST,2022,2-0,4,3,75.0
THE BEST OF THE BEST,2022,3-0,2,2,100.0
THE BEST OF THE BEST,2022,4-0,1,1,100.0
THE BEST OF THE BEST,2023,1-0,7,4,57.14285714285714
THE BEST OF THE BEST,2023,2-0,3,2,66.66666666666666
THE BEST OF THE BEST,2023,3-0,2,1,50.0
THE BEST OF THE BEST,2023,4-0,1,0,0.0
THE BEST OF THE BEST,2023,5-0,1,0,0.0
THE BEST OF THE BEST,2023,6-0,1,0,0.0
THE BEST OF THE BEST,2024,1-0,7,5,71.42857142857143
THE BEST OF THE BEST,2024,2-0,3,3,100.0
THE BEST OF THE BEST,2024,3-0,3,3,100.0
THE BEST OF THE BEST,2024,4-0,2,2,100.0
THE BEST OF THE BEST,2024,5-0,1,1,100.0
THE BEST OF THE BEST,2024,6-0,1,1,100.0
THE BEST OF THE BEST,2024,7-0,1,1,100.0
