Round,Team 1,Seed 1,Score 1,LPI 1,Total Points 1,Record 1,Team 2,Seed 2,Score 2,LPI 2,Total Points 2,Record 2,Winner,Year,League,File Name
Quarter Final,MOTHER MAY I,1,108.04,7,1523.6,9-5-0,Bye,-,-,-,-,-,MOTHER MAY I,2022,0755 Fantasy Football,0755 Fantasy Football 2022.xlsx
Quarter Final,Office Director,2,136.5,-5,1478.2,9-5-0,Bye,-,-,-,-,-,Office Director,2022,0755 Fantasy Football,0755 Fantasy Football 2022.xlsx
Quarter Final,Brady Gaga,3,115.82,-11,1495.38,8-6-0,MPT Phase1A,6,105,25,1498.32,6-8-0,Brady Gaga,2022,0755 Fantasy Football,0755 Fantasy Football 2022.xlsx
Quarter Final,Hot Sauce 'n' Bananas,4,78.72,17,1538.78,7-7-0,The Big Hurts,5,122.4,6,1482.04,7-7-0,The Big Hurts,2022,0755 Fantasy Football,0755 Fantasy Football 2022.xlsx
Semi Final,MOTHER MAY I,1,104.06,8,1523.6,9-5-0,The Big Hurts,5,108.8,10,1482.04,7-7-0,The Big Hurts,2022,0755 Fantasy Football,0755 Fantasy Football 2022.xlsx
Semi Final,Office Director,2,128.16,0,1478.2,9-5-0,Brady Gaga,3,83.44,-8,1495.38,8-6-0,Office Director,2022,0755 Fantasy Football,0755 Fantasy Football 2022.xlsx
Championship,The Big Hurts,5,76.02,6,1482.04,7-7-0,Office Director,2,93.4,-1,1478.2,9-5-0,Office Director,2022,0755 Fantasy Football,0755 Fantasy Football 2022.xlsx
Quarter Final,3rd World Immigrant,1,90.24,19,1590.46,9-3-0,Bye,-,-,-,-,-,3rd World Immigrant,2023,0755 Fantasy Football,0755 Fantasy Football 2023.xlsx
Quarter Final,"Baby Chark, Juju Juju ",2,75.28,-9,1413.88,9-4-0,Bye,-,-,-,-,-,"Baby Chark, Juju Juju ",2023,0755 Fantasy Football,0755 Fantasy Football 2023.xlsx
Quarter Final,Arm Pitts,3,154.92,28,1595.0,8-5-0,MOTHER MAY I,5,62.76,-22,1338.94,8-5-0,Arm Pitts,2023,0755 Fantasy Football,0755 Fantasy Football 2023.xlsx
Quarter Final,Here 4 fun,4,68.62,21,1574.16,8-5-0,Chicken Fried Chicken Meal,6,85.44,-37,1363.08,7-5-0,Chicken Fried Chicken Meal,2023,0755 Fantasy Football,0755 Fantasy Football 2023.xlsx
Semi Final,3rd World Immigrant,1,123.64,26,1590.46,9-3-0,Arm Pitts,3,100.4,34,1595,8-5-0,3rd World Immigrant,2023,0755 Fantasy Football,0755 Fantasy Football 2023.xlsx
