Round,Team 1,Seed 1,Score 1,LPI 1,Total Points 1,Record 1,Team 2,Seed 2,Score 2,LPI 2,Total Points 2,Record 2,Winner,File Name,Is Bye,LPI Winner,Total Points Winner,Seed Winner,More Wins Winner
Quarter Final,MOTHER MAY I,1,108.04,7,1523.6,9-5-0,Bye,0,-,0.0,0.0,-,MOTHER MAY I,0755 Fantasy Football 2022.xlsx,True,,,,
Quarter Final,Office Director,2,136.5,-5,1478.2,9-5-0,Bye,0,-,0.0,0.0,-,Office Director,0755 Fantasy Football 2022.xlsx,True,,,,
Quarter Final,Brady Gaga,3,115.82,-11,1495.38,8-6-0,MPT Phase1A,6,105,25.0,1498.32,6-8-0,Brady Gaga,0755 Fantasy Football 2022.xlsx,False,False,False,False,True
Quarter Final,Hot Sauce 'n' Bananas,4,78.72,17,1538.78,7-7-0,The Big Hurts,5,122.4,6.0,1482.04,7-7-0,The Big Hurts,0755 Fantasy Football 2022.xlsx,False,False,False,True,
Semi Final,MOTHER MAY I,1,104.06,8,1523.6,9-5-0,The Big Hurts,5,108.8,10.0,1482.04,7-7-0,The Big Hurts,0755 Fantasy Football 2022.xlsx,False,True,False,True,False
Semi Final,Office Director,2,128.16,0,1478.2,9-5-0,Brady Gaga,3,83.44,-8.0,1495.38,8-6-0,Office Director,0755 Fantasy Football 2022.xlsx,False,True,False,False,True
Championship,The Big Hurts,5,76.02,6,1482.04,7-7-0,Office Director,2,93.4,-1.0,1478.2,9-5-0,Office Director,0755 Fantasy Football 2022.xlsx,False,False,False,False,True
Quarter Final,3rd World Immigrant,1,90.24,19,1590.46,9-3-0,Bye,0,-,0.0,0.0,-,3rd World Immigrant,0755 Fantasy Football 2023.xlsx,True,,,,
Quarter Final,"Baby Chark, Juju Juju ",2,75.28,-9,1413.88,9-4-0,Bye,0,-,0.0,0.0,-,"Baby Chark, Juju Juju ",0755 Fantasy Football 2023.xlsx,True,,,,
Quarter Final,Arm Pitts,3,154.92,28,1595.0,8-5-0,MOTHER MAY I,5,62.76,-22.0,1338.94,8-5-0,Arm Pitts,0755 Fantasy Football 2023.xlsx,False,True,True,False,
Quarter Final,Here 4 fun,4,68.62,21,1574.16,8-5-0,Chicken Fried Chicken Meal,6,85.44,-37.0,1363.08,7-5-0,Chicken Fried Chicken Meal,0755 Fantasy Football 2023.xlsx,False,False,False,True,False
Semi Final,3rd World Immigrant,1,123.64,26,1590.46,9-3-0,Arm Pitts,3,100.4,34.0,1595.0,8-5-0,3rd World Immigrant,0755 Fantasy Football 2023.xlsx,False,False,False,False,True
Semi Final,"Baby Chark, Juju Juju ",2,77.3,-13,1413.88,9-4-0,Chicken Fried Chicken Meal,6,71.4,-44.0,1363.08,7-5-0,"Baby Chark, Juju Juju ",0755 Fantasy Football 2023.xlsx,False,True,True,False,True
Championship,3rd World Immigrant,1,115.28,28,1590.46,9-3-0,"Baby Chark, Juju Juju ",2,112,-13.0,1413.88,9-4-0,3rd World Immigrant,0755 Fantasy Football 2023.xlsx,False,True,True,False,
Quarter Final,Killler jatt ,1,102.6,4,1640.04,11-3-0,Bye,0,-,0.0,0.0,-,Killler jatt ,Brown Munde 2023.xlsx,True,,,,
Quarter Final,Still Rollin',2,99.04,31,1706.28,10-4-0,Bye,0,-,0.0,0.0,-,Still Rollin',Brown Munde 2023.xlsx,True,,,,
Quarter Final,Team Padodara,3,130.56,34,1632.56,9-5-0,Eks Gonna Give It To Ya!,6,117.22,-7.0,1587.9,7-7-0,Team Padodara,Brown Munde 2023.xlsx,False,True,True,False,True
Quarter Final,NoHalfSends,4,102.22,34,1653.76,8-6-0,Green,5,99.22,-13.0,1478.98,8-6-0,NoHalfSends,Brown Munde 2023.xlsx,False,True,True,False,
Semi Final,Killler jatt ,1,90.48,-1,1640.04,11-3-0,NoHalfSends,4,113.64,31.0,1653.76,8-6-0,NoHalfSends,Brown Munde 2023.xlsx,False,True,True,True,False
Semi Final,Still Rollin',2,164.58,38,1706.28,10-4-0,Team Padodara,3,148.36,38.0,1632.56,9-5-0,Still Rollin',Brown Munde 2023.xlsx,False,False,True,False,True
