Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
6 - 3,53,Jaxon Smith-Njigba,WR,"Michael, The Baker",240.91,14.17,345.5,21.59,16,{5E530C03-3F19-48F0-A309-52B769E76347},100.0,A+
3 - 4,24,Trey McBride,TE,3rd World Immigrant,259.22,15.25,302.4,18.9,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},100.0,A+
1 - 8,8,Puka Nacua,WR,"Michael, The Baker",298.63,17.57,349.0,23.27,15,{5E530C03-3F19-48F0-A309-52B769E76347},99.2,A+
1 - 6,6,Christian McCaffrey,RB,Mr Steinfeld's Stars,318.41,18.73,404.9,25.31,16,{99C913F4-1FF6-4361-93D2-117EA19F759C},97.55,A+
7 - 10,70,George Pickens,WR,Scrappy Dub,221.36,13.02,290.0,18.12,16,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},96.34,A
2 - 6,16,Jonathan Taylor,RB,Griddy Little Liars,288.77,16.99,356.4,22.27,16,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6},93.39,A
8 - 2,72,Chris Olave,WR,Division iPad,209.82,12.34,268.0,16.75,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},93.38,A
14 - 2,132,Seahawks D/ST,D/ST,Division iPad,136.07,8.0,187.0,11.69,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},92.85,A-
1 - 3,3,Bijan Robinson,RB,I'm Batman,339.37,19.96,363.5,22.72,16,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},91.83,A-
1 - 10,10,Amon-Ra St. Brown,WR,Scrappy Dub,290.62,17.1,299.1,18.69,16,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},91.59,A-
12 - 4,114,Travis Etienne Jr.,RB,Chicken Fried Chicken Meal,188.14,11.07,249.1,15.57,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},91.09,A-
16 - 1,151,Wan'Dale Robinson,WR,Scrappy Dub,152.78,8.99,217.9,13.62,16,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},91.04,A-
1 - 2,2,Ja'Marr Chase,WR,AJ's Awesome Team,340.02,20.0,290.0,19.33,15,{353273A6-6607-4A68-ADDE-CC045C217594},90.2,A-
12 - 5,115,Texans D/ST,D/ST,Mr Steinfeld's Stars,144.11,8.48,178.0,11.12,16,{99C913F4-1FF6-4361-93D2-117EA19F759C},90.01,A-
1 - 4,4,Jahmyr Gibbs,RB,3rd World Immigrant,317.28,18.66,346.6,21.66,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},89.83,B+
2 - 3,13,De'Von Achane,RB,"Michael, The Baker",307.53,18.09,322.8,20.18,16,{5E530C03-3F19-48F0-A309-52B769E76347},88.06,B+
3 - 9,29,James Cook III,RB,Division iPad,269.9,15.88,300.7,18.79,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},87.37,B+
9 - 1,81,Javonte Williams,RB,All my homies hate Dallas,217.23,12.78,242.8,15.18,16,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},86.98,B
13 - 1,121,Kyle Pitts Sr.,TE,All my homies hate Dallas,143.06,8.42,199.0,12.44,16,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},86.38,B
