Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Chris Boswell,K,Patrick's Stars,123.46,7.26,160.0,12.31,13,{99C913F4-1FF6-4361-93D2-117EA19F759C},93.81,A
Vikings D/ST,D/ST,Olave Another,98.22,5.78,137.0,10.54,13,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},88.07,B+
Jauan Jennings,WR,Patrick's Stars,73.15,4.88,175.5,14.62,12,{99C913F4-1FF6-4361-93D2-117EA19F759C},87.23,B+
Broncos D/ST,D/ST,3rd World Immigrant,68.4,4.02,134.0,10.31,13,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},86.99,B
Baker Mayfield,QB,Dak Stinks,245.41,16.36,259.26,19.94,13,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},85.53,B
Jonnu Smith,TE,Patrick's Stars,83.38,5.56,160.1,12.32,13,{99C913F4-1FF6-4361-93D2-117EA19F759C},84.84,B
Tyrone Tracy Jr.,RB,All my homies hate Dallas,82.86,5.92,143.0,11.0,13,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},84.04,B
Sam Darnold,QB,Chicken Fried Chicken Meal,192.49,14.81,241.36,18.57,13,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},82.73,B-
Khalil Shakir,WR,3rd World Immigrant,153.68,10.25,156.9,13.08,12,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},82.11,B-
Texans D/ST,D/ST,Dak Stinks,98.92,5.82,119.0,9.15,13,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},81.62,B-
Chargers D/ST,D/ST,I'm Batman,87.64,5.16,118.0,9.08,13,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},81.26,B-
Bo Nix,QB,I'm Batman,192.76,13.77,227.28,17.48,13,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},80.52,B-
Kareem Hunt,RB,Metcalves of Steele,0.0,0.0,125.6,12.56,10,{5E530C03-3F19-48F0-A309-52B769E76347},80.0,B-
Chase McLaughlin,K,All my homies hate Dallas,127.51,7.5,112.0,8.62,13,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},79.69,C+
Cade Otton,TE,Dak Stinks,109.61,7.31,136.2,10.48,13,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},78.48,C+
Tucker Kraft,TE,Chicken Fried Chicken Meal,89.94,6.0,133.5,10.27,13,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},77.76,C+
Seahawks D/ST,D/ST,Dak Stinks,113.67,6.69,108.0,8.31,13,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},77.67,C+
Eagles D/ST,D/ST,Division iPad,100.35,5.9,108.0,8.31,13,{A279F58E-795F-4115-B9F5-8E795F7115FC},77.67,C+
Geno Smith,QB,Olave Another,227.03,16.22,205.56,15.81,13,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},77.12,C+
Zach Ertz,TE,Chicken Fried Chicken Meal,74.0,4.93,130.1,10.01,13,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},76.85,C
Josh Downs,WR,Patrick's Stars,111.26,8.56,137.6,13.76,10,{99C913F4-1FF6-4361-93D2-117EA19F759C},76.79,C
Alexander Mattison,RB,Division iPad,92.85,6.63,107.5,10.75,10,{A279F58E-795F-4115-B9F5-8E795F7115FC},75.8,C
Justice Hill,RB,Chicken Fried Chicken Meal,89.08,6.36,106.3,8.18,13,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},75.52,C
Bills D/ST,D/ST,Division iPad,87.59,5.15,102.0,7.85,13,{A279F58E-795F-4115-B9F5-8E795F7115FC},75.52,C
Hunter Henry,TE,Patrick's Stars,111.04,7.4,125.0,9.62,13,{99C913F4-1FF6-4361-93D2-117EA19F759C},75.5,C
Tyler Bass,K,Dak Stinks,117.44,6.91,95.0,7.31,13,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},74.69,C
Tank Bigsby,RB,Olave Another,74.4,5.31,100.2,8.35,12,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},74.11,C
Cole Kmet,TE,Division iPad,113.65,7.58,106.8,8.22,13,{A279F58E-795F-4115-B9F5-8E795F7115FC},70.65,C-
Quentin Johnston,WR,Metcalves of Steele,110.25,7.35,113.0,10.27,11,{5E530C03-3F19-48F0-A309-52B769E76347},70.02,C-
Isaac Guerendo,RB,Metcalves of Steele,40.35,2.88,79.8,5.7,14,{5E530C03-3F19-48F0-A309-52B769E76347},69.37,D+
DeMario Douglas,WR,It's Britney's Bench,164.84,10.99,108.7,8.36,13,{30B3E10C-D363-4E74-8961-7D4829DE152A},68.84,D+
Xavier Legette,WR,Metcalves of Steele,131.86,8.79,108.4,8.34,13,{5E530C03-3F19-48F0-A309-52B769E76347},68.75,D+
Nick Westbrook-Ikhine,WR,Dak Stinks,22.26,1.59,107.4,8.26,13,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},68.48,D+
Braelon Allen,RB,3rd World Immigrant,75.42,5.39,75.8,5.83,13,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},68.45,D+
Russell Wilson,QB,3rd World Immigrant,176.55,14.71,119.76,17.11,7,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},63.68,D
Buccaneers D/ST,D/ST,Chicken Fried Chicken Meal,82.89,4.88,62.0,4.77,13,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},61.18,D-
Cedric Tillman,WR,Chicken Fried Chicken Meal,78.82,5.25,80.4,7.31,11,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},61.04,D-
Sincere McCormick,RB,Dak Stinks,0.0,0.0,22.7,5.67,4,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},56.12,F
Gabe Davis,WR,It's Britney's Bench,170.83,11.39,53.9,5.39,10,{30B3E10C-D363-4E74-8961-7D4829DE152A},53.74,F
