Team,Draft Grade,Letter Grade,League Name
The Bill Croskey Show,100.0,A+,OnP Fantasy 2025
Seigaku FC,100.0,A+,EBC League 2022
Bhals,100.0,A+,Brown Munde 2024
the   jadey bunch,98.89,A+,THE BEST OF THE BEST 2022
Peter Pan + the Lost Boys ,98.58,A+,THE BEST OF THE BEST 2023
My Team Hurts,98.12,A+,RRR On Premise 2023
The Hungry Dogs,98.01,A+,EBC League 2024
Taco Tuesday Everyday,97.92,A+,THE BEST OF THE BEST 2024
Flock Around and Find Out,97.74,A+,The Girl's Room 💞🏈 2025
Kenny The Tick Salcido,97.06,A+,RRR On Premise 2021
Becca’s Ballers,96.55,A,The Girl's Room 💞🏈 2025
At Risk of CTE,94.72,A,BP- Loudoun 2025 2025
Say Cheese 🧀💚🧀,94.0,A,The Girl's Room 💞🏈 2025
Arm Pitts,93.87,A,0755 Fantasy Football 2023
THE POOL,93.43,A,EBC League 2023
The Chase is on,93.23,A,Game of Yards! 2024
The  Dream crusher,93.05,A,THE BEST OF THE BEST 2022
Reagor Bombs,92.95,A-,RRR On Premise 2021
Team Rodriguez,92.42,A-,THE BEST OF THE BEST 2024
PAI India Division Manager,92.04,A-,Pennoni Younglings 2023
Partners for What's Possible,91.76,A-,Pennoni Younglings 2024
Team Amijaz,91.53,A-,Game of Yards! 2020
Tush Push Director 🍑,91.17,A-,The Girl's Room 💞🏈 2025
Golden Receivers,91.17,A-,Family Fantasy 2024
RAJUN CAJUN,90.83,A-,Turf On Grade 2.0 2024
Cowtown Cowboys,90.78,A-,OnP Fantasy 2025
Dr@ft King$,90.66,A-,Philly Extra Special 2025
PAI Alcoholics Anonymous ,90.29,A-,Pennoni Younglings 2024
Hungry Dogs,89.95,B+,EBC League 2021
Ross' Sauces,89.94,B+,Ross' Fantasy League 2025
Pitman MaleManipulator,89.93,B+,EBC League 2022
67 Big Backs,89.66,B+,Family Fantasy 2025
Dennis The Menace ,89.62,B+,RRR On Premise 2021
Kill Bills ,89.54,B+,RRR On Premise 2023
Team BIGMADBLUE,89.37,B+,Game of Yards! 2020
All Barkley No Bite,89.19,B+,Game of Yards! 2019
Wu-Tangs Killabeez,89.19,B+,THE BEST OF THE BEST 2022
Crazy Kat,89.19,B+,THE BEST OF THE BEST 2022
Trestleches,88.86,B+,Turf On Grade 2.0 2024
Steel Curtain Athletics,88.82,B+,Turf On Grade 2.0 2023
Foxes Hopefuls,88.81,B+,BP- Loudoun 2025 2025
Nothing Beats A Jets 2 Holiday,88.65,B+,The Girl's Room 💞🏈 2025
Skibidi Rizzlers,88.41,B+,Family Fantasy 2025
Dookey Dukes,88.34,B+,Ross' Fantasy League 2025
The Upside Down,88.32,B+,THE BEST OF THE BEST 2025
Mr Steinfeld's Stars,88.31,B+,0755 Fantasy Football 2025
Sutton Deez Nuts,88.17,B+,The Mike Daisy Sports IQ League 2025
Tortured Cheerleaders Departmnt,88.05,B+,Family Fantasy 2025
Trestleches,87.94,B+,Turf On Grade 2.0 2023
Pleasant Valley Panthers,87.89,B+,EBC League 2023
Red River Rising 💪,87.82,B+,RRR On Premise 2023
For Me to Poop on,87.75,B+,Family Fantasy 2025
Team HebAchi,87.44,B+,Game of Yards! 2022
Wakanda Forever,87.31,B+,Game of Yards! 2019
Team Cogs,87.25,B+,Pennoni Younglings 2022
Vidhi's Spirited Team,87.22,B+,Game of Yards! 2025
"Lights, Kamara, Action",87.17,B+,RRR On Premise 2021
Leafy Water,86.96,B,Philly Extra Special 2025
Django Achane'd,86.89,B,Turf On Grade 2.0 2024
Salem County Durag Snatchers,86.1,B,The Mike Daisy Sports IQ League 2025
 Johnny  Dramas ,85.87,B,RRR On Premise 2023
Team Vellapanti,85.81,B,Game of Yards! 2019
Wut happened uh 🤷🏽‍♂️,85.75,B,EBC League 2022
U Lost to a Red Bull Rookie,85.58,B,OnP Fantasy 2025
Chill YNs,85.58,B,Ross' Fantasy League 2025
Prahlad's Ghost,85.44,B,Pennoni Younglings 2025
Team Rodriguez,85.18,B,THE BEST OF THE BEST 2025
Lamb of Goedert,85.06,B,The Girl's Room 💞🏈 2025
19th St Halal Cart,84.98,B,Pennoni Younglings 2023
Werewolves of London,84.95,B,EBC League 2025
Peter Pan + the Lost Boys ,84.94,B,THE BEST OF THE BEST 2025
Amon Yo Ass Boy,84.83,B,The Mike Daisy Sports IQ League 2025
Riley  Read option,84.69,B,EBC League 2023
Off Script ,84.65,B,THE BEST OF THE BEST 2023
CeeDee'sNUTZ,84.58,B,The Mike Daisy Sports IQ League 2025
Numb Nutz - CHAMP,84.46,B,Family Fantasy 2024
Philadelphia Bills Mafia,84.43,B,Pennoni Younglings 2025
Division iPad,84.22,B,0755 Fantasy Football 2024
Team Behel,84.18,B,RRR On Premise 2021
Cans in My Hands,84.06,B,OnP Fantasy 2025
Now there are two of them!,84.04,B,Turf On Grade 2.0 2023
Nikki  ,83.86,B,The Girl's Room 💞🏈 2025
Pleasant Valley Panthers,83.83,B,EBC League 2021
Eli,83.79,B,Pennoni Younglings 2025
India's Most Wanted,83.7,B,0755 Fantasy Football 2023
"Bad, Bad, A.J. Brown",83.6,B,BP- Loudoun 2025 2025
19th St Halal Cart,83.32,B,Pennoni Younglings 2022
Abyss Diamond Eyes,83.21,B,EBC League 2025
Gabe's Grand Team,83.17,B,Family Fantasy 2025
Skibidi Rizzlers,83.13,B,Family Fantasy 2024
Control Machete,83.13,B,Turf On Grade 2.0 2024
Whole lotta gang sheed,83.09,B,The Mike Daisy Sports IQ League 2025
Pain Inflictors,83.05,B,Game of Yards! 2021
Hark,83.04,B,Brown Munde 2024
Philadelphia British Army,82.95,B-,Pennoni Younglings 2022
Papa Murphy’s Pizza,82.78,B-,Ross' Fantasy League 2025
Eks Gonna Give It To Ya!,82.66,B-,Brown Munde 2023
PAI Alcoholics Anonymous ,82.53,B-,Pennoni Younglings 2022
Tracey Time,82.5,B-,BP- Loudoun 2025 2025
Bear Down,82.48,B-,RRR On Premise 2023
Abyss Diamond Eyes,82.42,B-,EBC League 2022
NoHalfSends,82.18,B-,Brown Munde 2023
Team Padodara,82.16,B-,Brown Munde 2023
Peter Pan + the Lost Boys ,82.09,B-,THE BEST OF THE BEST 2024
Christian McCalf-Injury,82.06,B-,Pennoni Younglings 2025
19th St Halal Cart,82.0,B-,Pennoni Younglings 2025
 Johnny  Dramas ,81.86,B-,RRR On Premise 2021
Stiff Armed and Dangerous,81.72,B-,Game of Yards! 2022
