Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
4 - 1,37,Jaxon Smith-Njigba,WR,"Bad, Bad, A.J. Brown",240.91,14.17,359.9,21.17,17,{10FCCFDD-378B-48B3-9235-1B7FE979B565},100.0,A+
3 - 4,28,Trey McBride,TE,Team Schottler,259.22,15.25,315.9,18.58,17,{E7CC7F46-F717-486C-97F3-AA57BBB5769A},100.0,A+
1 - 10,10,Puka Nacua,WR,At Risk of CTE,298.63,17.57,375.0,23.44,16,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64},100.0,A+
1 - 8,8,Christian McCaffrey,RB,Foxes Hopefuls,318.41,18.73,416.6,24.51,17,{39E08083-F55A-4B88-BF41-49FD650A38A3},99.69,A+
6 - 9,69,George Pickens,WR,Team Schottler,221.36,13.02,291.9,17.17,17,{E7CC7F46-F717-486C-97F3-AA57BBB5769A},96.64,A
1 - 6,6,Amon-Ra St. Brown,WR,Tracey Time,290.62,17.1,324.0,19.06,17,{7620C450-A7B4-4E78-82D4-83946B8B23FC},95.04,A
2 - 2,14,Jonathan Taylor,RB,Fear the Turtle,288.77,16.99,362.3,21.31,17,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725},94.06,A
1 - 1,1,Ja'Marr Chase,WR,Sporty Jess,340.02,20.0,313.6,19.6,16,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4},93.46,A
7 - 10,82,Chris Olave,WR,At Risk of CTE,209.82,12.34,268.0,16.75,16,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64},93.22,A
14 - 11,167,Seahawks D/ST,D/ST,Yangblood Bravesheart,121.19,7.13,185.0,10.88,17,{E2B51AC9-D133-4155-B51A-C9D133E155BA},92.92,A-
1 - 2,2,Bijan Robinson,RB,Yangblood Bravesheart,339.37,19.96,370.8,21.81,17,{E2B51AC9-D133-4155-B51A-C9D133E155BA},92.86,A-
1 - 3,3,Jahmyr Gibbs,RB,Trash Panda Express,317.28,18.66,366.9,21.58,17,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},92.8,A-
13 - 12,156,Matthew Stafford,QB,"Bad, Bad, A.J. Brown",274.08,16.12,350.38,20.61,17,{10FCCFDD-378B-48B3-9235-1B7FE979B565},92.39,A-
13 - 4,148,Wan'Dale Robinson,WR,Team Schottler,152.78,8.99,217.9,13.62,16,{E7CC7F46-F717-486C-97F3-AA57BBB5769A},91.5,A-
14 - 5,161,Trevor Lawrence,QB,Foxes Hopefuls,279.32,16.43,338.18,19.89,17,{39E08083-F55A-4B88-BF41-49FD650A38A3},91.49,A-
9 - 8,104,Travis Etienne Jr.,RB,Foxes Hopefuls,188.14,11.07,253.9,14.94,17,{39E08083-F55A-4B88-BF41-49FD650A38A3},91.39,A-
9 - 4,100,Javonte Williams,RB,Team Schottler,217.23,12.78,242.8,15.18,16,{E7CC7F46-F717-486C-97F3-AA57BBB5769A},89.77,B+
14 - 8,164,Texans D/ST,D/ST,Derk Prerscert,128.82,7.58,173.0,10.18,17,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F},89.58,B+
11 - 11,131,Kyle Pitts Sr.,TE,Fear the Turtle,143.06,8.42,210.8,12.4,17,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725},89.35,B+
10 - 5,113,Drake Maye,QB,Foxes Hopefuls,285.26,16.78,351.96,20.7,17,{39E08083-F55A-4B88-BF41-49FD650A38A3},89.25,B+
15 - 10,178,Ka'imi Fairbairn,K,At Risk of CTE,135.89,7.99,190.0,12.67,15,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64},88.76,B+
1 - 12,12,De'Von Achane,RB,"Bad, Bad, A.J. Brown",307.53,18.09,322.8,20.18,16,{10FCCFDD-378B-48B3-9235-1B7FE979B565},88.7,B+
3 - 7,31,James Cook III,RB,Hannah's Hail Mary,269.9,15.88,302.2,17.78,17,{4375637E-BE98-463A-BC78-7D6AD1D285D8},88.5,B+
15 - 5,173,Brandon Aubrey,K,Derk Prerscert,142.15,8.36,184.6,10.86,17,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F},87.44,B+
5 - 9,57,Zay Flowers,WR,Jeffrey's not so Scary Team,232.52,13.68,243.3,14.31,17,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E},86.97,B
2 - 11,23,Josh Allen,QB,Yangblood Bravesheart,367.87,21.64,364.62,21.45,17,{E2B51AC9-D133-4155-B51A-C9D133E155BA},86.4,B
13 - 10,154,Jared Goff,QB,At Risk of CTE,260.45,15.32,297.06,17.47,17,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64},85.92,B
8 - 7,91,Jaylen Warren,RB,Tracey Time,250.22,14.72,217.1,13.57,16,{7620C450-A7B4-4E78-82D4-83946B8B23FC},85.89,B
10 - 2,110,Caleb Williams,QB,Fear the Turtle,279.79,16.46,318.18,18.72,17,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725},85.06,B
10 - 8,116,Dak Prescott,QB,Derk Prerscert,285.8,16.81,313.78,18.46,17,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F},84.67,B
9 - 2,98,Tyler Warren,TE,Yangblood Bravesheart,166.07,9.77,188.5,11.09,17,{E2B51AC9-D133-4155-B51A-C9D133E155BA},84.6,B
3 - 5,29,Chase Brown,RB,Derk Prerscert,281.22,16.54,282.6,16.62,17,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F},84.56,B
11 - 8,128,Jake Ferguson,TE,Foxes Hopefuls,150.38,8.85,188.1,11.06,17,{39E08083-F55A-4B88-BF41-49FD650A38A3},84.52,B
7 - 6,78,Stefon Diggs,WR,Tracey Time,160.77,9.46,210.3,12.37,17,{7620C450-A7B4-4E78-82D4-83946B8B23FC},84.44,B
16 - 7,187,Romeo Doubs,WR,Tracey Time,126.52,7.44,165.4,10.34,16,{7620C450-A7B4-4E78-82D4-83946B8B23FC},83.92,B
12 - 6,138,Dallas Goedert,TE,Hannah's Hail Mary,156.88,9.23,185.1,12.34,15,{4375637E-BE98-463A-BC78-7D6AD1D285D8},83.88,B
6 - 1,61,Travis Kelce,TE,"Bad, Bad, A.J. Brown",181.08,10.65,193.2,11.36,17,{10FCCFDD-378B-48B3-9235-1B7FE979B565},83.86,B
2 - 3,15,Derrick Henry,RB,At Risk of CTE,281.74,16.57,279.5,16.44,17,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64},83.73,B
6 - 12,72,Bo Nix,QB,Sporty Jess,301.89,17.76,304.84,17.93,17,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4},83.46,B
5 - 6,54,D'Andre Swift,RB,Tracey Time,226.78,13.34,228.6,14.29,16,{7620C450-A7B4-4E78-82D4-83946B8B23FC},83.45,B
16 - 12,192,Cam Little,K,Sporty Jess,135.84,7.99,162.0,9.53,17,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4},83.41,B
5 - 8,56,Courtland Sutton,WR,Foxes Hopefuls,227.59,13.39,219.7,12.92,17,{39E08083-F55A-4B88-BF41-49FD650A38A3},83.38,B
8 - 1,85,Michael Pittman Jr.,WR,"Bad, Bad, A.J. Brown",201.11,11.83,202.4,11.91,17,{10FCCFDD-378B-48B3-9235-1B7FE979B565},83.24,B
5 - 1,49,Jameson Williams,WR,Sporty Jess,218.62,12.86,219.9,12.94,17,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4},83.13,B
13 - 6,150,Cameron Dicker,K,Tracey Time,143.93,8.47,167.0,9.82,17,{7620C450-A7B4-4E78-82D4-83946B8B23FC},82.94,B-
3 - 11,35,Davante Adams,WR,Fear the Turtle,257.07,15.12,222.9,15.92,14,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725},82.9,B-
13 - 5,149,Hunter Henry,TE,Derk Prerscert,148.14,8.71,178.8,10.52,17,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F},82.7,B-
10 - 10,118,Zach Charbonnet,RB,Trash Panda Express,137.02,8.06,181.4,11.34,16,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},82.45,B-
2 - 8,20,Nico Collins,WR,Derk Prerscert,289.12,17.01,226.2,15.08,15,{C13611CA-DD4A-4EA6-B706-B9D3BAE99D5F},82.3,B-
9 - 11,107,Deebo Samuel,WR,Fear the Turtle,203.14,11.95,188.2,11.76,16,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725},82.28,B-
7 - 3,75,Emeka Egbuka,WR,Trash Panda Express,176.01,10.35,195.7,11.51,17,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},82.22,B-
10 - 3,111,Jauan Jennings,WR,At Risk of CTE,192.74,11.34,173.3,11.55,15,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64},81.93,B-
3 - 1,25,Kyren Williams,RB,Sporty Jess,284.05,16.71,263.3,15.49,17,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4},81.9,B-
5 - 2,50,Tetairoa McMillan,WR,Yangblood Bravesheart,235.26,13.84,211.4,12.44,17,{E2B51AC9-D133-4155-B51A-C9D133E155BA},81.89,B-
11 - 3,123,Quinshon Judkins,RB,Trash Panda Express,49.6,3.1,169.8,12.13,14,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},81.78,B-
3 - 6,30,Jalen Hurts,QB,Tracey Time,365.49,21.5,299.06,18.69,16,{7620C450-A7B4-4E78-82D4-83946B8B23FC},81.57,B-
16 - 4,184,Kareem Hunt,RB,Jeffrey's not so Scary Team,99.97,5.88,145.4,8.55,17,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E},81.51,B-
7 - 12,84,Justin Herbert,QB,"Bad, Bad, A.J. Brown",284.48,16.73,286.88,17.93,16,{10FCCFDD-378B-48B3-9235-1B7FE979B565},81.31,B-
14 - 1,157,Broncos D/ST,D/ST,"Bad, Bad, A.J. Brown",130.13,7.65,144.0,8.47,17,{10FCCFDD-378B-48B3-9235-1B7FE979B565},81.18,B-
5 - 10,58,Patrick Mahomes,QB,At Risk of CTE,324.92,19.11,285.68,20.41,14,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64},81.16,B-
8 - 11,95,Rhamondre Stevenson,RB,Yangblood Bravesheart,173.08,10.18,178.8,12.77,14,{E2B51AC9-D133-4155-B51A-C9D133E155BA},81.13,B-
5 - 11,59,DeVonta Smith,WR,Fear the Turtle,222.99,13.12,201.8,11.87,17,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725},81.12,B-
7 - 4,76,RJ Harvey,RB,Team Schottler,207.26,12.19,206.6,12.15,17,{E7CC7F46-F717-486C-97F3-AA57BBB5769A},81.09,B-
3 - 10,34,Tee Higgins,WR,At Risk of CTE,265.41,15.61,211.6,14.11,15,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64},80.75,B-
5 - 3,51,Breece Hall,RB,Trash Panda Express,226.04,13.3,207.66,12.98,16,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},80.67,B-
4 - 7,43,TreVeyon Henderson,RB,Tracey Time,223.83,13.17,206.2,12.13,17,{7620C450-A7B4-4E78-82D4-83946B8B23FC},80.48,B-
6 - 5,65,Jaylen Waddle,WR,Foxes Hopefuls,226.53,13.33,194.12,12.13,16,{39E08083-F55A-4B88-BF41-49FD650A38A3},80.45,B-
16 - 6,186,Chris Boswell,K,Hannah's Hail Mary,138.42,8.14,147.0,8.65,17,{4375637E-BE98-463A-BC78-7D6AD1D285D8},80.34,B-
8 - 4,88,Keenan Allen,WR,Jeffrey's not so Scary Team,212.6,12.51,182.7,10.75,17,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E},80.24,B-
16 - 11,191,Harrison Butker,K,Yangblood Bravesheart,138.62,8.15,144.0,8.47,17,{E2B51AC9-D133-4155-B51A-C9D133E155BA},79.72,C+
10 - 7,115,Colston Loveland,TE,Tracey Time,155.19,9.13,165.1,10.32,16,{7620C450-A7B4-4E78-82D4-83946B8B23FC},79.61,C+
9 - 9,105,Chase McLaughlin,K,Jeffrey's not so Scary Team,147.01,8.65,151.0,8.88,17,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E},79.52,C+
5 - 7,55,Baker Mayfield,QB,Hannah's Hail Mary,310.96,18.29,271.92,16.0,17,{4375637E-BE98-463A-BC78-7D6AD1D285D8},79.51,C+
2 - 1,13,A.J. Brown,WR,"Bad, Bad, A.J. Brown",275.63,16.21,220.3,14.69,15,{10FCCFDD-378B-48B3-9235-1B7FE979B565},79.27,C+
7 - 7,79,Jakobi Meyers,WR,Hannah's Hail Mary,219.64,12.92,175.8,10.99,16,{4375637E-BE98-463A-BC78-7D6AD1D285D8},79.2,C+
