Team,Player,Position,Owner ID
Fear the Turtle,Jonathan Taylor,RB,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,Davante Adams,WR,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,DeVonta Smith,WR,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,T.J. Hockenson,TE,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,Tyrone Tracy Jr.,RB,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,Jacory Croskey-Merritt,RB,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,Deebo Samuel,WR,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,Caleb Williams,QB,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,Kyle Pitts Sr.,TE,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,Joe Mixon,RB,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,Rams D/ST,D/ST,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,Kenneth Gainwell,RB,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,Jaxson Dart,QB,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,Chargers D/ST,D/ST,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,Jason Myers,K,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,Sean Tucker,RB,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Fear the Turtle,Jayden Daniels,QB,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725}
Jeffrey's not so Scary Team,Ashton Jeanty,RB,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Terry McLaurin,WR,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Alvin Kamara,RB,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Zay Flowers,WR,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Keenan Allen,WR,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Josh Downs,WR,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Hollywood Brown,WR,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Tyjae Spears,RB,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Justice Hill,RB,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Kareem Hunt,RB,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Cade Otton,TE,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Bears D/ST,D/ST,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Sam Darnold,QB,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Dalton Schultz,TE,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Brandon McManus,K,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Jeffrey's not so Scary Team,Devin Singletary,RB,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E}
Foxes Hopefuls,Christian McCaffrey,RB,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Drake London,WR,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Garrett Wilson,WR,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Kenneth Walker III,RB,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Courtland Sutton,WR,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Jaylen Waddle,WR,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Travis Etienne Jr.,RB,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Drake Maye,QB,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Jake Ferguson,TE,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Oronde Gadsden,TE,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Cam Little,K,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Joe Burrow,QB,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Saints D/ST,D/ST,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Chiefs D/ST,D/ST,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Brian Robinson Jr.,RB,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Colston Loveland,TE,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Foxes Hopefuls,Blake Corum,RB,{39E08083-F55A-4B88-BF41-49FD650A38A3}
Sporty Jess,Ja'Marr Chase,WR,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Sporty Jess,Bucky Irving,RB,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Sporty Jess,Kyren Williams,RB,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Sporty Jess,DK Metcalf,WR,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Sporty Jess,Jameson Williams,WR,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Sporty Jess,Bo Nix,QB,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Sporty Jess,Quentin Johnston,WR,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Sporty Jess,Tre Tucker,WR,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Sporty Jess,Brenton Strange,TE,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Sporty Jess,Kimani Vidal,RB,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Sporty Jess,Tyler Loop,K,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Sporty Jess,Matthew Stafford,QB,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Sporty Jess,Chimere Dike,WR,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Sporty Jess,Isaiah Hodgins,WR,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
Sporty Jess,John Metchie III,WR,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4}
