Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Kenneth Gainwell,RB,Fear the Turtle,193.17,11.36,221.3,13.02,17,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725},94.54,A
Rico Dowdle,RB,Tracey Time,83.95,4.94,216.3,12.72,17,{7620C450-A7B4-4E78-82D4-83946B8B23FC},93.53,A
Michael Wilson,WR,Trash Panda Express,115.81,6.81,220.6,12.98,17,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},91.87,A-
Jason Myers,K,Fear the Turtle,136.51,8.03,195.0,11.47,17,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725},89.35,B+
Jaguars D/ST,D/ST,Trash Panda Express,87.31,5.14,139.0,8.18,17,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},86.31,B
Juwan Johnson,TE,"Bad, Bad, A.J. Brown",117.35,6.9,179.9,10.58,17,{10FCCFDD-378B-48B3-9235-1B7FE979B565},84.52,B
Patriots D/ST,D/ST,Trash Panda Express,101.44,5.97,133.0,7.82,17,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},84.24,B
Parker Washington,WR,"Bad, Bad, A.J. Brown",44.44,2.61,184.7,11.54,16,{10FCCFDD-378B-48B3-9235-1B7FE979B565},83.99,B
Dalton Schultz,TE,Jeffrey's not so Scary Team,126.05,7.41,177.7,10.45,17,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E},83.97,B
Alec Pierce,WR,Trash Panda Express,70.93,4.17,183.3,12.22,15,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},83.69,B
Troy Franklin,WR,"Bad, Bad, A.J. Brown",79.69,4.69,177.1,10.42,17,{10FCCFDD-378B-48B3-9235-1B7FE979B565},82.33,B-
Rams D/ST,D/ST,Fear the Turtle,87.74,5.16,125.0,7.35,17,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725},81.47,B-
Quentin Johnston,WR,Sporty Jess,163.92,9.64,171.2,12.23,14,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4},81.03,B-
Saints D/ST,D/ST,Foxes Hopefuls,62.14,3.66,123.0,7.24,17,{39E08083-F55A-4B88-BF41-49FD650A38A3},80.78,B-
Woody Marks,RB,At Risk of CTE,73.35,4.31,151.1,9.44,16,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64},80.43,B-
Jaxson Dart,QB,Fear the Turtle,132.17,14.69,241.58,17.26,14,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725},79.96,C+
Will Reichard,K,Team Schottler,133.95,7.88,158.0,9.29,17,{E7CC7F46-F717-486C-97F3-AA57BBB5769A},79.69,C+
Kyle Monangai,RB,"Bad, Bad, A.J. Brown",51.55,3.03,146.7,8.63,17,{10FCCFDD-378B-48B3-9235-1B7FE979B565},79.55,C+
Chargers D/ST,D/ST,Fear the Turtle,72.66,4.27,119.0,7.0,17,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725},79.39,C+
Sam Darnold,QB,Jeffrey's not so Scary Team,241.69,14.22,235.42,13.85,17,{DD7B52C4-07A8-4D1A-9C13-3F2F725D851E},79.09,C+
Tre Tucker,WR,Sporty Jess,130.64,7.68,161.7,9.51,17,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4},78.95,C+
Jacoby Brissett,QB,Tracey Time,2.24,0.13,227.44,16.25,14,{7620C450-A7B4-4E78-82D4-83946B8B23FC},77.96,C+
AJ Barner,TE,At Risk of CTE,81.84,4.81,147.3,8.66,17,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64},76.35,C
Tyler Loop,K,Sporty Jess,140.26,8.25,140.0,8.24,17,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4},74.99,C
