Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Chris Boswell,K,THE BIGMADBLUE,125.7,7.39,162.0,12.46,13,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},92.04,A-
Bucky Irving,RB,Hark,100.26,7.16,157.5,12.12,13,{8BF15A87-7793-43C2-B15A-87779313C26A},91.68,A-
Vikings D/ST,D/ST,THE BIGMADBLUE,127.36,7.49,167.0,12.85,13,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},89.14,B+
Jauan Jennings,WR,BurgerBoyz,60.14,4.01,148.0,12.33,12,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},88.28,B+
Rico Dowdle,RB,Still Rollin',137.46,9.82,136.1,11.34,12,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},86.71,B
Broncos D/ST,D/ST,Still Rollin',91.27,5.37,160.0,12.31,13,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},86.64,B
Jonnu Smith,TE,THE BIGMADBLUE,83.91,5.59,165.1,12.7,13,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},86.62,B
Tyrone Tracy Jr.,RB,THE BIGMADBLUE,72.7,5.19,134.5,10.35,13,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},86.34,B
Baker Mayfield,QB,Still Rollin',228.78,15.25,244.26,18.79,13,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},85.45,B
Chargers D/ST,D/ST,Team BB,114.93,6.76,153.0,11.77,13,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},84.13,B
Kareem Hunt,RB,NoHalfSends,0.0,0.0,119.6,11.96,10,{6A39F767-40D1-4825-B0A7-1D20433A3184},82.88,B-
Sam Darnold,QB,Team BB,176.61,13.59,223.36,17.18,13,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},82.18,B-
Bo Nix,QB,Team BB,176.92,12.64,218.28,16.79,13,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},81.38,B-
Cameron Dicker,K,Still Rollin',135.6,7.98,125.0,9.62,13,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},81.16,B-
Texans D/ST,D/ST,BurgerBoyz,128.41,7.55,142.0,10.92,13,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},80.18,B-
Lions D/ST,D/ST,Meet the Nabers,149.59,8.8,140.0,10.77,13,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},79.46,C+
Cade Otton,TE,BurgerBoyz,110.34,7.36,138.2,10.63,13,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},79.46,C+
Tank Bigsby,RB,Meet the Nabers,68.81,4.92,102.7,8.56,12,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},78.96,C+
Josh Downs,WR,Team BB,89.25,6.87,114.1,11.41,10,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},78.94,C+
Tucker Kraft,TE,BurgerBoyz,90.41,6.03,134.5,10.35,13,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},78.48,C+
Seahawks D/ST,D/ST,Bhals,147.1,8.65,135.0,10.38,13,{0E22E7FC-569B-49C8-A313-22E034A6865F},77.67,C+
Chase McLaughlin,K,Bhals,129.69,7.63,112.0,8.62,13,{0E22E7FC-569B-49C8-A313-22E034A6865F},77.34,C+
Zach Ertz,TE,NoHalfSends,74.3,4.95,130.1,10.01,13,{6A39F767-40D1-4825-B0A7-1D20433A3184},77.31,C+
