Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,Owner ID
Seigaku FC,100.0,A+,EBC League,3,1924.04,1747.62,12-2-0,2022,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546}
The Bill Croskey Show,100.0,A+,OnP Fantasy,1,1874.84,1594.92,10-4-0,2025,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5}
Bhals,100.0,A+,Brown Munde,6,1744.32,1765.94,17-11-0,2024,{0E22E7FC-569B-49C8-A313-22E034A6865F}
the   jadey bunch,98.89,A+,THE BEST OF THE BEST,2,1578.12,1397.82,11-3-0,2022,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
Peter Pan + the Lost Boys ,98.58,A+,THE BEST OF THE BEST,1,1647.74,1410.68,10-4-0,2023,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
My Team Hurts,98.06,A+,RRR On Premise ,5,1726.82,1585.0,7-7-0,2023,{17471759-D3C1-4206-8612-A156BCC23AA1}
The Hungry Dogs,98.01,A+,EBC League,2,1883.06,1493.16,10-4-0,2024,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Taco Tuesday Everyday,97.92,A+,THE BEST OF THE BEST,2,1682.34,1438.1,10-4-0,2024,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
Flock Around and Find Out,97.74,A+,The Girl's Room 💞🏈,1,1852.48,1486.38,11-4-0,2025,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE}
Kenny The Tick Salcido,97.01,A+,RRR On Premise ,1,1677.82,1388.98,10-4-0,2021,{45D714CF-B0D8-49FA-9714-CFB0D859FAB7}
Becca’s Ballers,96.55,A,The Girl's Room 💞🏈,4,1677.58,1340.76,10-5-0,2025,{2CC13964-3B93-4869-A746-1634AE79F650}
At Risk of CTE,94.72,A,BP- Loudoun 2025,1,2135.22,1784.32,11-4-0,2025,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64}
Say Cheese 🧀💚🧀,94.0,A,The Girl's Room 💞🏈,3,1718.64,1483.68,10-5-0,2025,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5}
Arm Pitts,93.87,A,0755 Fantasy Football,3,1441.88,1335.36,8-5-0,2023,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
THE POOL,93.43,A,EBC League,1,1793.18,1696.54,8-6-0,2023,{E7893FEC-BC37-48CB-9509-34C663E71ADC}
The Chase is on,93.23,A,Game of Yards!,1,1901.26,1684.24,21-7-0,2024,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
The  Dream crusher,93.05,A,THE BEST OF THE BEST,1,1550.78,1464.2,7-7-0,2022,{600C56A6-5DB0-42B1-8C56-A65DB022B176}
Reagor Bombs,93.02,A,RRR On Premise ,5,1785.08,1453.6,8-5-1,2021,{17471759-D3C1-4206-8612-A156BCC23AA1}
Team Rodriguez,92.42,A-,THE BEST OF THE BEST,1,1832.76,1476.6,13-1-0,2024,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
PAI India Division Manager,92.04,A-,Pennoni Younglings,6,1661.92,1503.3,6-8-0,2023,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Partners for What's Possible,91.76,A-,Pennoni Younglings,3,1719.5,1589.22,9-5-0,2024,{5E530C03-3F19-48F0-A309-52B769E76347}
Team Amijaz,91.53,A-,Game of Yards!,2,1738.76,1653.88,7-7-0,2020,{E8084BA7-697B-4617-884B-A7697B7617C9}
Golden Receivers,91.17,A-,Family Fantasy,4,1892.7,1525.78,12-2-0,2024,{4656A2AD-A939-460B-96A2-ADA939760B8B}
Tush Push Director 🍑,91.17,A-,The Girl's Room 💞🏈,2,1728.14,1353.52,12-3-0,2025,{6463FE68-068E-42B0-BF9C-B0AEFD28D60C}
Cowtown Cowboys,90.78,A-,OnP Fantasy,2,1654.06,1450.14,8-6-0,2025,{ED820BF3-C942-4041-820B-F3C9425041D9}
