Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Cowboys D/ST,D/ST,Seigaku FC,64.55,3.8,163.0,9.59,17,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},93.49,A
James Conner,RB,Abyss Diamond Eyes,151.66,10.83,257.7,17.18,15,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},93.41,A
Cordarrelle Patterson,RB,Abyss Diamond Eyes,84.87,5.66,234.6,14.66,16,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},89.51,B+
Patriots D/ST,D/ST,Hungry Dogs,104.96,6.17,148.0,8.71,17,{4656A2AD-A939-460B-96A2-ADA939760B8B},88.11,B+
Hunter Renfrow,WR,South East  Anbu ,120.99,7.56,259.1,15.24,17,{7C989087-DC3A-4135-A9F9-563E420927D1},86.84,B
Dalton Schultz,TE,Abyss Diamond Eyes,94.0,5.88,208.8,12.28,17,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},85.26,B
Mike Williams,WR,Pitman OBJYN,187.06,11.69,246.6,15.41,16,{10F78273-9201-4EE8-B782-739201DEE809},84.63,B
Jaylen Waddle,WR,Seigaku FC,181.88,11.37,245.8,15.36,16,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},84.49,B
Michael Pittman Jr.,WR,Abyss Diamond Eyes,178.77,11.17,238.6,14.04,17,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},83.22,B
Nick Folk,K,Hungry Dogs,127.58,7.5,168.0,9.88,17,{4656A2AD-A939-460B-96A2-ADA939760B8B},82.89,B-
Melvin Gordon III,RB,Pleasant Valley Panthers,148.72,9.91,195.1,12.19,16,{8DC6CB03-411B-4540-86CB-03411B854029},82.85,B-
Saints D/ST,D/ST,Sorry 🤷🏽‍♂️,112.65,6.63,133.0,7.82,17,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},82.73,B-
Carson Wentz,QB,South East  Anbu ,237.54,15.84,258.02,15.18,17,{7C989087-DC3A-4135-A9F9-563E420927D1},81.64,B-
Amon-Ra St. Brown,WR,Seigaku FC,132.33,8.27,227.3,14.21,16,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},81.22,B-
Marquise Brown,WR,Seigaku FC,193.6,12.1,226.3,14.14,16,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},81.05,B-
Zach Ertz,TE,South East  Anbu ,112.73,7.52,180.7,10.63,17,{7C989087-DC3A-4135-A9F9-563E420927D1},78.64,C+
Greg Joseph,K,Sorry 🤷🏽‍♂️,123.72,7.28,151.0,8.88,17,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},78.19,C+
Elijah Mitchell,RB,Pure Mature,57.48,3.83,165.0,15.0,11,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F},77.78,C+
Tony Pollard,RB,South East  Anbu ,112.51,7.5,162.6,10.84,15,{7C989087-DC3A-4135-A9F9-563E420927D1},77.37,C+
Jake Elliott,K,South East  Anbu ,122.19,7.19,147.0,8.65,17,{7C989087-DC3A-4135-A9F9-563E420927D1},77.08,C+
Cardinals D/ST,D/ST,Abyss Diamond Eyes,79.73,4.69,114.0,6.71,17,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},75.91,C
Mike Gesicki,TE,Hungry Dogs,142.52,8.91,165.0,9.71,17,{4656A2AD-A939-460B-96A2-ADA939760B8B},74.93,C
Tyler Bass,K,Abyss Diamond Eyes,131.16,7.72,139.0,8.18,17,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},74.86,C
Dawson Knox,TE,Pitman OBJYN,110.95,6.93,164.1,10.94,15,{10F78273-9201-4EE8-B782-739201DEE809},74.72,C
Mason Crosby,K,Pitman OBJYN,124.58,7.33,125.0,7.35,17,{10F78273-9201-4EE8-B782-739201DEE809},70.98,C-
Van Jefferson,WR,South East  Anbu ,104.39,6.52,168.2,9.89,17,{7C989087-DC3A-4135-A9F9-563E420927D1},70.79,C-
Eagles D/ST,D/ST,Hungry Dogs,77.33,4.55,99.0,5.82,17,{4656A2AD-A939-460B-96A2-ADA939760B8B},70.53,C-
Cole Beasley,WR,South East  Anbu ,171.9,10.74,159.3,9.96,16,{7C989087-DC3A-4135-A9F9-563E420927D1},69.22,D+
Boston Scott,RB,Pure Mature,69.99,4.67,98.6,8.22,12,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F},66.58,D
Ronald Jones II,RB,Hungry Dogs,119.5,7.97,79.2,5.28,15,{4656A2AD-A939-460B-96A2-ADA939760B8B},63.31,D
Antonio Brown,WR,Pitman OBJYN,186.68,12.45,121.1,17.3,7,{10F78273-9201-4EE8-B782-739201DEE809},62.48,D-
Nelson Agholor,WR,South East  Anbu ,152.77,10.18,103.4,7.39,14,{7C989087-DC3A-4135-A9F9-563E420927D1},59.35,F
Ben DiNucci,QB,Hungry Dogs,0.0,0.0,0.0,0.0,0,{4656A2AD-A939-460B-96A2-ADA939760B8B},57.29,F
