Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
3 - 4,28,Trey McBride,TE,67 Big Backs,259.22,15.25,302.4,18.9,16,{6056B364-2BEC-43D7-A948-C08055FA2C5F},100.0,A+
4 - 2,38,Jaxon Smith-Njigba,WR,For Me to Poop on,240.91,14.17,345.5,21.59,16,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368},100.0,A+
1 - 7,7,Puka Nacua,WR,Gabe's Grand Team,298.63,17.57,349.0,23.27,15,{252B710A-A1BF-4BDD-93A8-A65DA1410626},99.76,A+
1 - 8,8,Christian McCaffrey,RB,Skibidi Rizzlers,318.41,18.73,404.9,25.31,16,{88877912-82AE-408B-9AD4-17D54F48BACA},98.8,A+
8 - 2,86,George Pickens,WR,For Me to Poop on,221.36,13.02,290.0,18.12,16,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368},97.3,A+
8 - 8,92,Chris Olave,WR,Your Mom,209.82,12.34,268.0,16.75,16,{F1F84656-65C6-418D-85EB-A941DF949C09},93.94,A
2 - 3,15,Jonathan Taylor,RB,Oh My Josh,288.77,16.99,356.4,22.27,16,{5134AA18-1271-4376-B91C-1EECCCFF2E92},93.76,A
1 - 4,4,Bijan Robinson,RB,67 Big Backs,339.37,19.96,363.5,22.72,16,{6056B364-2BEC-43D7-A948-C08055FA2C5F},92.69,A-
15 - 5,173,Seahawks D/ST,D/ST,Your Mom,121.19,7.13,173.0,10.81,16,{F1F84656-65C6-418D-85EB-A941DF949C09},92.67,A-
1 - 10,10,Amon-Ra St. Brown,WR,Oh My Josh,290.62,17.1,299.1,18.69,16,{5134AA18-1271-4376-B91C-1EECCCFF2E92},92.15,A-
14 - 1,157,Wan'Dale Robinson,WR,Numb Nutz - CHAMP,152.78,8.99,217.9,13.62,16,{44E96D81-20A7-4A88-AA77-7AF689BE12D7},91.98,A-
9 - 9,105,Travis Etienne Jr.,RB,Golden Receivers,188.14,11.07,249.1,15.57,16,{4656A2AD-A939-460B-96A2-ADA939760B8B},91.24,A-
1 - 6,6,Jahmyr Gibbs,RB,Hormones For You,317.28,18.66,346.6,21.66,16,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB},91.09,A-
1 - 1,1,Ja'Marr Chase,WR,Tortured Cheerleaders Departmnt,340.02,20.0,290.0,19.33,15,{8F726947-16B6-4023-8839-58DD00CD6659},90.76,A-
3 - 11,35,James Cook III,RB,For Me to Poop on,269.9,15.88,300.7,18.79,16,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368},89.86,B+
14 - 9,165,Texans D/ST,D/ST,67 Big Backs,128.82,7.58,162.0,10.12,16,{6056B364-2BEC-43D7-A948-C08055FA2C5F},89.63,B+
14 - 12,168,Trevor Lawrence,QB,Tortured Cheerleaders Departmnt,279.32,16.43,314.88,19.68,16,{8F726947-16B6-4023-8839-58DD00CD6659},89.56,B+
2 - 1,13,De'Von Achane,RB,Numb Nutz - CHAMP,307.53,18.09,322.8,20.18,16,{44E96D81-20A7-4A88-AA77-7AF689BE12D7},89.25,B+
8 - 6,90,Javonte Williams,RB,Gabe's Grand Team,217.23,12.78,242.8,15.18,16,{252B710A-A1BF-4BDD-93A8-A65DA1410626},89.07,B+
12 - 3,135,Kyle Pitts Sr.,TE,Oh My Josh,143.06,8.42,199.0,12.44,16,{5134AA18-1271-4376-B91C-1EECCCFF2E92},88.81,B+
11 - 6,126,Matthew Stafford,QB,Hormones For You,274.08,16.12,323.72,20.23,16,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB},88.56,B+
10 - 5,113,Drake Maye,QB,Skibidi Rizzlers,285.26,16.78,336.22,21.01,16,{88877912-82AE-408B-9AD4-17D54F48BACA},88.25,B+
2 - 12,24,Josh Allen,QB,Tortured Cheerleaders Departmnt,367.87,21.64,364.62,22.79,16,{8F726947-16B6-4023-8839-58DD00CD6659},87.17,B+
13 - 2,146,Brandon Aubrey,K,Breece Hall Sucks,142.15,8.36,180.6,11.29,16,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9},87.12,B+
10 - 8,116,Dak Prescott,QB,Your Mom,285.8,16.81,313.08,19.57,16,{F1F84656-65C6-418D-85EB-A941DF949C09},86.28,B
10 - 6,114,Jake Ferguson,TE,Gabe's Grand Team,150.38,8.85,186.6,11.66,16,{252B710A-A1BF-4BDD-93A8-A65DA1410626},86.01,B
6 - 5,65,Travis Kelce,TE,Skibidi Rizzlers,181.08,10.65,189.0,11.81,16,{88877912-82AE-408B-9AD4-17D54F48BACA},85.89,B
10 - 7,115,Dallas Goedert,TE,Hormones For You,156.88,9.23,185.1,12.34,15,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB},85.69,B
14 - 6,162,Jared Goff,QB,Gabe's Grand Team,260.45,15.32,281.82,17.61,16,{252B710A-A1BF-4BDD-93A8-A65DA1410626},85.59,B
15 - 3,171,Quinshon Judkins,RB,Rizzly Bears,49.6,3.1,169.8,12.13,14,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},85.12,B
9 - 6,102,Tyler Warren,TE,Hormones For You,166.07,9.77,180.9,11.31,16,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB},84.79,B
9 - 7,103,Caleb Williams,QB,Gabe's Grand Team,279.79,16.46,301.6,18.85,16,{252B710A-A1BF-4BDD-93A8-A65DA1410626},84.09,B
8 - 5,89,Stefon Diggs,WR,Skibidi Rizzlers,160.77,9.46,203.0,12.69,16,{88877912-82AE-408B-9AD4-17D54F48BACA},84.03,B
8 - 9,93,Michael Pittman Jr.,WR,67 Big Backs,201.11,11.83,199.3,12.46,16,{6056B364-2BEC-43D7-A948-C08055FA2C5F},83.98,B
5 - 7,55,Courtland Sutton,WR,Gabe's Grand Team,227.59,13.39,218.2,13.64,16,{252B710A-A1BF-4BDD-93A8-A65DA1410626},83.94,B
5 - 11,59,Jameson Williams,WR,For Me to Poop on,218.62,12.86,206.5,12.91,16,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368},83.84,B
5 - 5,53,D'Andre Swift,RB,Your Mom,226.78,13.34,222.8,14.85,15,{F1F84656-65C6-418D-85EB-A941DF949C09},83.27,B
3 - 8,32,Davante Adams,WR,Skibidi Rizzlers,257.07,15.12,222.9,15.92,14,{88877912-82AE-408B-9AD4-17D54F48BACA},83.09,B
5 - 2,50,Zay Flowers,WR,Breece Hall Sucks,232.52,13.68,213.5,13.34,16,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9},83.01,B
9 - 12,108,Cameron Dicker,K,Numb Nutz - CHAMP,143.93,8.47,164.0,10.25,16,{44E96D81-20A7-4A88-AA77-7AF689BE12D7},82.95,B-
8 - 4,88,Jaylen Warren,RB,Golden Receivers,250.22,14.72,202.2,13.48,15,{4656A2AD-A939-460B-96A2-ADA939760B8B},82.86,B-
12 - 11,143,Hunter Henry,TE,Breece Hall Sucks,148.14,8.71,168.2,10.51,16,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9},82.83,B-
7 - 4,76,Bo Nix,QB,67 Big Backs,301.89,17.76,294.3,18.39,16,{6056B364-2BEC-43D7-A948-C08055FA2C5F},82.81,B-
7 - 7,79,Emeka Egbuka,WR,Gabe's Grand Team,176.01,10.35,193.9,12.12,16,{252B710A-A1BF-4BDD-93A8-A65DA1410626},82.64,B-
2 - 5,17,Derrick Henry,RB,Skibidi Rizzlers,281.74,16.57,266.9,16.68,16,{88877912-82AE-408B-9AD4-17D54F48BACA},82.56,B-
2 - 11,23,Chase Brown,RB,Breece Hall Sucks,281.22,16.54,263.6,16.48,16,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9},82.45,B-
10 - 11,119,Keenan Allen,WR,Breece Hall Sucks,212.6,12.51,172.1,10.76,16,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9},82.36,B-
7 - 8,80,Justin Herbert,QB,Skibidi Rizzlers,284.48,16.73,286.88,17.93,16,{88877912-82AE-408B-9AD4-17D54F48BACA},82.1,B-
9 - 1,97,Deebo Samuel,WR,Tortured Cheerleaders Departmnt,203.14,11.95,184.1,12.27,15,{8F726947-16B6-4023-8839-58DD00CD6659},81.78,B-
6 - 4,64,Patrick Mahomes,QB,Golden Receivers,324.92,19.11,285.68,20.41,14,{4656A2AD-A939-460B-96A2-ADA939760B8B},81.77,B-
2 - 2,14,Nico Collins,WR,For Me to Poop on,289.12,17.01,226.2,15.08,15,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368},81.76,B-
5 - 1,49,Breece Hall,RB,Tortured Cheerleaders Departmnt,226.04,13.3,207.66,12.98,16,{8F726947-16B6-4023-8839-58DD00CD6659},81.27,B-
7 - 9,81,RJ Harvey,RB,Golden Receivers,207.26,12.19,202.3,12.64,16,{4656A2AD-A939-460B-96A2-ADA939760B8B},81.27,B-
3 - 1,25,Kyren Williams,RB,Tortured Cheerleaders Departmnt,284.05,16.71,252.2,15.76,16,{8F726947-16B6-4023-8839-58DD00CD6659},80.94,B-
4 - 12,48,Tetairoa McMillan,WR,Tortured Cheerleaders Departmnt,235.26,13.84,200.9,12.56,16,{8F726947-16B6-4023-8839-58DD00CD6659},80.87,B-
5 - 8,56,Jaylen Waddle,WR,Skibidi Rizzlers,226.53,13.33,194.12,12.13,16,{88877912-82AE-408B-9AD4-17D54F48BACA},80.75,B-
10 - 4,112,Zach Charbonnet,RB,Golden Receivers,137.02,8.06,162.7,10.85,15,{4656A2AD-A939-460B-96A2-ADA939760B8B},80.54,B-
11 - 5,125,Rashid Shaheed,WR,Your Mom,179.17,10.54,155.4,9.14,17,{F1F84656-65C6-418D-85EB-A941DF949C09},80.52,B-
5 - 6,54,DeVonta Smith,WR,Hormones For You,222.99,13.12,193.6,12.1,16,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB},80.19,B-
1 - 12,12,A.J. Brown,WR,Numb Nutz - CHAMP,275.63,16.21,220.3,14.69,15,{44E96D81-20A7-4A88-AA77-7AF689BE12D7},80.13,B-
9 - 11,107,Khalil Shakir,WR,For Me to Poop on,196.36,11.55,166.4,10.4,16,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368},79.6,C+
15 - 4,172,Chase McLaughlin,K,67 Big Backs,147.01,8.65,141.0,8.81,16,{6056B364-2BEC-43D7-A948-C08055FA2C5F},79.38,C+
16 - 2,182,Chris Boswell,K,For Me to Poop on,138.42,8.14,137.0,8.56,16,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368},79.03,C+
2 - 6,18,Josh Jacobs,RB,Gabe's Grand Team,282.87,16.64,237.1,15.81,15,{252B710A-A1BF-4BDD-93A8-A65DA1410626},78.86,C+
4 - 9,45,TreVeyon Henderson,RB,67 Big Backs,223.83,13.17,188.9,11.81,16,{6056B364-2BEC-43D7-A948-C08055FA2C5F},78.79,C+
15 - 11,179,Patriots D/ST,D/ST,For Me to Poop on,101.44,5.97,119.0,7.44,16,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368},78.7,C+
