Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Chris Boswell,K,Breece Hall Sucks,129.64,7.63,162.0,12.46,13,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9},90.57,A-
Vikings D/ST,D/ST,Breece Hall Sucks,90.25,5.31,127.0,9.77,13,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9},90.22,A-
Broncos D/ST,D/ST,Golden Receivers,62.93,3.7,127.0,9.77,13,{4656A2AD-A939-460B-96A2-ADA939760B8B},90.22,A-
Jauan Jennings,WR,Skibidi Rizzlers,73.15,4.88,175.5,14.62,12,{88877912-82AE-408B-9AD4-17D54F48BACA},89.27,B+
Baker Mayfield,QB,Breece Hall Sucks,245.41,16.36,259.26,19.94,13,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9},87.14,B+
Tyrone Tracy Jr.,RB,Breece Hall Sucks,82.86,5.92,143.0,11.0,13,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9},87.01,B+
Jonnu Smith,TE,Golden Receivers,83.38,5.56,160.1,12.32,13,{4656A2AD-A939-460B-96A2-ADA939760B8B},85.56,B
Texans D/ST,D/ST,Tortured Football Department,89.43,5.26,113.0,8.69,13,{8F726947-16B6-4023-8839-58DD00CD6659},85.2,B
Sam Darnold,QB,Golden Receivers,192.49,14.81,241.36,18.57,13,{4656A2AD-A939-460B-96A2-ADA939760B8B},84.34,B
Bo Nix,QB,Rizzly Bears,192.76,13.77,227.28,17.48,13,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},82.13,B-
Chargers D/ST,D/ST,SIGMAS,78.89,4.64,104.0,8.0,13,{6056B364-2BEC-43D7-A948-C08055FA2C5F},81.97,B-
Jordan Mason,RB,Your Mom,82.57,6.35,115.0,9.58,12,{F1F84656-65C6-418D-85EB-A941DF949C09},80.51,B-
Jake Bates,K,Skibidi Rizzlers,137.91,8.11,125.0,9.62,13,{88877912-82AE-408B-9AD4-17D54F48BACA},79.69,C+
Cade Otton,TE,Breece Hall Sucks,109.61,7.31,136.2,10.48,13,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9},79.2,C+
Geno Smith,QB,Rizzly Bears,227.03,16.22,205.56,15.81,13,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},78.73,C+
Tucker Kraft,TE,For Me to Poop on,89.94,6.0,133.5,10.27,13,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368},78.48,C+
