Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
2 - 10,20,Travis Kelce,TE,Team TitBit,219.65,14.64,260.26,17.35,15,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},100.0,A+
5 - 6,46,Darren Waller,TE,Pain Inflictors,152.5,10.17,225.1,14.07,16,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},99.18,A+
1 - 5,5,Alvin Kamara,RB,Bhambhwani Pawan Dilip,253.2,18.09,338.3,22.55,15,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},95.39,A
2 - 9,19,Davante Adams,WR,Team Amijaz,207.63,14.83,302.9,21.64,14,{E8084BA7-697B-4617-884B-A7697B7617C9},95.18,A
9 - 3,83,David Montgomery,RB,Team Vellapanti,156.65,12.05,239.3,15.95,15,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},94.15,A
1 - 8,8,Dalvin Cook,RB,Wakanda Forever,258.15,18.44,318.8,22.77,14,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},93.95,A
1 - 4,4,Derrick Henry,RB,Team BIGMADBLUE,242.19,17.3,326.6,20.41,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},93.74,A
16 - 7,157,Younghoe Koo,K,Team BIGMADBLUE,124.78,7.8,166.0,11.07,15,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},93.66,A
6 - 7,57,Stefon Diggs,WR,Team BIGMADBLUE,158.6,11.33,266.6,16.66,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},93.51,A
3 - 2,22,Tyreek Hill,WR,Team Amijaz,213.38,14.23,289.9,19.33,15,{E8084BA7-697B-4617-884B-A7697B7617C9},93.11,A
11 - 3,103,Steelers D/ST,D/ST,Team Vellapanti,136.54,8.53,153.0,9.56,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},90.53,A-
15 - 2,142,Colts D/ST,D/ST,Team Amijaz,129.47,8.09,147.0,9.19,16,{E8084BA7-697B-4617-884B-A7697B7617C9},90.43,A-
6 - 9,59,Jonathan Taylor,RB,Team Amijaz,170.62,12.19,236.8,15.79,15,{E8084BA7-697B-4617-884B-A7697B7617C9},89.92,B+
11 - 5,105,Josh Allen,QB,Bhambhwani Pawan Dilip,279.21,19.94,399.56,24.97,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},88.96,B+
11 - 7,107,Aaron Rodgers,QB,Multiple Scoregasm,271.7,18.11,396.76,24.8,16,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},88.82,B+
5 - 1,41,Calvin Ridley,WR,Team TitBit,181.06,12.07,236.5,15.77,15,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},87.64,B+
9 - 1,81,Kyler Murray,QB,Team TitBit,307.04,20.47,388.74,24.3,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},87.32,B+
5 - 4,44,DK Metcalf,WR,Team BIGMADBLUE,169.1,11.27,231.8,14.49,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},87.25,B+
16 - 4,154,Marvin Jones Jr.,WR,Multiple Scoregasm,165.37,11.02,190.3,11.89,16,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},86.03,B
15 - 5,145,Greg Zuerlein,K,Bhambhwani Pawan Dilip,123.77,7.74,146.0,9.12,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},85.63,B
16 - 1,151,J.K. Dobbins,RB,Fresh Prince  Of Hel-Aire,121.48,8.68,161.0,10.73,15,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},85.51,B
14 - 9,139,Ryan Tannehill,QB,Team Amijaz,245.14,16.34,354.36,22.15,16,{E8084BA7-697B-4617-884B-A7697B7617C9},85.25,B
5 - 7,47,A.J. Brown,WR,Multiple Scoregasm,181.22,12.08,216.0,15.43,14,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},85.23,B
7 - 2,62,Kareem Hunt,RB,Team Amijaz,147.74,10.55,199.5,12.47,16,{E8084BA7-697B-4617-884B-A7697B7617C9},85.07,B
2 - 5,15,Aaron Jones,RB,Pain Inflictors,218.59,15.61,238.4,17.03,14,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},84.91,B
10 - 3,93,Brandin Cooks,WR,Wakanda Forever,133.1,10.24,193.0,12.87,15,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},84.54,B
8 - 6,76,Antonio Gibson,RB,Bhambhwani Pawan Dilip,154.31,11.02,184.2,13.16,14,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},84.51,B
4 - 10,40,Tyler Lockett,WR,Team TitBit,181.41,12.09,216.4,13.53,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},84.44,B
6 - 10,60,Russell Wilson,QB,Team TitBit,301.12,20.07,368.78,23.05,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},84.22,B
4 - 2,32,Adam Thielen,WR,Muqaddar Ka Sikandar,192.06,12.8,217.0,14.47,15,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},84.08,B
12 - 3,113,Ravens D/ST,D/ST,Wakanda Forever,128.39,8.02,129.0,8.06,16,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},83.84,B
3 - 4,24,DeAndre Hopkins,WR,Team BIGMADBLUE,201.37,13.42,230.8,14.43,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},83.7,B
6 - 2,52,Deshaun Watson,QB,Muqaddar Ka Sikandar,327.49,21.83,380.32,23.77,16,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},83.25,B
4 - 1,31,Allen Robinson II,WR,Fresh Prince  Of Hel-Aire,181.39,12.09,211.9,13.24,16,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},83.21,B
7 - 9,69,Ronald Jones II,RB,Muqaddar Ka Sikandar,143.29,10.24,173.8,12.41,14,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},82.69,B-
17 - 1,161,Jason Myers,K,Team TitBit,120.66,7.54,138.0,8.62,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},82.69,B-
13 - 2,122,T.J. Hockenson,TE,Team Amijaz,115.4,7.69,141.8,8.86,16,{E8084BA7-697B-4617-884B-A7697B7617C9},82.55,B-
13 - 6,126,Saints D/ST,D/ST,Pain Inflictors,118.32,7.39,123.0,7.69,16,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},82.38,B-
7 - 3,63,Keenan Allen,WR,Team Vellapanti,171.88,11.46,195.1,13.94,14,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},82.35,B-
15 - 8,148,Buccaneers D/ST,D/ST,Wakanda Forever,110.98,6.94,115.0,7.19,16,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},82.18,B-
2 - 7,17,Patrick Mahomes,QB,Team BIGMADBLUE,350.59,23.37,384.4,25.63,15,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},82.18,B-
5 - 3,43,Robert Woods,WR,Team Vellapanti,181.47,12.1,201.6,12.6,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},82.13,B-
6 - 3,53,Melvin Gordon III,RB,Wakanda Forever,176.61,12.61,182.9,12.19,15,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},82.02,B-
8 - 4,74,Diontae Johnson,WR,Multiple Scoregasm,145.98,9.73,177.8,11.85,15,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},81.71,B-
