Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
James Robinson,RB,Pain Inflictors,95.42,6.82,225.9,16.14,14,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},95.03,A
Justin Jefferson,WR,Multiple Scoregasm,114.44,7.63,232.2,14.51,16,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},94.14,A
Rams D/ST,D/ST,Muqaddar Ka Sikandar,95.7,5.98,164.0,10.25,16,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},93.8,A
Jason Sanders,K,Team Vellapanti,110.86,6.93,169.0,10.56,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},90.65,A-
Robert Tonyan,TE,Team BIGMADBLUE,33.31,2.22,150.6,9.41,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},88.16,B+
Mike Davis,RB,Multiple Scoregasm,48.7,3.48,177.0,11.8,15,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},87.27,B+
Logan Thomas,TE,Team BIGMADBLUE,63.83,4.26,140.62,8.79,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},85.67,B
Nyheim Hines,RB,Fresh Prince  Of Hel-Aire,109.19,7.8,161.7,10.11,16,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},84.84,B
Washington D/ST,D/ST,Bhambhwani Pawan Dilip,66.51,4.16,135.0,8.44,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},84.16,B
Chase Claypool,WR,Bhambhwani Pawan Dilip,86.98,5.8,185.4,11.59,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},83.81,B
CeeDee Lamb,WR,Team BIGMADBLUE,124.19,8.28,182.7,11.42,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},83.21,B
J.D. McKissic,RB,Team Amijaz,57.71,4.12,151.4,9.46,16,{E8084BA7-697B-4617-884B-A7697B7617C9},83.2,B
Justin Herbert,QB,Muqaddar Ka Sikandar,163.92,14.9,345.84,23.06,15,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},82.85,B-
Daniel Carlson,K,Muqaddar Ka Sikandar,114.43,7.15,153.0,9.56,16,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},82.77,B-
Robby Anderson,WR,Team BIGMADBLUE,140.36,9.36,178.6,11.16,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},82.31,B-
Myles Gaskin,RB,Team TitBit,20.8,1.49,145.2,14.52,10,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},82.22,B-
Tyler Bass,K,Multiple Scoregasm,120.49,7.53,151.0,9.44,16,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},81.79,B-
Chase Edmonds,RB,Pain Inflictors,75.64,5.4,141.5,8.84,16,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},81.63,B-
Curtis Samuel,WR,Bhambhwani Pawan Dilip,127.89,8.53,173.6,11.57,15,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},81.2,B-
Jeff Wilson Jr.,RB,Team BIGMADBLUE,15.28,1.09,135.8,11.32,12,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},80.72,B-
Giovani Bernard,RB,Team Vellapanti,73.46,5.25,134.6,8.41,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},80.53,B-
Cole Beasley,WR,Bhambhwani Pawan Dilip,111.72,7.45,166.5,11.1,15,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},79.64,C+
Nelson Agholor,WR,Muqaddar Ka Sikandar,40.05,2.67,165.1,10.32,16,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},79.33,C+
Dalton Schultz,TE,Wakanda Forever,31.75,2.12,115.0,7.19,16,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},79.28,C+
Wayne Gallman,RB,Team Amijaz,21.02,1.5,126.1,8.41,15,{E8084BA7-697B-4617-884B-A7697B7617C9},79.18,C+
Rodrigo Blankenship,K,Team Amijaz,125.51,7.84,145.0,9.06,16,{E8084BA7-697B-4617-884B-A7697B7617C9},78.83,C+
Gus Edwards,RB,Muqaddar Ka Sikandar,50.14,3.58,123.7,7.73,16,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},78.8,C+
Tee Higgins,WR,Team Amijaz,72.58,4.84,161.1,10.07,16,{E8084BA7-697B-4617-884B-A7697B7617C9},78.44,C+
Corey Davis,WR,Fresh Prince  Of Hel-Aire,101.35,7.24,160.4,11.46,14,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},78.29,C+
Ryan Succop,K,Team TitBit,120.16,7.51,142.0,8.88,16,{CFED3745-01A7-4D35-B869-DD322FB8CCE1},77.36,C+
Brandon Aiyuk,WR,Team BIGMADBLUE,103.06,7.36,154.5,12.88,12,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},76.99,C
Dolphins D/ST,D/ST,Multiple Scoregasm,89.54,5.6,110.0,6.88,16,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},75.85,C
