Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
4 - 9,39,Jaxon Smith-Njigba,WR,Hunks of Hanet ,196.67,11.57,289.0,18.06,16,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE},94.77,A
2 - 5,15,Christian McCaffrey,RB,Ler of the Rings,282.63,16.63,356.9,22.31,16,{16EDDDAE-9081-4D42-ADDD-AE90817D4247},93.76,A
3 - 9,29,Trey McBride,TE,Natural rack,202.67,11.92,242.9,15.18,16,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},93.49,A
1 - 9,9,Puka Nacua,WR,Natural rack,246.01,14.47,289.5,19.3,15,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},91.95,A-
2 - 6,16,Jonathan Taylor,RB,Hall Pass,272.45,16.03,334.4,20.9,16,{9417088B-0880-4F8A-A127-759BF41D4603},91.42,A-
7 - 9,69,George Pickens,WR,Natural rack,185.27,10.9,244.0,15.25,16,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},90.82,A-
15 - 4,144,Seahawks D/ST,D/ST,Big Ballsy Bozos,121.19,7.13,173.0,10.81,16,{9B611343-247D-458B-88C3-50BB33789365},89.99,B+
9 - 9,89,Brandon Aubrey,K,Natural rack,142.15,8.36,180.6,11.29,16,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},89.73,B+
11 - 6,106,Travis Etienne Jr.,RB,Ler of the Rings,164.06,9.65,231.6,14.47,16,{16EDDDAE-9081-4D42-ADDD-AE90817D4247},89.0,B+
10 - 2,92,Javonte Williams,RB,Natural rack,196.87,11.58,225.3,14.08,16,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},87.75,B+
4 - 1,31,James Cook III,RB,Mhoney Hurts So Good,251.61,14.8,284.2,17.76,16,{5918A112-DDF9-4368-8414-A143EC58B846},87.61,B+
1 - 2,2,Bijan Robinson,RB,Hunks of Hanet ,308.13,18.13,325.5,20.34,16,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE},87.59,B+
9 - 7,87,Chris Olave,WR,Jockstrap jubilee ,168.18,9.89,218.0,13.62,16,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B},87.58,B+
4 - 6,36,Josh Allen,QB,Hall Pass,367.87,21.64,364.62,22.79,16,{9417088B-0880-4F8A-A127-759BF41D4603},87.35,B+
15 - 7,147,Cameron Dicker,K,Jockstrap jubilee ,143.93,8.47,164.0,10.25,16,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B},87.23,B+
12 - 2,112,Drake Maye,QB,Natural rack,285.26,16.78,335.72,20.98,16,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},86.93,B
14 - 2,132,Texans D/ST,D/ST,Natural rack,128.82,7.58,162.0,10.12,16,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},86.51,B
1 - 6,6,Jahmyr Gibbs,RB,Ler of the Rings,287.11,16.89,309.6,19.35,16,{16EDDDAE-9081-4D42-ADDD-AE90817D4247},86.13,B
1 - 7,7,Amon-Ra St. Brown,WR,Jockstrap jubilee ,232.27,13.66,246.1,15.38,16,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B},85.33,B
12 - 1,111,Dak Prescott,QB,Mhoney Hurts So Good,285.8,16.81,313.08,19.57,16,{5918A112-DDF9-4368-8414-A143EC58B846},84.2,B
1 - 10,10,De'Von Achane,RB,Mhoney Hurts So Good,270.33,15.9,289.3,18.08,16,{5918A112-DDF9-4368-8414-A143EC58B846},83.44,B
1 - 1,1,Ja'Marr Chase,WR,Chicken’s Cougars ,281.68,16.57,231.5,15.43,15,{E25AE41B-82C0-4A03-A531-4082EAFA9887},83.1,B
13 - 2,122,Caleb Williams,QB,Hunks of Hanet ,279.79,16.46,300.6,18.79,16,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE},82.7,B-
2 - 9,19,Derrick Henry,RB,Hunks of Hanet ,272.8,16.05,259.4,16.21,16,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE},81.82,B-
7 - 10,70,Bo Nix,QB,Mhoney Hurts So Good,301.89,17.76,294.3,18.39,16,{5918A112-DDF9-4368-8414-A143EC58B846},81.73,B-
