Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
1 - 11,11,Puka Nacua,WR,Philadelphia Bills Mafia,298.97,17.59,351.0,23.4,15,{A279F58E-795F-4115-B9F5-8E795F7115FC},100.0,A+
4 - 6,42,Jaxon Smith-Njigba,WR,Eli,241.11,14.18,345.5,21.59,16,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},100.0,A+
2 - 8,20,Trey McBride,TE,Prahlad's Ghost,259.41,15.26,302.4,18.9,16,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},100.0,A+
1 - 6,6,Christian McCaffrey,RB,Christian McCalf-Injury,318.69,18.75,404.9,25.31,16,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},98.8,A+
7 - 10,82,George Pickens,WR,Red Zone Risk Assessors,221.53,13.03,290.0,18.12,16,{6FB8D500-4E34-47B8-9028-B156BEC56621},97.3,A+
2 - 2,14,Jonathan Taylor,RB,Philadelphia Bills Mafia,289.22,17.01,358.4,22.4,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},94.03,A
7 - 11,83,Chris Olave,WR,Philadelphia Bills Mafia,209.99,12.35,268.0,16.75,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},93.94,A
14 - 2,158,Seahawks D/ST,D/ST,Philadelphia Bills Mafia,136.07,8.0,187.0,11.69,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},93.19,A
1 - 1,1,Bijan Robinson,RB,PAI Alcoholics Anonymous ,339.77,19.99,363.5,22.72,16,{0CE04EAF-1603-4259-869A-A567F9953F44},92.69,A-
1 - 8,8,Amon-Ra St. Brown,WR,19th St Halal Cart,290.88,17.11,299.1,18.69,16,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},92.15,A-
14 - 10,166,Wan'Dale Robinson,WR,1900 Sleepers,152.83,8.99,217.9,13.62,16,{FB64662C-A6C7-423B-B6EE-231900310D44},91.98,A-
9 - 9,105,Travis Etienne Jr.,RB,The Golden Receivers,188.25,11.07,249.1,15.57,16,{4656A2AD-A939-460B-96A2-ADA939760B8B},91.97,A-
1 - 5,5,Jahmyr Gibbs,RB,Prahlad's Ghost,317.55,18.68,348.6,21.79,16,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},91.35,A-
1 - 2,2,Ja'Marr Chase,WR,Daddy's Finally Home,340.41,20.02,290.0,19.33,15,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},90.76,A-
10 - 6,114,Texans D/ST,D/ST,Eli,144.11,8.48,178.0,11.12,16,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},90.34,A-
9 - 4,100,Javonte Williams,RB,Pho_King,217.4,12.79,242.8,15.18,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},90.28,A-
13 - 10,154,Matthew Stafford,QB,Red Zone Risk Assessors,275.28,16.19,325.72,20.36,16,{6FB8D500-4E34-47B8-9028-B156BEC56621},90.21,A-
1 - 12,12,De'Von Achane,RB,cman,307.74,18.1,322.8,20.18,16,{3038B793-C0D8-4773-82BA-30F522EA1C1A},89.25,B+
13 - 12,156,Kyle Pitts Sr.,TE,cman,143.11,8.42,199.0,12.44,16,{3038B793-C0D8-4773-82BA-30F522EA1C1A},88.92,B+
8 - 11,95,Drake Maye,QB,Daddy's Finally Home,285.93,16.82,336.22,21.01,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},88.05,B+
12 - 8,140,Brandon Aubrey,K,Prahlad's Ghost,139.5,8.21,183.6,11.47,16,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},87.66,B+
3 - 7,31,James Cook III,RB,Eli,270.17,15.89,302.7,18.92,16,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},87.62,B+
11 - 5,125,Dak Prescott,QB,Prahlad's Ghost,286.98,16.88,313.08,19.57,16,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},86.28,B
3 - 1,25,Josh Allen,QB,PAI Alcoholics Anonymous ,368.72,21.69,364.62,22.79,16,{0CE04EAF-1603-4259-869A-A567F9953F44},85.79,B
13 - 2,146,Jake Ferguson,TE,Daddy's Finally Home,150.43,8.85,186.6,11.66,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},85.66,B
6 - 3,63,Travis Kelce,TE,Red Zone Risk Assessors,181.15,10.66,189.0,11.81,16,{6FB8D500-4E34-47B8-9028-B156BEC56621},84.79,B
11 - 8,128,Dallas Goedert,TE,19th St Halal Cart,156.93,9.23,185.1,12.34,15,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},84.59,B
9 - 7,103,Stefon Diggs,WR,Eli,160.83,9.46,203.0,12.69,16,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},84.55,B
9 - 10,106,Michael Pittman Jr.,WR,Red Zone Risk Assessors,201.24,11.84,199.3,12.46,16,{6FB8D500-4E34-47B8-9028-B156BEC56621},84.1,B
10 - 10,118,Caleb Williams,QB,1900 Sleepers,280.57,16.5,301.6,18.85,16,{FB64662C-A6C7-423B-B6EE-231900310D44},84.09,B
5 - 5,53,Courtland Sutton,WR,Prahlad's Ghost,227.75,13.4,218.2,13.64,16,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},83.72,B
5 - 10,58,D'Andre Swift,RB,Red Zone Risk Assessors,226.98,13.35,222.8,14.85,15,{6FB8D500-4E34-47B8-9028-B156BEC56621},83.27,B
5 - 11,59,Zay Flowers,WR,Philadelphia Bills Mafia,232.71,13.69,213.5,13.34,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},83.22,B
2 - 12,24,Davante Adams,WR,PAI Alcoholics Anonymous ,257.3,15.14,222.9,15.92,14,{0CE04EAF-1603-4259-869A-A567F9953F44},83.09,B
