Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Rico Dowdle,RB,Daddy's Finally Home,83.98,4.94,215.3,13.46,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},95.69,A
Kenneth Gainwell,RB,PAI Alcoholics Anonymous ,193.32,11.37,199.9,12.49,16,{0CE04EAF-1603-4259-869A-A567F9953F44},92.56,A-
Trevor Lawrence,QB,Prahlad's Ghost,280.38,16.49,314.88,19.68,16,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},92.31,A-
Jason Myers,K,Philadelphia Bills Mafia,133.76,7.87,187.0,11.69,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},89.89,B+
Michael Wilson,WR,Daddy's Finally Home,115.84,6.81,199.7,12.48,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},89.55,B+
Harold Fannin Jr.,TE,The Golden Receivers,53.49,3.15,186.4,11.65,16,{4656A2AD-A939-460B-96A2-ADA939760B8B},87.6,B+
Jaguars D/ST,D/ST,Red Zone Risk Assessors,96.71,5.69,137.0,8.56,16,{6FB8D500-4E34-47B8-9028-B156BEC56621},85.04,B
Troy Franklin,WR,19th St Halal Cart,79.7,4.69,177.1,11.07,16,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},84.41,B
Juwan Johnson,TE,Philadelphia Bills Mafia,117.37,6.9,172.8,10.8,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},84.2,B
Ka'imi Fairbairn,K,The Golden Receivers,132.46,7.79,164.0,11.71,14,{4656A2AD-A939-460B-96A2-ADA939760B8B},83.97,B
Quentin Johnston,WR,Christian McCalf-Injury,164.01,9.65,171.2,12.23,14,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},83.07,B
Browns D/ST,D/ST,Pho_King,73.15,4.3,130.0,8.12,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},82.65,B-
Dalton Schultz,TE,1900 Sleepers,126.09,7.42,166.4,10.4,16,{FB64662C-A6C7-423B-B6EE-231900310D44},82.59,B-
Romeo Doubs,WR,PAI Alcoholics Anonymous ,126.55,7.44,165.4,10.34,16,{0CE04EAF-1603-4259-869A-A567F9953F44},81.76,B-
Rams D/ST,D/ST,PAI Alcoholics Anonymous ,99.92,5.88,127.0,7.94,16,{0CE04EAF-1603-4259-869A-A567F9953F44},81.63,B-
Woody Marks,RB,Christian McCalf-Injury,73.36,4.32,144.3,9.62,15,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},81.25,B-
