Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
4 - 5,35,Jaxon Smith-Njigba,WR,Steenage Mutant Ninja Turtles,240.91,14.17,345.5,21.59,16,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},100.0,A+
3 - 8,28,Trey McBride,TE,Matthew Dorchak,259.22,15.25,302.4,18.9,16,{A6404CB9-25F0-4B29-804C-B925F0CB2975},100.0,A+
1 - 8,8,Puka Nacua,WR,Matthew Dorchak,298.63,17.57,349.0,23.27,15,{A6404CB9-25F0-4B29-804C-B925F0CB2975},99.2,A+
1 - 7,7,Christian McCaffrey,RB,Leafy Water,318.41,18.73,404.9,25.31,16,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},97.55,A+
7 - 5,65,George Pickens,WR,Pickens Brown Hubbard @ Mahomes,221.36,13.02,290.0,18.12,16,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},96.02,A
9 - 9,89,Chris Olave,WR,Dr@ft King$,209.82,12.34,268.0,16.75,16,{3389AE65-1498-46A0-8119-84AC1B8D92A9},93.38,A
2 - 5,15,Jonathan Taylor,RB,Steenage Mutant Ninja Turtles,288.77,16.99,356.4,22.27,16,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},93.14,A
1 - 3,3,Bijan Robinson,RB,Kevin Nichols The Third,339.37,19.96,363.5,22.72,16,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},91.83,A-
1 - 9,9,Amon-Ra St. Brown,WR,Dr@ft King$,290.62,17.1,299.1,18.69,16,{3389AE65-1498-46A0-8119-84AC1B8D92A9},91.59,A-
12 - 1,111,Travis Etienne Jr.,RB,Matthew Golden's Goose,188.14,11.07,249.1,15.57,16,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},91.39,A-
11 - 9,109,Javonte Williams,RB,Dr@ft King$,217.23,12.78,242.8,15.18,16,{3389AE65-1498-46A0-8119-84AC1B8D92A9},90.25,A-
1 - 2,2,Ja'Marr Chase,WR,The Real Kevin Nichols,340.02,20.0,290.0,19.33,15,{DFBF45BA-746C-4337-BF45-BA746C73373F},90.2,A-
14 - 6,136,Seahawks D/ST,D/ST,Pickens Brown Hubbard @ Mahomes,121.19,7.13,173.0,10.81,16,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},89.99,B+
1 - 5,5,Jahmyr Gibbs,RB,Pickens Brown Hubbard @ Mahomes,317.28,18.66,346.6,21.66,16,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},89.83,B+
13 - 2,122,Wan'Dale Robinson,WR,The Real Kevin Nichols,152.78,8.99,217.9,13.62,16,{DFBF45BA-746C-4337-BF45-BA746C73373F},89.49,B+
4 - 4,34,James Cook III,RB,Leafy Water,269.9,15.88,300.7,18.79,16,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},88.61,B+
2 - 2,12,De'Von Achane,RB,Dr@ft King$,307.53,18.09,322.8,20.18,16,{3389AE65-1498-46A0-8119-84AC1B8D92A9},88.06,B+
13 - 1,121,Texans D/ST,D/ST,i just wasted $20,128.82,7.58,162.0,10.12,16,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},86.6,B
13 - 3,123,Brandon Aubrey,K,Kevin Nichols The Third,142.15,8.36,180.6,11.29,16,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},86.48,B
11 - 2,102,Kyle Pitts Sr.,TE,The Real Kevin Nichols,143.06,8.42,199.0,12.44,16,{DFBF45BA-746C-4337-BF45-BA746C73373F},86.38,B
15 - 6,146,Ka'imi Fairbairn,K,Steenage Mutant Ninja Turtles,135.89,7.99,164.0,11.71,14,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},84.59,B
3 - 1,21,Josh Allen,QB,i just wasted $20,367.87,21.64,364.62,22.79,16,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},84.5,B
14 - 8,138,Dak Prescott,QB,Kevin Nichols The Third,285.8,16.81,313.08,19.57,16,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},84.18,B
13 - 10,130,Jake Ferguson,TE,Matthew Golden's Goose,150.38,8.85,186.6,11.66,16,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},84.06,B
13 - 9,129,Dallas Goedert,TE,Dr@ft King$,156.88,9.23,185.1,12.34,15,{3389AE65-1498-46A0-8119-84AC1B8D92A9},83.56,B
8 - 1,71,Stefon Diggs,WR,Matthew Golden's Goose,160.77,9.46,203.0,12.69,16,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},83.47,B
13 - 7,127,Cameron Dicker,K,Leafy Water,143.93,8.47,164.0,10.25,16,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},83.31,B
6 - 5,55,Courtland Sutton,WR,Steenage Mutant Ninja Turtles,227.59,13.39,218.2,13.64,16,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},83.16,B
7 - 3,63,Jameson Williams,WR,Kevin Nichols The Third,218.62,12.86,206.5,12.91,16,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},82.94,B-
9 - 5,85,Michael Pittman Jr.,WR,Pickens Brown Hubbard @ Mahomes,201.11,11.83,199.3,12.46,16,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},82.9,B-
5 - 2,42,Davante Adams,WR,The Real Kevin Nichols,257.07,15.12,222.9,15.92,14,{DFBF45BA-746C-4337-BF45-BA746C73373F},82.86,B-
12 - 4,114,Caleb Williams,QB,Leafy Water,279.79,16.46,301.6,18.85,16,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},82.6,B-
9 - 10,90,Tyler Warren,TE,Matthew Golden's Goose,166.07,9.77,180.9,11.31,16,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},82.51,B-
7 - 4,64,Travis Kelce,TE,yay football woo,181.08,10.65,189.0,11.81,16,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},82.5,B-
9 - 6,86,Emeka Egbuka,WR,Steenage Mutant Ninja Turtles,176.01,10.35,193.9,12.12,16,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},82.08,B-
6 - 4,54,D'Andre Swift,RB,Leafy Water,226.78,13.34,222.8,14.85,15,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},82.02,B-
7 - 9,69,DeVonta Smith,WR,Dr@ft King$,222.99,13.12,193.6,12.1,16,{3389AE65-1498-46A0-8119-84AC1B8D92A9},81.63,B-
2 - 10,20,Derrick Henry,RB,i just wasted $20,281.74,16.57,266.9,16.68,16,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},81.55,B-
8 - 3,73,Bo Nix,QB,Matthew Dorchak,301.89,17.76,294.3,18.39,16,{A6404CB9-25F0-4B29-804C-B925F0CB2975},81.52,B-
5 - 1,41,Zay Flowers,WR,i just wasted $20,232.52,13.68,213.5,13.34,16,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},81.42,B-
10 - 10,100,Deebo Samuel,WR,i just wasted $20,203.14,11.95,184.1,12.27,15,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},81.24,B-
3 - 6,26,Chase Brown,RB,Steenage Mutant Ninja Turtles,281.22,16.54,263.6,16.48,16,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},81.19,B-
4 - 2,32,Jalen Hurts,QB,Dr@ft King$,365.49,21.5,299.06,18.69,16,{3389AE65-1498-46A0-8119-84AC1B8D92A9},80.86,B-
8 - 9,79,Justin Herbert,QB,The Real Kevin Nichols,284.48,16.73,286.88,17.93,16,{DFBF45BA-746C-4337-BF45-BA746C73373F},80.81,B-
6 - 8,58,Tetairoa McMillan,WR,Kevin Nichols The Third,235.26,13.84,200.9,12.56,16,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},80.74,B-
7 - 2,62,Jaylen Waddle,WR,The Real Kevin Nichols,226.53,13.33,194.12,12.13,16,{DFBF45BA-746C-4337-BF45-BA746C73373F},80.56,B-
5 - 5,45,Patrick Mahomes,QB,Pickens Brown Hubbard @ Mahomes,324.92,19.11,285.68,20.41,14,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},80.48,B-
