Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
5 - 7,63,Cooper Kupp,WR,Kenny The Tick Salcido,235.02,14.69,439.5,25.85,17,{45D714CF-B0D8-49FA-9714-CFB0D859FAB7},100.0,A+
4 - 12,54,Mark Andrews,TE, Johnny  Dramas ,201.03,12.56,301.1,17.71,17,{80A1B4AF-9D17-4408-BDA1-9667BD326651},100.0,A+
1 - 8,8,Jonathan Taylor,RB,Gato’s Mom Breezy,264.97,17.66,373.1,21.95,17,{7F18EDA9-DAE0-410A-9EC4-FE2F20716D07},99.27,A+
6 - 13,83,Deebo Samuel,WR,Titan Up,194.43,12.96,338.96,21.19,16,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A},97.54,A+
1 - 11,11,Austin Ekeler,RB,"Lights, Kamara, Action",263.95,18.85,343.8,21.49,16,{43035DAF-DDD6-4952-835D-AFDDD6195257},95.98,A
8 - 6,104,James Conner,RB,Dennis The Menace ,151.66,10.83,257.7,17.18,15,{72E06046-9EEC-4999-A060-469EEC399959},94.44,A
1 - 7,7,Davante Adams,WR,Kenny The Tick Salcido,322.92,21.53,344.3,21.52,16,{45D714CF-B0D8-49FA-9714-CFB0D859FAB7},93.0,A
1 - 9,9,Travis Kelce,TE,Dennis The Menace ,305.12,19.07,262.8,16.43,16,{72E06046-9EEC-4999-A060-469EEC399959},92.8,A-
6 - 2,72,Ja'Marr Chase,WR,Oversized Pumpkins,206.43,12.9,304.6,17.92,17,{83937314-A1CA-41FD-A242-C9B5B534B295},92.49,A-
2 - 10,24,Justin Jefferson,WR,Reagor Bombs,260.37,16.27,330.4,19.44,17,{17471759-D3C1-4206-8612-A156BCC23AA1},92.38,A-
6 - 10,80,Leonard Fournette,RB,Reagor Bombs,179.78,11.99,255.6,18.26,14,{17471759-D3C1-4206-8612-A156BCC23AA1},92.07,A-
5 - 5,61,Justin Herbert,QB,Reagor Bombs,308.99,19.31,380.76,22.4,17,{17471759-D3C1-4206-8612-A156BCC23AA1},91.32,A-
16 - 13,223,Daniel Carlson,K,Titan Up,126.45,7.44,171.0,10.06,17,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A},90.97,A-
2 - 14,28,Josh Allen,QB,Team Behel,377.5,23.59,402.58,23.68,17,{59EB215C-D5A2-4E2A-B66E-E96ABD1A9B82},90.95,A-
4 - 4,46,Tom Brady,QB,"Lights, Kamara, Action",319.57,21.3,374.74,22.04,17,{43035DAF-DDD6-4952-835D-AFDDD6195257},90.38,A-
14 - 12,194,Darrel Williams,RB, Johnny  Dramas ,77.6,5.17,196.0,11.53,17,{80A1B4AF-9D17-4408-BDA1-9667BD326651},90.17,A-
15 - 7,203,Amon-Ra St. Brown,WR,Kenny The Tick Salcido,132.33,8.27,227.3,14.21,16,{45D714CF-B0D8-49FA-9714-CFB0D859FAB7},90.08,A-
2 - 4,18,Najee Harris,RB,"Lights, Kamara, Action",255.66,17.04,300.7,17.69,17,{43035DAF-DDD6-4952-835D-AFDDD6195257},89.89,B+
2 - 6,20,Joe Mixon,RB,Dennis The Menace ,240.4,17.17,287.9,17.99,16,{72E06046-9EEC-4999-A060-469EEC399959},89.34,B+
11 - 4,144,Patriots D/ST,D/ST,Team Flaherty,104.96,6.17,148.0,8.71,17,{A319B00D-609E-486D-99B0-0D609EE86D5F},88.02,B+
10 - 14,140,Jaylen Waddle,WR,Team Behel,181.88,11.37,245.8,15.36,16,{59EB215C-D5A2-4E2A-B66E-E96ABD1A9B82},87.59,B+
12 - 7,161,Darnell Mooney,WR,Gato’s Mom Breezy,158.19,10.55,219.7,12.92,17,{7F18EDA9-DAE0-410A-9EC4-FE2F20716D07},87.45,B+
4 - 14,56,Diontae Johnson,WR,Team Behel,228.13,14.26,274.4,17.15,16,{59EB215C-D5A2-4E2A-B66E-E96ABD1A9B82},87.39,B+
