Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Sam LaPorta,TE,Bear Down,0.0,0.0,239.3,14.08,17,{CC0C30CA-933C-4702-B525-0B223914CD0B},100.0,A+
Ravens D/ST,D/ST,Shindo ,0.0,0.0,172.0,10.12,17,{16A413B2-9FE8-4937-A413-B29FE8093782},97.77,A+
Puka Nacua,WR,Kill Bills ,0.0,0.0,298.5,17.56,17,{1BA8396F-D6D7-448B-870B-539450FA06F7},95.45,A
Brandon Aubrey,K,Shindo ,131.9,7.76,180.0,10.59,17,{16A413B2-9FE8-4937-A413-B29FE8093782},92.25,A-
Jordan Love,QB,Jackson's Tiktok,0.0,0.0,319.06,18.77,17,{43035DAF-DDD6-4952-835D-AFDDD6195257},88.26,B+
Trey McBride,TE,Shindo ,70.57,4.7,181.5,10.68,17,{16A413B2-9FE8-4937-A413-B29FE8093782},85.91,B
Chiefs D/ST,D/ST,My Team Hurts,0.0,0.0,140.0,8.24,17,{17471759-D3C1-4206-8612-A156BCC23AA1},85.79,B
Brock Purdy,QB,Shindo ,0.0,0.0,295.6,18.48,16,{16A413B2-9FE8-4937-A413-B29FE8093782},85.42,B
Jake Ferguson,TE,Toby's Favorite Employee,0.0,0.0,177.1,10.42,17,{45D714CF-B0D8-49FA-9714-CFB0D859FAB7},84.8,B
Raiders D/ST,D/ST,Jackson's Tiktok,0.0,0.0,135.0,7.94,17,{43035DAF-DDD6-4952-835D-AFDDD6195257},83.92,B
C.J. Stroud,QB,My Team Hurts,0.0,0.0,276.02,18.4,15,{17471759-D3C1-4206-8612-A156BCC23AA1},83.06,B
Baker Mayfield,QB,Frisco Cougars,0.0,0.0,274.06,16.12,17,{AAD245A4-298A-4362-A70B-5F838E0D6F64},82.82,B-
Chuba Hubbard,RB,Kill Bills ,0.0,0.0,182.5,10.74,17,{1BA8396F-D6D7-448B-870B-539450FA06F7},82.03,B-
Sam Howell,QB,Shindo ,0.0,0.0,257.54,15.15,17,{16A413B2-9FE8-4937-A413-B29FE8093782},80.83,B-
Zack Moss,RB,Unicorns🦄 ,0.0,0.0,169.6,12.11,14,{D2DCF56C-66BC-40EE-BE19-26B47BBAC311},79.75,C+
Colts D/ST,D/ST,Red River Rising 💪,0.0,0.0,123.0,7.24,17,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5},79.42,C+
Jason Sanders,K,Bear Down,133.72,7.87,142.0,8.35,17,{CC0C30CA-933C-4702-B525-0B223914CD0B},79.31,C+
Matthew Stafford,QB, Johnny  Dramas ,0.0,0.0,243.1,16.21,15,{2EE23928-38D5-4A7D-B660-50DE7C47A645},79.08,C+
Brandon McManus,K,Dennis The Menace ,137.74,8.1,139.0,8.18,17,{72E06046-9EEC-4999-A060-469EEC399959},78.29,C+
Taysom Hill,TE,Shindo ,0.0,0.0,143.52,8.97,16,{16A413B2-9FE8-4937-A413-B29FE8093782},76.37,C
Vikings D/ST,D/ST,Dennis The Menace ,0.0,0.0,111.0,6.53,17,{72E06046-9EEC-4999-A060-469EEC399959},74.93,C
Bears D/ST,D/ST,Bear Down,0.0,0.0,110.0,6.47,17,{CC0C30CA-933C-4702-B525-0B223914CD0B},74.55,C
Jake Moody,K, Johnny  Dramas ,0.0,0.0,127.0,7.47,17,{2EE23928-38D5-4A7D-B660-50DE7C47A645},74.2,C
Buccaneers D/ST,D/ST,Unicorns🦄 ,0.0,0.0,108.0,6.35,17,{D2DCF56C-66BC-40EE-BE19-26B47BBAC311},73.81,C
Logan Thomas,TE, Johnny  Dramas ,96.89,6.92,126.8,7.93,16,{2EE23928-38D5-4A7D-B660-50DE7C47A645},72.17,C-
