Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
5 - 10,58,Jaxon Smith-Njigba,WR,Dookey Dukes,240.91,14.17,345.5,21.59,16,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},100.0,A+
3 - 5,29,Trey McBride,TE,Balls@ck Gafoor,259.22,15.25,302.4,18.9,16,{ED03B9B7-0400-49D3-9ED6-622F04F546F8},100.0,A+
2 - 7,19,Puka Nacua,WR,Ross' Sauces,298.63,17.57,349.0,23.27,15,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB},99.76,A+
2 - 3,15,Christian McCaffrey,RB,Dookey Dukes,318.41,18.73,404.9,25.31,16,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},98.8,A+
5 - 8,56,George Pickens,WR,Chill YNs,221.36,13.02,290.0,18.12,16,{61563278-5915-4089-8B19-0BFACDFA9B38},94.47,A
3 - 4,28,Jonathan Taylor,RB,BetterThanDeanAtSF6,288.77,16.99,356.4,22.27,16,{97D2EB78-E92D-4E1F-94B3-CE836B504199},94.4,A
9 - 6,102,Chris Olave,WR,Ross' Sauces,209.82,12.34,268.0,16.75,16,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB},93.94,A
1 - 6,6,Bijan Robinson,RB,Ross' Sauces,339.37,19.96,363.5,22.72,16,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB},92.69,A-
15 - 2,170,Seahawks D/ST,D/ST,Caleb's Calculated Team,121.19,7.13,173.0,10.81,16,{73111650-DB56-4FEE-A451-8B9B298D4624},92.67,A-
16 - 2,182,Wan'Dale Robinson,WR,TUFF,152.78,8.99,217.9,13.62,16,{B644AC1E-B15A-492F-90A8-E74A28ECCC48},92.3,A-
2 - 10,22,Amon-Ra St. Brown,WR,Chase Ball. Touchdown!,290.62,17.1,299.1,18.69,16,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A},92.15,A-
8 - 6,90,Drake Maye,QB,dFIBulators,285.26,16.78,336.22,21.01,16,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},91.47,A-
