Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
2 - 3,17,Ja'Marr Chase,WR,Team Rodriguez,237.02,16.93,339.5,19.97,17,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},97.85,A+
2 - 4,18,Lamar Jackson,QB,Taco Tuesday Everyday,303.83,20.26,430.38,25.32,17,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},96.0,A
6 - 3,73,Baker Mayfield,QB,Team Rodriguez,245.41,16.36,365.8,21.52,17,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},91.72,A-
2 - 5,19,Jahmyr Gibbs,RB,Toon Squad,213.22,15.23,336.9,19.82,17,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},91.22,A-
13 - 11,179,Bucky Irving,RB,Taco Tuesday Everyday,98.81,7.06,220.9,12.99,17,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},90.91,A-
8 - 11,109,Brock Bowers,TE,Dirty Tone and  The Boys,115.72,7.71,206.7,12.16,17,{54A194E0-EC0C-432D-A194-E0EC0C832DAC},90.73,A-
2 - 7,21,Derrick Henry,RB,It HURTS being an Eagles fan ,213.25,15.23,326.9,19.23,17,{BF8C828B-DE26-4592-8C82-8BDE2675929B},90.54,A-
1 - 12,12,Saquon Barkley,RB,Team Rodriguez,229.38,16.38,338.8,21.18,16,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},90.25,A-
8 - 9,107,Brian Thomas Jr.,WR,sports,140.93,9.4,240.5,14.15,17,{A8781626-DB52-4D55-B816-26DB528D55B6},89.77,B+
11 - 11,151,Brandon Aubrey,K,Taco Tuesday Everyday,142.08,8.36,185.0,10.88,17,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},89.52,B+
3 - 1,29,Joe Burrow,QB,the   jadey bunch,278.72,18.58,372.82,21.93,17,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},89.38,B+
7 - 7,91,George Kittle,TE,Peter Pan + the Lost Boys ,143.99,9.6,197.6,13.17,15,{D1128929-4E7D-4D10-9289-294E7DBD10E2},88.82,B+
13 - 8,176,Cameron Dicker,K,It HURTS being an Eagles fan ,138.3,8.14,176.0,10.35,17,{BF8C828B-DE26-4592-8C82-8BDE2675929B},88.39,B+
11 - 3,143,Chuba Hubbard,RB,Wu-Tangs Killabeez,121.25,8.66,220.1,14.67,15,{8BED9748-9839-4F55-AD97-4898394F5553},88.31,B+
3 - 11,39,Josh Jacobs,RB,Taco Tuesday Everyday,195.88,13.99,275.1,16.18,17,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},88.13,B+
4 - 4,46,Jayden Daniels,QB,Taco Tuesday Everyday,255.91,17.06,355.82,20.93,17,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},87.73,B+
9 - 5,117,Chase Brown,RB,Terrell Suggs to be you,146.27,10.45,228.0,14.25,16,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},87.7,B+
11 - 14,154,Jerry Jeudy,WR,The  Dream crusher,145.98,9.73,195.9,11.52,17,{600C56A6-5DB0-42B1-8C56-A65DB022B176},87.6,B+
6 - 12,82,Trey McBride,TE,Wu-Tangs Killabeez,140.95,9.4,194.3,12.14,16,{8BED9748-9839-4F55-AD97-4898394F5553},87.13,B+
10 - 5,131,Bo Nix,QB,Toon Squad,192.76,13.77,316.7,18.63,17,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},87.06,B+
7 - 8,92,Terry McLaurin,WR,It HURTS being an Eagles fan ,156.18,10.41,226.8,13.34,17,{BF8C828B-DE26-4592-8C82-8BDE2675929B},86.99,B
1 - 7,7,Bijan Robinson,RB,Peter Pan + the Lost Boys ,260.66,18.62,311.2,18.31,17,{D1128929-4E7D-4D10-9289-294E7DBD10E2},86.81,B
1 - 11,11,Justin Jefferson,WR,Taco Tuesday Everyday,229.12,15.27,265.98,15.65,17,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},86.4,B
13 - 7,175,Packers D/ST,D/ST,Peter Pan + the Lost Boys ,93.38,5.49,140.0,8.24,17,{D1128929-4E7D-4D10-9289-294E7DBD10E2},86.23,B
14 - 8,190,Sam Darnold,QB,Peter Pan + the Lost Boys ,192.49,14.81,307.96,18.12,17,{D1128929-4E7D-4D10-9289-294E7DBD10E2},85.99,B
12 - 3,157,Ka'imi Fairbairn,K,Team Rodriguez,140.45,8.26,166.0,9.76,17,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},85.32,B
1 - 5,5,Amon-Ra St. Brown,WR,Terrell Suggs to be you,229.2,15.28,258.68,15.22,17,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B},85.26,B
14 - 9,191,Jason Sanders,K,sports,132.08,7.77,162.0,9.53,17,{A8781626-DB52-4D55-B816-26DB528D55B6},84.94,B
