Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Patriots D/ST,D/ST,Crazy Kat,90.39,5.32,173.0,10.18,17,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},100.0,A+
Geno Smith,QB,the   jadey bunch,148.82,14.88,303.88,17.88,17,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},91.64,A-
Brett Maher,K,Peter Pan + the Lost Boys ,129.42,7.61,158.0,9.29,17,{D1128929-4E7D-4D10-9289-294E7DBD10E2},90.28,A-
Taysom Hill,TE,Maid of Honor,68.8,4.3,141.3,8.83,16,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},90.17,A-
Zay Jones,WR,Breece’s  Pieces,89.14,5.57,157.1,9.82,16,{AB606613-7901-4CE2-A066-1379013CE29D},90.05,A-
Jared Goff,QB,Need a New Name,236.35,14.77,283.82,16.7,17,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},89.63,B+
Jeff Wilson Jr.,RB,Breece’s  Pieces,45.26,3.02,147.5,9.22,16,{AB606613-7901-4CE2-A066-1379013CE29D},89.32,B+
Jason Myers,K,Breece’s  Pieces,124.21,7.31,156.0,9.18,17,{AB606613-7901-4CE2-A066-1379013CE29D},89.22,B+
Latavius Murray,RB,Team Rodriguez,0.0,0.0,140.7,10.82,13,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB},87.96,B+
Donovan Peoples-Jones,WR,Crazy Kat,87.74,5.48,136.6,8.04,17,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},85.73,B
Mack Hollins,WR,Peter Pan + the Lost Boys ,67.51,4.22,125.66,7.39,17,{D1128929-4E7D-4D10-9289-294E7DBD10E2},83.42,B
Jets D/ST,D/ST,Maid of Honor,70.84,4.17,122.0,7.18,17,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},83.03,B
Marcus Mariota,QB,Crazy Kat,141.19,15.69,196.56,15.12,13,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},80.9,B-
Chiefs D/ST,D/ST,Breece’s  Pieces,59.1,3.48,115.0,6.76,17,{AB606613-7901-4CE2-A066-1379013CE29D},80.55,B-
Robbie Gould,K,Saving Private Ryan,130.48,7.68,137.0,8.06,17,{A8781626-DB52-4D55-B816-26DB528D55B6},79.17,C+
Darius Slayton,WR,Breece’s  Pieces,13.17,0.88,105.4,6.59,16,{AB606613-7901-4CE2-A066-1379013CE29D},79.16,C+
Jaguars D/ST,D/ST,Maid of Honor,61.54,3.62,111.0,6.53,17,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA},79.13,C+
Kenyan Drake,RB,The Truth Hurts,12.14,0.81,95.6,7.97,12,{BF8C828B-DE26-4592-8C82-8BDE2675929B},78.92,C+
Jacoby Brissett,QB,Need a New Name,138.37,13.84,168.62,10.54,16,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804},78.11,C+
Devin Duvernay,WR,Lucky #13s,87.11,5.44,97.6,6.97,14,{1AE08E91-6882-4C36-A08E-9168821C36D0},77.51,C+
Ryan Tannehill,QB,the   jadey bunch,251.37,15.71,161.24,13.44,12,{BC7B9B1D-2B32-43B6-B744-17B9B386108B},77.37,C+
Tyler Conklin,TE,Free  Brady,68.04,4.25,102.5,6.03,17,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16},76.46,C
Chris Moore,WR,Breece’s  Pieces,59.16,3.7,91.1,5.69,16,{AB606613-7901-4CE2-A066-1379013CE29D},76.14,C
Browns D/ST,D/ST,Wu-Tangs Killabeez,107.29,6.31,102.0,6.0,17,{8BED9748-9839-4F55-AD97-4898394F5553},75.94,C
