Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Harold Fannin Jr.,TE,Faith's Fantastic Team,53.49,3.15,186.4,11.65,16,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE},94.95,A
Browns D/ST,D/ST,Sacks and the City,68.61,4.04,124.0,7.75,16,{FD379251-A8A4-42A5-8FA5-83D1DA913174},92.55,A-
Saints D/ST,D/ST,Nikki  ,62.14,3.66,115.0,7.19,16,{E358DE2E-F3F6-4E5C-BD8F-18CC4AD28D6C},89.43,B+
Parker Washington,WR,Face Down Sacks Up,44.44,2.61,165.0,11.0,15,{406D4692-3C67-4DBA-B1E3-5736014C31B1},86.06,B
Falcons D/ST,D/ST,Men in Tight(End)s,71.73,4.22,105.0,6.56,16,{337D12A9-D79A-4DBC-BD12-A9D79ACDBCEB},85.97,B
Jacoby Brissett,QB,Nothing Beats A Jets 2 Holiday,2.24,0.13,211.82,16.29,13,{9979E92C-9818-4436-9671-ABA329BBE6D9},84.61,B
AJ Barner,TE,Shae's Sunday Scaries ,81.84,4.81,143.9,8.99,16,{301FF24A-F501-4A68-A146-66AEDC81FB63},84.3,B
Kimani Vidal,RB,Flock Around and Find Out,0.0,0.0,115.9,9.66,12,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE},84.15,B
Tre Tucker,WR,Face Down Sacks Up,130.64,7.68,156.3,9.77,16,{406D4692-3C67-4DBA-B1E3-5736014C31B1},84.15,B
Oronde Gadsden,TE,Face Down Sacks Up,0.0,0.0,127.1,9.08,14,{406D4692-3C67-4DBA-B1E3-5736014C31B1},80.09,B-
Michael Carter,RB,It's Miller Time,0.0,0.0,92.1,7.67,12,{46993514-CB12-4CFA-9935-14CB122CFA5F},79.37,C+
Eddy Pineiro,K,Face Down Sacks Up,0.0,0.0,135.0,10.38,13,{406D4692-3C67-4DBA-B1E3-5736014C31B1},78.38,C+
Chimere Dike,WR,Face Down Sacks Up,37.72,2.22,120.4,7.53,16,{406D4692-3C67-4DBA-B1E3-5736014C31B1},76.27,C
Colby Parkinson,TE,Gridiron Grace,14.74,0.87,110.2,7.87,14,{2C5A506D-2152-485A-A901-E0C1F08F8915},75.85,C
Riley Patterson,K,Sacks and the City,29.85,7.46,124.0,7.75,16,{FD379251-A8A4-42A5-8FA5-83D1DA913174},75.51,C
Jeremy McNichols,RB,Shae's Sunday Scaries ,16.9,0.99,70.6,4.41,16,{301FF24A-F501-4A68-A146-66AEDC81FB63},75.05,C
Mack Hollins,WR,Say Cheese 🧀💚🧀,53.82,3.17,113.4,7.56,15,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5},74.74,C
Malik Washington,WR,Lamb of Goedert,55.99,3.29,104.9,6.56,16,{4DBC9875-C246-495B-9731-408DC5E2DFCE},72.87,C-
Marcus Mariota,QB,Men in Tight(End)s,2.69,0.16,125.5,11.41,11,{337D12A9-D79A-4DBC-BD12-A9D79ACDBCEB},72.39,C-
Keaton Mitchell,RB,Shae's Sunday Scaries ,27.47,1.62,55.2,4.6,12,{301FF24A-F501-4A68-A146-66AEDC81FB63},71.95,C-
Blake Grupe,K,Nikki  ,126.66,7.45,108.0,7.2,15,{E358DE2E-F3F6-4E5C-BD8F-18CC4AD28D6C},71.34,C-
Gunnar Helm,TE,Hurts so good,63.51,3.74,91.7,5.73,16,{2CC644B9-3D0A-49C1-A594-91F37AAB004C},71.21,C-
Ryan Fitzgerald,K,Becca’s Ballers,126.72,7.45,105.0,6.56,16,{2CC13964-3B93-4869-A746-1634AE79F650},70.55,C-
Jalen Nailor,WR,Breezy’s Bros,23.88,1.4,92.8,5.8,16,{C582F37F-EA8C-4A16-802F-468A6362CA16},70.22,C-
Matt Prater,K,Nikki  ,35.94,8.99,103.0,7.36,14,{E358DE2E-F3F6-4E5C-BD8F-18CC4AD28D6C},70.03,C-
Tez Johnson,WR,Faith's Fantastic Team,3.06,0.18,89.2,5.95,15,{06A97A56-FAD2-4E95-B9D4-B3702CA829AE},69.43,D+
Raiders D/ST,D/ST,Breezy’s Bros,58.3,3.43,55.0,3.44,16,{C582F37F-EA8C-4A16-802F-468A6362CA16},68.66,D+
Olamide Zaccheaus,WR,Nicole's Nifty Team,36.7,2.16,84.8,5.65,15,{17F30800-A7FB-486F-A8C5-04FBF8270D9B},68.46,D+
Kirk Cousins,QB,Flock Around and Find Out,2.41,0.14,94.34,10.48,9,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE},67.99,D+
Audric Estime,RB,Gridiron Grace,0.0,0.0,32.5,5.42,6,{2C5A506D-2152-485A-A901-E0C1F08F8915},67.39,D+
Ameer Abdullah,RB,Shae's Sunday Scaries ,0.0,0.0,31.4,2.62,12,{301FF24A-F501-4A68-A146-66AEDC81FB63},67.17,D+
Greg Dortch,WR,Shae's Sunday Scaries ,60.02,3.53,75.1,6.26,12,{301FF24A-F501-4A68-A146-66AEDC81FB63},66.33,D
Chris Brooks,RB,Nothing Beats A Jets 2 Holiday,25.22,1.48,26.6,1.66,16,{9979E92C-9818-4436-9671-ABA329BBE6D9},66.21,D
Shedeur Sanders,QB,Face Down Sacks Up,55.96,13.99,79.86,11.41,7,{406D4692-3C67-4DBA-B1E3-5736014C31B1},65.94,D
Michael Mayer,TE,Lamb of Goedert,73.01,4.29,66.1,5.51,12,{4DBC9875-C246-495B-9731-408DC5E2DFCE},64.79,D
Jaret Patterson,RB,Shae's Sunday Scaries ,0.0,0.0,19.0,3.8,5,{301FF24A-F501-4A68-A146-66AEDC81FB63},64.68,D
John Metchie III,WR,Lamb of Goedert,1.17,0.07,66.9,4.46,15,{4DBC9875-C246-495B-9731-408DC5E2DFCE},64.53,D
Jaylin Noel,WR,Gridiron Grace,37.47,2.2,66.1,4.13,16,{2C5A506D-2152-485A-A901-E0C1F08F8915},64.36,D
Davis Mills,QB,Shae's Sunday Scaries ,2.27,0.13,65.96,13.19,5,{301FF24A-F501-4A68-A146-66AEDC81FB63},63.97,D
Terrell Jennings,RB,Shae's Sunday Scaries ,0.0,0.0,15.2,2.17,7,{301FF24A-F501-4A68-A146-66AEDC81FB63},63.91,D
Zane Gonzalez,K,Breezy’s Bros,0.0,0.0,77.0,9.62,8,{C582F37F-EA8C-4A16-802F-468A6362CA16},63.24,D
Tyrod Taylor,QB,Breezy’s Bros,2.16,0.13,59.46,9.91,6,{C582F37F-EA8C-4A16-802F-468A6362CA16},63.05,D
Malik Willis,QB,Flock Around and Find Out,2.39,0.14,51.18,12.79,4,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE},61.88,D-
Ja'Tavion Sanders,TE,Hurts so good,102.41,6.02,54.0,4.15,13,{2CC644B9-3D0A-49C1-A594-91F37AAB004C},61.76,D-
Luke McCaffrey,WR,Sacks and the City,27.52,1.62,51.3,5.7,9,{FD379251-A8A4-42A5-8FA5-83D1DA913174},61.11,D-
Cowboys D/ST,D/ST,Hurts so good,60.15,3.54,33.0,2.06,16,{2CC644B9-3D0A-49C1-A594-91F37AAB004C},61.04,D-
Jaylin Lane,WR,Lamb of Goedert,21.68,1.28,49.2,3.28,15,{4DBC9875-C246-495B-9731-408DC5E2DFCE},60.65,D-
Luke Musgrave,TE,Becca’s Ballers,34.24,2.01,49.2,3.08,16,{2CC13964-3B93-4869-A746-1634AE79F650},60.56,D-
Harrison Mevis,K,Say Cheese 🧀💚🧀,0.0,0.0,66.0,8.25,8,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5},60.37,D-
Taysom Hill,TE,Say Cheese 🧀💚🧀,0.0,0.0,35.58,2.96,12,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5},57.14,F
Charlie Smyth,K,Flock Around and Find Out,0.0,0.0,52.0,10.4,5,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE},56.72,F
Isaiah Hodgins,WR,Say Cheese 🧀💚🧀,0.0,0.0,27.5,4.58,6,{A3DDC0EE-C12D-4E65-8469-41034B77D8F5},55.88,F
Dont'e Thornton Jr.,WR,Shae's Sunday Scaries ,70.38,4.14,23.5,1.68,14,{301FF24A-F501-4A68-A146-66AEDC81FB63},55.01,F
Josh Johnson,QB,Sacks and the City,0.0,0.0,0.0,0.0,0,{FD379251-A8A4-42A5-8FA5-83D1DA913174},54.63,F
