Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Rico Dowdle,RB,CeeDee'sNUTZ,83.98,4.94,215.3,13.46,16,{76625186-E5C0-4260-9AB2-240171B7C267},95.69,A
Kenneth Gainwell,RB,CeeDee'sNUTZ,193.32,11.37,199.9,12.49,16,{76625186-E5C0-4260-9AB2-240171B7C267},92.56,A-
Jason Myers,K,Njigba's in Paris,136.51,8.03,189.0,11.81,16,{71E3346E-E19C-4E2B-B201-2ED713E82FBA},88.09,B+
Harold Fannin Jr.,TE,Matt Gay Team,53.49,3.15,186.4,11.65,16,{5B5865A3-23DE-4072-86CD-6953574BC088},87.6,B+
Troy Franklin,WR,Sh1tting on Laporta potty ,79.7,4.69,177.1,11.07,16,{647A253D-3851-42DD-96BB-0155531AC0C3},84.41,B
Juwan Johnson,TE,Whole lotta gang sheed,117.37,6.9,172.8,10.8,16,{474CA494-4AD5-4520-A2B3-20C7F8715363},84.2,B
Quentin Johnston,WR,Njigba's in Paris,164.01,9.65,171.2,12.23,14,{71E3346E-E19C-4E2B-B201-2ED713E82FBA},83.07,B
Browns D/ST,D/ST,Amon Yo Ass Boy,68.61,4.04,124.0,7.75,16,{8F080C99-8FBE-4E90-880C-998FBE9E9061},82.65,B-
Jaguars D/ST,D/ST,Sutton Deez Nuts,87.31,5.14,124.0,7.75,16,{8FDD5AF7-2681-4166-9D5A-F72681316688},82.65,B-
Romeo Doubs,WR,Get Money Gang,126.55,7.44,165.4,10.34,16,{78CFA850-7ED9-4CF2-A523-9E8083CD4055},81.76,B-
Parker Washington,WR,Team Daisey,44.44,2.61,165.0,11.0,15,{67B022C6-A862-4E4E-B022-C6A8627E4E95},81.67,B-
Ka'imi Fairbairn,K,Sutton Deez Nuts,135.89,7.99,164.0,11.71,14,{8FDD5AF7-2681-4166-9D5A-F72681316688},81.66,B-
Woody Marks,RB,Matt Gay Team,73.36,4.32,144.3,9.62,15,{5B5865A3-23DE-4072-86CD-6953574BC088},81.25,B-
Kyle Monangai,RB,Sh1tting on Laporta potty ,51.56,3.03,140.8,8.8,16,{647A253D-3851-42DD-96BB-0155531AC0C3},80.54,B-
Kareem Hunt,RB,Get Money Gang,100.0,5.88,138.9,8.68,16,{78CFA850-7ED9-4CF2-A523-9E8083CD4055},80.15,B-
Saints D/ST,D/ST,Sh1tting on Laporta potty ,62.14,3.66,115.0,7.19,16,{647A253D-3851-42DD-96BB-0155531AC0C3},79.58,C+
Daniel Jones,QB,Najee Germany,213.21,16.4,226.44,17.42,13,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F},79.52,C+
Alec Pierce,WR,Team Daisey,70.94,4.17,154.1,11.01,14,{67B022C6-A862-4E4E-B022-C6A8627E4E95},79.19,C+
Jaxson Dart,QB,Sh1tting on Laporta potty ,132.35,14.71,221.18,17.01,13,{647A253D-3851-42DD-96BB-0155531AC0C3},78.76,C+
Chargers D/ST,D/ST,Najee Germany,72.66,4.27,110.0,6.88,16,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F},77.87,C+
Jacoby Brissett,QB,Get Money Gang,2.24,0.13,212.82,16.37,13,{78CFA850-7ED9-4CF2-A523-9E8083CD4055},77.55,C+
Aaron Rodgers,QB,Matt Gay Team,232.98,13.7,209.32,13.95,15,{5B5865A3-23DE-4072-86CD-6953574BC088},77.04,C+
Cam Little,K,Najee Germany,135.84,7.99,146.0,9.12,16,{4291ADF5-3463-4685-8B3A-BB2A74C31A3F},77.02,C+
AJ Barner,TE,Sutton Deez Nuts,81.85,4.81,143.9,8.99,16,{8FDD5AF7-2681-4166-9D5A-F72681316688},76.96,C
Falcons D/ST,D/ST,Whole lotta gang sheed,71.73,4.22,105.0,6.56,16,{474CA494-4AD5-4520-A2B3-20C7F8715363},76.17,C
Blake Corum,RB,CeeDee'sNUTZ,74.44,4.38,114.3,7.14,16,{76625186-E5C0-4260-9AB2-240171B7C267},75.15,C
Andy Borregales,K,Matt Gay Team,128.88,7.58,135.0,8.44,16,{5B5865A3-23DE-4072-86CD-6953574BC088},74.19,C
