Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
1 - 10,10,Ja'Marr Chase,WR,Trestleches,289.45,20.67,403.0,23.71,17,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},100.0,A+
12 - 10,120,Brock Bowers,TE,OAC PADS,144.0,9.6,262.7,15.45,17,{8EF83BEE-329B-4056-9953-F0E1B26AC099},100.0,A+
5 - 10,50,Trey McBride,TE,Trestleches,182.3,12.15,249.8,15.61,16,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},96.2,A
11 - 3,103,Brian Thomas Jr.,WR,Django Achane'd,171.63,11.44,284.0,16.71,17,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},94.09,A
5 - 3,43,Lamar Jackson,QB,Django Achane'd,303.83,20.26,430.38,25.32,17,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},94.04,A
2 - 7,17,Jahmyr Gibbs,RB,RAJUN CAJUN,238.5,17.04,362.9,21.35,17,{97ABA629-8E14-4D1F-95C6-919C4601753F},92.74,A-
2 - 3,13,Justin Jefferson,WR,Masoud's Magnificent Team,282.2,18.81,317.48,18.68,17,{4385A6FE-E567-4B2D-974F-41AE8016A5C7},91.43,A-
1 - 8,8,Amon-Ra St. Brown,WR,Masoud's Magnificent Team,283.98,18.93,316.18,18.6,17,{4385A6FE-E567-4B2D-974F-41AE8016A5C7},91.23,A-
11 - 7,107,Brandon Aubrey,K,Did I Set My Lineup?,142.08,8.36,187.0,11.0,17,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},91.19,A-
4 - 2,32,George Kittle,TE,Control Machete,175.43,11.7,236.6,15.77,15,{D60AD45E-EB1B-4E8E-BF07-8A41B8372244},90.63,A-
8 - 9,79,Terry McLaurin,WR,Team Date,193.47,12.9,267.8,15.75,17,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},90.38,A-
16 - 8,158,Cameron Dicker,K,Django Achane'd,138.3,8.14,176.0,10.35,17,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},90.29,A-
14 - 7,137,Jerry Jeudy,WR,RAJUN CAJUN,176.72,11.78,240.9,14.17,17,{97ABA629-8E14-4D1F-95C6-919C4601753F},90.03,A-
