League,Year,Week,Type,Player,Position,From Team,To Team,Owner ID,FAAB Bid,Source
0755 Fantasy Football,2024,2,ADD,Chargers D/ST,D/ST,(FA),I'm Batman,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},0,snapshot
0755 Fantasy Football,2024,2,ADD,Isaiah Likely,TE,(FA),Chicken Fried Chicken Meal,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},0,snapshot
0755 Fantasy Football,2024,2,ADD,Brandin Cooks,WR,(FA),Chicken Fried Chicken Meal,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},0,snapshot
0755 Fantasy Football,2024,2,TRADE,Rhamondre Stevenson,RB,3rd World Immigrant,Chicken Fried Chicken Meal,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},0,snapshot
0755 Fantasy Football,2024,2,ADD,Allen Lazard,WR,(FA),Olave Another,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},0,snapshot
0755 Fantasy Football,2024,2,ADD,Derek Carr,QB,(FA),Olave Another,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},0,snapshot
0755 Fantasy Football,2024,2,ADD,Baker Mayfield,QB,(FA),Dak Stinks,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},0,snapshot
0755 Fantasy Football,2024,2,TEAM->TEAM,Dallas Goedert,TE,Chicken Fried Chicken Meal,Dak Stinks,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},0,snapshot
0755 Fantasy Football,2024,2,TEAM->TEAM,Chuba Hubbard,RB,Division iPad,Dak Stinks,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},0,snapshot
0755 Fantasy Football,2024,2,ADD,Rashid Shaheed,WR,(FA),Metcalves of Steele,{5E530C03-3F19-48F0-A309-52B769E76347},0,snapshot
0755 Fantasy Football,2024,2,TRADE,Derrick Henry,RB,Chicken Fried Chicken Meal,3rd World Immigrant,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},0,snapshot
0755 Fantasy Football,2024,2,ADD,Alexander Mattison,RB,(FA),Division iPad,{A279F58E-795F-4115-B9F5-8E795F7115FC},0,snapshot
0755 Fantasy Football,2024,2,DROP,Aaron Rodgers,QB,Olave Another,(FA),{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},0,snapshot
0755 Fantasy Football,2024,2,DROP,Trey Benson,RB,Olave Another,(FA),{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},0,snapshot
0755 Fantasy Football,2024,2,DROP,Bengals D/ST,D/ST,I'm Batman,(FA),{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},0,snapshot
0755 Fantasy Football,2024,2,DROP,Mike Williams,WR,Chicken Fried Chicken Meal,(FA),{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},0,snapshot
0755 Fantasy Football,2024,2,DROP,Deshaun Watson,QB,Dak Stinks,(FA),{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},0,snapshot
0755 Fantasy Football,2024,2,DROP,Tyler Conklin,TE,Dak Stinks,(FA),{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},0,snapshot
0755 Fantasy Football,2024,2,DROP,Jerry Jeudy,WR,Metcalves of Steele,(FA),{5E530C03-3F19-48F0-A309-52B769E76347},0,snapshot
0755 Fantasy Football,2024,3,ADD,Colby Parkinson,TE,(FA),It's Britney's Bench,{30B3E10C-D363-4E74-8961-7D4829DE152A},0,snapshot
0755 Fantasy Football,2024,3,ADD,Hunter Henry,TE,(FA),Olave Another,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},0,snapshot
0755 Fantasy Football,2024,3,ADD,Carson Steele,RB,(FA),Metcalves of Steele,{5E530C03-3F19-48F0-A309-52B769E76347},0,snapshot
0755 Fantasy Football,2024,3,ADD,Demarcus Robinson,WR,(FA),Patrick's Stars,{99C913F4-1FF6-4361-93D2-117EA19F759C},0,snapshot
0755 Fantasy Football,2024,3,ADD,Mike Gesicki,TE,(FA),Patrick's Stars,{99C913F4-1FF6-4361-93D2-117EA19F759C},0,snapshot
0755 Fantasy Football,2024,3,ADD,Jauan Jennings,WR,(FA),Patrick's Stars,{99C913F4-1FF6-4361-93D2-117EA19F759C},0,snapshot
0755 Fantasy Football,2024,3,ADD,Quentin Johnston,WR,(FA),3rd World Immigrant,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},0,snapshot
0755 Fantasy Football,2024,3,ADD,Buccaneers D/ST,D/ST,(FA),3rd World Immigrant,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},0,snapshot
0755 Fantasy Football,2024,3,DROP,Joshua Palmer,WR,It's Britney's Bench,(FA),{30B3E10C-D363-4E74-8961-7D4829DE152A},0,snapshot
0755 Fantasy Football,2024,3,DROP,Rome Odunze,WR,Patrick's Stars,(FA),{99C913F4-1FF6-4361-93D2-117EA19F759C},0,snapshot
0755 Fantasy Football,2024,3,DROP,Jakobi Meyers,WR,Patrick's Stars,(FA),{99C913F4-1FF6-4361-93D2-117EA19F759C},0,snapshot
0755 Fantasy Football,2024,3,DROP,Kirk Cousins,QB,Patrick's Stars,(FA),{99C913F4-1FF6-4361-93D2-117EA19F759C},0,snapshot
0755 Fantasy Football,2024,3,DROP,DeAndre Hopkins,WR,3rd World Immigrant,(FA),{4C1C5213-4BB5-4243-87AC-0BCB2D637264},0,snapshot
0755 Fantasy Football,2024,3,DROP,Caleb Williams,QB,3rd World Immigrant,(FA),{4C1C5213-4BB5-4243-87AC-0BCB2D637264},0,snapshot
0755 Fantasy Football,2024,4,ADD,Braelon Allen,RB,(FA),I'm Batman,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},0,snapshot
0755 Fantasy Football,2024,4,ADD,Aaron Rodgers,QB,(FA),I'm Batman,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},0,snapshot
0755 Fantasy Football,2024,4,ADD,Bills D/ST,D/ST,(FA),Dak Stinks,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},0,snapshot
0755 Fantasy Football,2024,4,ADD,Zach Ertz,TE,(FA),3rd World Immigrant,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},0,snapshot
0755 Fantasy Football,2024,4,ADD,DeAndre Hopkins,WR,(FA),Chicken Fried Chicken Meal,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},0,snapshot
0755 Fantasy Football,2024,4,ADD,Cam Akers,RB,(FA),Chicken Fried Chicken Meal,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},0,snapshot
0755 Fantasy Football,2024,4,ADD,Cole Kmet,TE,(FA),Division iPad,{A279F58E-795F-4115-B9F5-8E795F7115FC},0,snapshot
0755 Fantasy Football,2024,4,ADD,Cordarrelle Patterson,RB,(FA),All my homies hate Dallas,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},0,snapshot
0755 Fantasy Football,2024,4,DROP,Blake Corum,RB,I'm Batman,(FA),{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},0,snapshot
0755 Fantasy Football,2024,4,DROP,Chargers D/ST,D/ST,I'm Batman,(FA),{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},0,snapshot
0755 Fantasy Football,2024,4,DROP,Gus Edwards,RB,Chicken Fried Chicken Meal,(FA),{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},0,snapshot
0755 Fantasy Football,2024,4,DROP,Ezekiel Elliott,RB,Dak Stinks,(FA),{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},0,snapshot
0755 Fantasy Football,2024,4,DROP,Buccaneers D/ST,D/ST,3rd World Immigrant,(FA),{4C1C5213-4BB5-4243-87AC-0BCB2D637264},0,snapshot
0755 Fantasy Football,2024,4,DROP,Dalton Schultz,TE,Division iPad,(FA),{A279F58E-795F-4115-B9F5-8E795F7115FC},0,snapshot
0755 Fantasy Football,2024,5,ADD,Kareem Hunt,RB,(FA),Metcalves of Steele,{5E530C03-3F19-48F0-A309-52B769E76347},0,snapshot
0755 Fantasy Football,2024,5,ADD,Trey Sermon,RB,(FA),Metcalves of Steele,{5E530C03-3F19-48F0-A309-52B769E76347},0,snapshot
0755 Fantasy Football,2024,5,ADD,Sam Darnold,QB,(FA),I'm Batman,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},0,snapshot
0755 Fantasy Football,2024,5,ADD,Packers D/ST,D/ST,(FA),I'm Batman,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},0,snapshot
0755 Fantasy Football,2024,5,ADD,Wan'Dale Robinson,WR,(FA),Dak Stinks,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},0,snapshot
0755 Fantasy Football,2024,5,ADD,Seahawks D/ST,D/ST,(FA),Dak Stinks,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},0,snapshot
0755 Fantasy Football,2024,5,ADD,Broncos D/ST,D/ST,(FA),3rd World Immigrant,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},0,snapshot
0755 Fantasy Football,2024,5,ADD,Geno Smith,QB,(FA),3rd World Immigrant,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},0,snapshot
0755 Fantasy Football,2024,5,ADD,Austin Seibert,K,(FA),3rd World Immigrant,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},0,snapshot
0755 Fantasy Football,2024,5,ADD,Bears D/ST,D/ST,(FA),Chicken Fried Chicken Meal,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},0,snapshot
0755 Fantasy Football,2024,5,ADD,Tucker Kraft,TE,(FA),Chicken Fried Chicken Meal,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},0,snapshot
0755 Fantasy Football,2024,5,ADD,Jerry Jeudy,WR,(FA),Chicken Fried Chicken Meal,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},0,snapshot
0755 Fantasy Football,2024,5,ADD,Justin Fields,QB,(FA),All my homies hate Dallas,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},0,snapshot
0755 Fantasy Football,2024,5,ADD,Chase McLaughlin,K,(FA),All my homies hate Dallas,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},0,snapshot
0755 Fantasy Football,2024,5,ADD,Vikings D/ST,D/ST,(FA),Olave Another,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},0,snapshot
0755 Fantasy Football,2024,5,TEAM->TEAM,Zach Ertz,TE,3rd World Immigrant,Olave Another,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},0,snapshot
0755 Fantasy Football,2024,5,ADD,Josh Downs,WR,(FA),Patrick's Stars,{99C913F4-1FF6-4361-93D2-117EA19F759C},0,snapshot
0755 Fantasy Football,2024,5,ADD,Chris Boswell,K,(FA),Patrick's Stars,{99C913F4-1FF6-4361-93D2-117EA19F759C},0,snapshot
0755 Fantasy Football,2024,5,DROP,Dolphins D/ST,D/ST,I'm Batman,(FA),{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},0,snapshot
0755 Fantasy Football,2024,5,DROP,Aaron Rodgers,QB,I'm Batman,(FA),{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},0,snapshot
0755 Fantasy Football,2024,5,DROP,Ravens D/ST,D/ST,Dak Stinks,(FA),{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},0,snapshot
0755 Fantasy Football,2024,5,DROP,Bills D/ST,D/ST,Dak Stinks,(FA),{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},0,snapshot
0755 Fantasy Football,2024,5,DROP,Tyjae Spears,RB,Metcalves of Steele,(FA),{5E530C03-3F19-48F0-A309-52B769E76347},0,snapshot
0755 Fantasy Football,2024,5,DROP,Carson Steele,RB,Metcalves of Steele,(FA),{5E530C03-3F19-48F0-A309-52B769E76347},0,snapshot
0755 Fantasy Football,2024,5,DROP,Jake Bates,K,3rd World Immigrant,(FA),{4C1C5213-4BB5-4243-87AC-0BCB2D637264},0,snapshot
0755 Fantasy Football,2024,5,DROP,Quentin Johnston,WR,3rd World Immigrant,(FA),{4C1C5213-4BB5-4243-87AC-0BCB2D637264},0,snapshot
0755 Fantasy Football,2024,5,DROP,Mark Andrews,TE,Chicken Fried Chicken Meal,(FA),{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},0,snapshot
0755 Fantasy Football,2024,5,DROP,Lions D/ST,D/ST,Chicken Fried Chicken Meal,(FA),{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},0,snapshot
0755 Fantasy Football,2024,5,DROP,Brandin Cooks,WR,Chicken Fried Chicken Meal,(FA),{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},0,snapshot
0755 Fantasy Football,2024,5,DROP,Browns D/ST,D/ST,Olave Another,(FA),{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},0,snapshot
0755 Fantasy Football,2024,5,DROP,Hunter Henry,TE,Olave Another,(FA),{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},0,snapshot
0755 Fantasy Football,2024,5,DROP,Cameron Dicker,K,All my homies hate Dallas,(FA),{CA88790D-FA73-4DE0-B975-466F5EE06CAA},0,snapshot
0755 Fantasy Football,2024,5,DROP,Cordarrelle Patterson,RB,All my homies hate Dallas,(FA),{CA88790D-FA73-4DE0-B975-466F5EE06CAA},0,snapshot
0755 Fantasy Football,2024,5,DROP,Demarcus Robinson,WR,Patrick's Stars,(FA),{99C913F4-1FF6-4361-93D2-117EA19F759C},0,snapshot
0755 Fantasy Football,2024,5,DROP,Mike Gesicki,TE,Patrick's Stars,(FA),{99C913F4-1FF6-4361-93D2-117EA19F759C},0,snapshot
0755 Fantasy Football,2024,6,ADD,Ray-Ray McCloud III,WR,(FA),I'm Batman,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},0,snapshot
0755 Fantasy Football,2024,6,ADD,Tre Tucker,WR,(FA),I'm Batman,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},0,snapshot
0755 Fantasy Football,2024,6,ADD,Bills D/ST,D/ST,(FA),Division iPad,{A279F58E-795F-4115-B9F5-8E795F7115FC},0,snapshot
0755 Fantasy Football,2024,6,ADD,Tyjae Spears,RB,(FA),Metcalves of Steele,{5E530C03-3F19-48F0-A309-52B769E76347},0,snapshot
0755 Fantasy Football,2024,6,ADD,Tyrone Tracy Jr.,RB,(FA),All my homies hate Dallas,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},0,snapshot
0755 Fantasy Football,2024,6,ADD,Jalen Tolbert,WR,(FA),Patrick's Stars,{99C913F4-1FF6-4361-93D2-117EA19F759C},0,snapshot
0755 Fantasy Football,2024,6,ADD,Kirk Cousins,QB,(FA),Patrick's Stars,{99C913F4-1FF6-4361-93D2-117EA19F759C},0,snapshot
0755 Fantasy Football,2024,6,ADD,Texans D/ST,D/ST,(FA),Olave Another,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},0,snapshot
0755 Fantasy Football,2024,6,ADD,Younghoe Koo,K,(FA),Chicken Fried Chicken Meal,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},0,snapshot
0755 Fantasy Football,2024,6,DROP,Trey Sermon,RB,Metcalves of Steele,(FA),{5E530C03-3F19-48F0-A309-52B769E76347},0,snapshot
0755 Fantasy Football,2024,6,DROP,Jaylen Warren,RB,I'm Batman,(FA),{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},0,snapshot
0755 Fantasy Football,2024,6,DROP,Sam Darnold,QB,I'm Batman,(FA),{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},0,snapshot
