League,Year,Week,Type,Player,Position,From Team,To Team,Owner ID,FAAB Bid,Source
BP- Loudoun 2025,2025,2,ADD,49ers D/ST,D/ST,(FA),Trash Panda Express,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},0,snapshot
BP- Loudoun 2025,2025,2,ADD,Kayshon Boutte,WR,(FA),Trash Panda Express,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},0,snapshot
BP- Loudoun 2025,2025,2,ADD,Quentin Johnston,WR,(FA),Sporty Jess,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4},0,snapshot
BP- Loudoun 2025,2025,2,TEAM->TEAM,Ravens D/ST,D/ST,Fear the Turtle,Sporty Jess,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4},0,snapshot
BP- Loudoun 2025,2025,2,ADD,Rams D/ST,D/ST,(FA),Fear the Turtle,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725},0,snapshot
BP- Loudoun 2025,2025,2,ADD,JuJu Smith-Schuster,WR,(FA),Team Schottler,{E7CC7F46-F717-486C-97F3-AA57BBB5769A},0,snapshot
BP- Loudoun 2025,2025,2,ADD,Daniel Jones,QB,(FA),Team Schottler,{E7CC7F46-F717-486C-97F3-AA57BBB5769A},0,snapshot
BP- Loudoun 2025,2025,2,ADD,Zach Ertz,TE,(FA),At Risk of CTE,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64},0,snapshot
BP- Loudoun 2025,2025,2,DROP,Luther Burden III,WR,Trash Panda Express,(FA),{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},0,snapshot
BP- Loudoun 2025,2025,2,DROP,Chiefs D/ST,D/ST,Trash Panda Express,(FA),{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},0,snapshot
BP- Loudoun 2025,2025,2,DROP,Tank Bigsby,RB,Sporty Jess,(FA),{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4},0,snapshot
BP- Loudoun 2025,2025,2,DROP,Commanders D/ST,D/ST,Sporty Jess,(FA),{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4},0,snapshot
BP- Loudoun 2025,2025,2,DROP,Xavier Worthy,WR,Team Schottler,(FA),{E7CC7F46-F717-486C-97F3-AA57BBB5769A},0,snapshot
BP- Loudoun 2025,2025,2,DROP,Tre' Harris,WR,Team Schottler,(FA),{E7CC7F46-F717-486C-97F3-AA57BBB5769A},0,snapshot
BP- Loudoun 2025,2025,3,ADD,Xavier Worthy,WR,(FA),Foxes Hopefuls,{39E08083-F55A-4B88-BF41-49FD650A38A3},0,snapshot
BP- Loudoun 2025,2025,3,ADD,Falcons D/ST,D/ST,(FA),Foxes Hopefuls,{39E08083-F55A-4B88-BF41-49FD650A38A3},0,snapshot
BP- Loudoun 2025,2025,3,TEAM->TEAM,Will Shipley,RB,Yangblood Bravesheart,Foxes Hopefuls,{39E08083-F55A-4B88-BF41-49FD650A38A3},0,snapshot
BP- Loudoun 2025,2025,3,ADD,Juwan Johnson,TE,(FA),"Bad, Bad, A.J. Brown",{10FCCFDD-378B-48B3-9235-1B7FE979B565},0,snapshot
BP- Loudoun 2025,2025,3,ADD,Harold Fannin Jr.,TE,(FA),Trash Panda Express,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},0,snapshot
BP- Loudoun 2025,2025,3,ADD,Packers D/ST,D/ST,(FA),Trash Panda Express,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},0,snapshot
BP- Loudoun 2025,2025,3,ADD,Jake Tonges,TE,(FA),Yangblood Bravesheart,{E2B51AC9-D133-4155-B51A-C9D133E155BA},0,snapshot
BP- Loudoun 2025,2025,3,TEAM->TEAM,Kayshon Boutte,WR,Trash Panda Express,At Risk of CTE,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64},0,snapshot
BP- Loudoun 2025,2025,3,DROP,Dylan Sampson,RB,Foxes Hopefuls,(FA),{39E08083-F55A-4B88-BF41-49FD650A38A3},0,snapshot
BP- Loudoun 2025,2025,3,DROP,Cardinals D/ST,D/ST,Foxes Hopefuls,(FA),{39E08083-F55A-4B88-BF41-49FD650A38A3},0,snapshot
BP- Loudoun 2025,2025,3,DROP,Miles Sanders,RB,Foxes Hopefuls,(FA),{39E08083-F55A-4B88-BF41-49FD650A38A3},0,snapshot
BP- Loudoun 2025,2025,3,DROP,Chris Godwin Jr.,WR,"Bad, Bad, A.J. Brown",(FA),{10FCCFDD-378B-48B3-9235-1B7FE979B565},0,snapshot
BP- Loudoun 2025,2025,3,DROP,49ers D/ST,D/ST,Trash Panda Express,(FA),{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},0,snapshot
BP- Loudoun 2025,2025,3,DROP,Joshua Palmer,WR,At Risk of CTE,(FA),{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64},0,snapshot
BP- Loudoun 2025,2025,4,ADD,Tre Tucker,WR,(FA),Sporty Jess,{67B61FF5-4A13-4CFA-B61F-F54A13BCFAC4},0,snapshot
BP- Loudoun 2025,2025,4,ADD,Patriots D/ST,D/ST,(FA),Foxes Hopefuls,{39E08083-F55A-4B88-BF41-49FD650A38A3},0,snapshot
BP- Loudoun 2025,2025,4,ADD,Jeremy McNichols,RB,(FA),Team Schottler,{E7CC7F46-F717-486C-97F3-AA57BBB5769A},0,snapshot
BP- Loudoun 2025,2025,4,ADD,Tyquan Thornton,WR,(FA),Team Schottler,{E7CC7F46-F717-486C-97F3-AA57BBB5769A},0,snapshot
BP- Loudoun 2025,2025,4,ADD,Woody Marks,RB,(FA),At Risk of CTE,{F8FBCEF4-616F-45CD-BBCE-F4616FE5CD64},0,snapshot
BP- Loudoun 2025,2025,4,ADD,Chris Godwin Jr.,WR,(FA),Trash Panda Express,{1EBC8DBD-EC4C-4072-8BBC-6D539BE4D6FD},0,snapshot
BP- Loudoun 2025,2025,4,ADD,Kenneth Gainwell,RB,(FA),Fear the Turtle,{2D0A9ED9-7CEF-491E-A06F-8EA650E59725},0,snapshot
