League,Year,Week,Type,Player,Position,From Team,To Team,Owner ID,FAAB Bid,Source
EBC League,2025,2,ADD,Dylan Sampson,RB,(FA),Werewolves of London,{4656A2AD-A939-460B-96A2-ADA939760B8B},0,snapshot
EBC League,2025,2,ADD,Keenan Allen,WR,(FA),Inter Miami CF,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},0,snapshot
EBC League,2025,2,ADD,Harold Fannin Jr.,TE,(FA),Inter Miami CF,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},0,snapshot
EBC League,2025,2,DROP,Tank Bigsby,RB,Werewolves of London,(FA),{4656A2AD-A939-460B-96A2-ADA939760B8B},0,snapshot
EBC League,2025,2,DROP,Bhayshul Tuten,RB,Inter Miami CF,(FA),{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},0,snapshot
EBC League,2025,3,TEAM->TEAM,Zach Charbonnet,RB,THE POOL ,Werewolves of London,{4656A2AD-A939-460B-96A2-ADA939760B8B},0,snapshot
EBC League,2025,3,ADD,Hollywood Brown,WR,(FA),Werewolves of London,{4656A2AD-A939-460B-96A2-ADA939760B8B},0,snapshot
EBC League,2025,3,ADD,Daniel Jones,QB,(FA),Inter Miami CF,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},0,snapshot
EBC League,2025,3,ADD,Tucker Kraft,TE,(FA),THE POOL ,{E7893FEC-BC37-48CB-9509-34C663E71ADC},0,snapshot
EBC League,2025,3,ADD,Juwan Johnson,TE,(FA),THE POOL ,{E7893FEC-BC37-48CB-9509-34C663E71ADC},0,snapshot
EBC League,2025,3,ADD,Packers D/ST,D/ST,(FA),Jimoke Jukes,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},0,snapshot
EBC League,2025,3,ADD,Cam Little,K,(FA),Abyss Diamond Eyes,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},0,snapshot
EBC League,2025,3,ADD,Quentin Johnston,WR,(FA),Abyss Diamond Eyes,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},0,snapshot
EBC League,2025,3,DROP,Colston Loveland,TE,THE POOL ,(FA),{E7893FEC-BC37-48CB-9509-34C663E71ADC},0,snapshot
EBC League,2025,3,DROP,Kaleb Johnson,RB,Werewolves of London,(FA),{4656A2AD-A939-460B-96A2-ADA939760B8B},0,snapshot
EBC League,2025,3,DROP,Brock Purdy,QB,Inter Miami CF,(FA),{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},0,snapshot
EBC League,2025,3,DROP,Ravens D/ST,D/ST,Jimoke Jukes,(FA),{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},0,snapshot
EBC League,2025,3,DROP,Chase McLaughlin,K,Abyss Diamond Eyes,(FA),{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},0,snapshot
EBC League,2025,3,DROP,Dont'e Thornton Jr.,WR,Abyss Diamond Eyes,(FA),{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},0,snapshot
EBC League,2025,4,ADD,Ravens D/ST,D/ST,(FA),First down syndrome ,{CF59EECF-F236-4BE7-93F6-C873EFC4BF85},0,snapshot
EBC League,2025,4,ADD,Trey Benson,RB,(FA),Werewolves of London,{4656A2AD-A939-460B-96A2-ADA939760B8B},0,snapshot
EBC League,2025,4,ADD,Hunter Henry,TE,(FA),Werewolves of London,{4656A2AD-A939-460B-96A2-ADA939760B8B},0,snapshot
EBC League,2025,4,ADD,Brock Purdy,QB,(FA),Abyss Diamond Eyes,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},0,snapshot
EBC League,2025,4,ADD,Tre Tucker,WR,(FA),THE POOL ,{E7893FEC-BC37-48CB-9509-34C663E71ADC},0,snapshot
EBC League,2025,4,ADD,Brandon Aiyuk,WR,(FA),CeeDee's Nuts,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},0,snapshot
EBC League,2025,4,ADD,Joe Mixon,RB,(FA),CeeDee's Nuts,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},0,snapshot
EBC League,2025,4,ADD,Spencer Shrader,K,(FA),CeeDee's Nuts,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},0,snapshot
EBC League,2025,4,ADD,Jordan Love,QB,(FA),CeeDee's Nuts,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},0,snapshot
EBC League,2025,4,ADD,Zach Ertz,TE,(FA),CeeDee's Nuts,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},0,snapshot
EBC League,2025,4,DROP,Dylan Sampson,RB,Werewolves of London,(FA),{4656A2AD-A939-460B-96A2-ADA939760B8B},0,snapshot
EBC League,2025,4,DROP,Hollywood Brown,WR,Werewolves of London,(FA),{4656A2AD-A939-460B-96A2-ADA939760B8B},0,snapshot
EBC League,2025,4,DROP,Brenton Strange,TE,THE POOL ,(FA),{E7893FEC-BC37-48CB-9509-34C663E71ADC},0,snapshot
EBC League,2025,4,DROP,Commanders D/ST,D/ST,First down syndrome ,(FA),{CF59EECF-F236-4BE7-93F6-C873EFC4BF85},0,snapshot
EBC League,2025,4,DROP,Rachaad White,RB,CeeDee's Nuts,(FA),{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},0,snapshot
EBC League,2025,4,DROP,Jahan Dotson,WR,CeeDee's Nuts,(FA),{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},0,snapshot
EBC League,2025,4,DROP,Christian Watson,WR,CeeDee's Nuts,(FA),{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},0,snapshot
EBC League,2025,4,DROP,Alexander Mattison,RB,CeeDee's Nuts,(FA),{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},0,snapshot
