League,Year,Week,Type,Player,Position,From Team,To Team,Owner ID,FAAB Bid,Source
Family Fantasy,2025,2,ADD,Kayshon Boutte,WR,(FA),Breece Hall Sucks,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9},0,snapshot
Family Fantasy,2025,2,ADD,Quentin Johnston,WR,(FA),Rizzly Bears,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},0,snapshot
Family Fantasy,2025,2,ADD,Juwan Johnson,TE,(FA),Rizzly Bears,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},0,snapshot
Family Fantasy,2025,2,ADD,49ers D/ST,D/ST,(FA),Skibidi Rizzlers,{88877912-82AE-408B-9AD4-17D54F48BACA},0,snapshot
Family Fantasy,2025,2,ADD,Kenneth Gainwell,RB,(FA),Skibidi Rizzlers,{88877912-82AE-408B-9AD4-17D54F48BACA},0,snapshot
Family Fantasy,2025,2,ADD,Rams D/ST,D/ST,(FA),For Me to Poop on,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368},0,snapshot
Family Fantasy,2025,2,ADD,Tyjae Spears,RB,(FA),Oh My Josh,{5134AA18-1271-4376-B91C-1EECCCFF2E92},0,snapshot
Family Fantasy,2025,2,ADD,Daniel Jones,QB,(FA),Oh My Josh,{5134AA18-1271-4376-B91C-1EECCCFF2E92},0,snapshot
Family Fantasy,2025,2,ADD,JuJu Smith-Schuster,WR,(FA),Your Mom,{F1F84656-65C6-418D-85EB-A941DF949C09},0,snapshot
Family Fantasy,2025,2,ADD,Brenton Strange,TE,(FA),Golden Receivers,{4656A2AD-A939-460B-96A2-ADA939760B8B},0,snapshot
Family Fantasy,2025,2,DROP,Jayden Higgins,WR,Skibidi Rizzlers,(FA),{88877912-82AE-408B-9AD4-17D54F48BACA},0,snapshot
Family Fantasy,2025,2,DROP,Buccaneers D/ST,D/ST,Skibidi Rizzlers,(FA),{88877912-82AE-408B-9AD4-17D54F48BACA},0,snapshot
Family Fantasy,2025,2,DROP,Jalen Coker,WR,67 Big Backs,(FA),{6056B364-2BEC-43D7-A948-C08055FA2C5F},0,snapshot
Family Fantasy,2025,2,DROP,Cardinals D/ST,D/ST,For Me to Poop on,(FA),{80A5169E-FE6E-46F3-A516-9EFE6EE6F368},0,snapshot
Family Fantasy,2025,2,DROP,Amari Cooper,WR,Breece Hall Sucks,(FA),{A1A69B8D-9552-46EC-8145-7D9DC7026AC9},0,snapshot
Family Fantasy,2025,2,DROP,J.J. McCarthy,QB,Your Mom,(FA),{F1F84656-65C6-418D-85EB-A941DF949C09},0,snapshot
Family Fantasy,2025,2,DROP,Quinshon Judkins,RB,Rizzly Bears,(FA),{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},0,snapshot
Family Fantasy,2025,2,DROP,Cam Ward,QB,Oh My Josh,(FA),{5134AA18-1271-4376-B91C-1EECCCFF2E92},0,snapshot
Family Fantasy,2025,2,DROP,Luther Burden III,WR,Golden Receivers,(FA),{4656A2AD-A939-460B-96A2-ADA939760B8B},0,snapshot
