League,Year,Week,Type,Player,Position,From Team,To Team,Owner ID,FAAB Bid,Source
OnP Fantasy,2025,2,ADD,Kayshon Boutte,WR,(FA),Cowtown Cowboys,{ED820BF3-C942-4041-820B-F3C9425041D9},0,snapshot
OnP Fantasy,2025,2,ADD,Hollywood Brown,WR,(FA),Red Bulls On Parade,{D6421CA2-74FC-4D39-821C-A274FC9D39FE},0,snapshot
OnP Fantasy,2025,2,ADD,Dylan Sampson,RB,(FA),Red Bulls On Parade,{D6421CA2-74FC-4D39-821C-A274FC9D39FE},0,snapshot
OnP Fantasy,2025,2,ADD,Colts D/ST,D/ST,(FA),Red Bulls On Parade,{D6421CA2-74FC-4D39-821C-A274FC9D39FE},0,snapshot
OnP Fantasy,2025,2,ADD,Cam Little,K,(FA),Red Bulls On Parade,{D6421CA2-74FC-4D39-821C-A274FC9D39FE},0,snapshot
OnP Fantasy,2025,2,TEAM->TEAM,Dalton Kincaid,TE,Kill Bills ,Red Bulls On Parade,{D6421CA2-74FC-4D39-821C-A274FC9D39FE},0,snapshot
OnP Fantasy,2025,2,ADD,49ers D/ST,D/ST,(FA),Dennis The Menace ,{72E06046-9EEC-4999-A060-469EEC399959},0,snapshot
OnP Fantasy,2025,2,ADD,Quentin Johnston,WR,(FA),Claytons Team of Experts,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56},0,snapshot
OnP Fantasy,2025,2,ADD,Rams D/ST,D/ST,(FA),Kill Bills ,{1BA8396F-D6D7-448B-870B-539450FA06F7},0,snapshot
OnP Fantasy,2025,2,ADD,Bhayshul Tuten,RB,(FA),Kill Bills ,{1BA8396F-D6D7-448B-870B-539450FA06F7},0,snapshot
OnP Fantasy,2025,2,ADD,Harold Fannin Jr.,TE,(FA),Kill Bills ,{1BA8396F-D6D7-448B-870B-539450FA06F7},0,snapshot
OnP Fantasy,2025,2,DROP,Bills D/ST,D/ST,Red Bulls On Parade,(FA),{D6421CA2-74FC-4D39-821C-A274FC9D39FE},0,snapshot
OnP Fantasy,2025,2,DROP,Younghoe Koo,K,Red Bulls On Parade,(FA),{D6421CA2-74FC-4D39-821C-A274FC9D39FE},0,snapshot
OnP Fantasy,2025,2,DROP,Tank Bigsby,RB,Red Bulls On Parade,(FA),{D6421CA2-74FC-4D39-821C-A274FC9D39FE},0,snapshot
OnP Fantasy,2025,2,DROP,Tua Tagovailoa,QB,Red Bulls On Parade,(FA),{D6421CA2-74FC-4D39-821C-A274FC9D39FE},0,snapshot
OnP Fantasy,2025,2,DROP,Seahawks D/ST,D/ST,Dennis The Menace ,(FA),{72E06046-9EEC-4999-A060-469EEC399959},0,snapshot
OnP Fantasy,2025,2,DROP,Darnell Mooney,WR,Claytons Team of Experts,(FA),{45196FC1-BEBD-41FC-A6D8-2527D65C9C56},0,snapshot
OnP Fantasy,2025,2,DROP,Jaydon Blue,RB,Kill Bills ,(FA),{1BA8396F-D6D7-448B-870B-539450FA06F7},0,snapshot
OnP Fantasy,2025,2,DROP,Braelon Allen,RB,Kill Bills ,(FA),{1BA8396F-D6D7-448B-870B-539450FA06F7},0,snapshot
OnP Fantasy,2025,2,DROP,Commanders D/ST,D/ST,Kill Bills ,(FA),{1BA8396F-D6D7-448B-870B-539450FA06F7},0,snapshot
OnP Fantasy,2025,3,TEAM->TEAM,Colts D/ST,D/ST,Red Bulls On Parade,Cowtown Cowboys,{ED820BF3-C942-4041-820B-F3C9425041D9},0,snapshot
OnP Fantasy,2025,3,TEAM->TEAM,Chase McLaughlin,K, Johnny  Dramas ,The Bill Croskey Show,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5},0,snapshot
OnP Fantasy,2025,3,TEAM->TEAM,Vikings D/ST,D/ST,Cowtown Cowboys,The Bill Croskey Show,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5},0,snapshot
OnP Fantasy,2025,3,ADD,Jonnu Smith,TE,(FA),Dennis The Menace ,{72E06046-9EEC-4999-A060-469EEC399959},0,snapshot
OnP Fantasy,2025,3,ADD,Bengals D/ST,D/ST,(FA),Dennis The Menace ,{72E06046-9EEC-4999-A060-469EEC399959},0,snapshot
OnP Fantasy,2025,3,ADD,Daniel Jones,QB,(FA),Red Bulls On Parade,{D6421CA2-74FC-4D39-821C-A274FC9D39FE},0,snapshot
OnP Fantasy,2025,3,ADD,Seahawks D/ST,D/ST,(FA),Red Bulls On Parade,{D6421CA2-74FC-4D39-821C-A274FC9D39FE},0,snapshot
OnP Fantasy,2025,3,ADD,Spencer Shrader,K,(FA),Red Bulls On Parade,{D6421CA2-74FC-4D39-821C-A274FC9D39FE},0,snapshot
OnP Fantasy,2025,3,ADD,Jaguars D/ST,D/ST,(FA),"No, This Is Patrick!",{95F44A62-C032-49BB-9961-F1B40077DCE9},0,snapshot
OnP Fantasy,2025,3,ADD,Trey Benson,RB,(FA), Johnny  Dramas ,{2EE23928-38D5-4A7D-B660-50DE7C47A645},0,snapshot
OnP Fantasy,2025,3,TRADE,David Montgomery,RB,Frisco Full Can Field Goals 🏈, Johnny  Dramas ,{2EE23928-38D5-4A7D-B660-50DE7C47A645},0,snapshot
OnP Fantasy,2025,3,ADD,Russell Wilson,QB,(FA), Johnny  Dramas ,{2EE23928-38D5-4A7D-B660-50DE7C47A645},0,snapshot
OnP Fantasy,2025,3,ADD,Troy Franklin,WR,(FA), Johnny  Dramas ,{2EE23928-38D5-4A7D-B660-50DE7C47A645},0,snapshot
OnP Fantasy,2025,3,ADD,Matt Prater,K,(FA), Johnny  Dramas ,{2EE23928-38D5-4A7D-B660-50DE7C47A645},0,snapshot
OnP Fantasy,2025,3,ADD,Packers D/ST,D/ST,(FA),U Lost to a Red Bull Rookie,{DC54E68B-78AB-440A-9F0D-63BD7172C682},0,snapshot
OnP Fantasy,2025,3,ADD,Bills D/ST,D/ST,(FA),Kill Bills ,{1BA8396F-D6D7-448B-870B-539450FA06F7},0,snapshot
OnP Fantasy,2025,3,ADD,Michael Penix Jr.,QB,(FA),Kill Bills ,{1BA8396F-D6D7-448B-870B-539450FA06F7},0,snapshot
OnP Fantasy,2025,3,ADD,Juwan Johnson,TE,(FA),Claytons Team of Experts,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56},0,snapshot
OnP Fantasy,2025,3,ADD,Commanders D/ST,D/ST,(FA),Claytons Team of Experts,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56},0,snapshot
OnP Fantasy,2025,3,ADD,Aaron Rodgers,QB,(FA),Claytons Team of Experts,{45196FC1-BEBD-41FC-A6D8-2527D65C9C56},0,snapshot
OnP Fantasy,2025,3,TRADE,Isiah Pacheco,RB, Johnny  Dramas ,Frisco Full Can Field Goals 🏈,{AAD245A4-298A-4362-A70B-5F838E0D6F64},0,snapshot
OnP Fantasy,2025,3,TRADE,Quinshon Judkins,RB, Johnny  Dramas ,Frisco Full Can Field Goals 🏈,{AAD245A4-298A-4362-A70B-5F838E0D6F64},0,snapshot
OnP Fantasy,2025,3,TRADE,Dak Prescott,QB, Johnny  Dramas ,Frisco Full Can Field Goals 🏈,{AAD245A4-298A-4362-A70B-5F838E0D6F64},0,snapshot
OnP Fantasy,2025,3,DROP,Broncos D/ST,D/ST,The Bill Croskey Show,(FA),{ACF2845F-A3D7-477C-962B-9C3D9AB963C5},0,snapshot
OnP Fantasy,2025,3,DROP,Wil Lutz,K,The Bill Croskey Show,(FA),{ACF2845F-A3D7-477C-962B-9C3D9AB963C5},0,snapshot
OnP Fantasy,2025,3,DROP,Cam Little,K,Red Bulls On Parade,(FA),{D6421CA2-74FC-4D39-821C-A274FC9D39FE},0,snapshot
OnP Fantasy,2025,3,DROP,J.J. McCarthy,QB,Red Bulls On Parade,(FA),{D6421CA2-74FC-4D39-821C-A274FC9D39FE},0,snapshot
OnP Fantasy,2025,3,DROP,Colston Loveland,TE,Dennis The Menace ,(FA),{72E06046-9EEC-4999-A060-469EEC399959},0,snapshot
OnP Fantasy,2025,3,DROP,49ers D/ST,D/ST,Dennis The Menace ,(FA),{72E06046-9EEC-4999-A060-469EEC399959},0,snapshot
OnP Fantasy,2025,3,DROP,Xavier Legette,WR,"No, This Is Patrick!",(FA),{95F44A62-C032-49BB-9961-F1B40077DCE9},0,snapshot
OnP Fantasy,2025,3,DROP,Ollie Gordon II,RB, Johnny  Dramas ,(FA),{2EE23928-38D5-4A7D-B660-50DE7C47A645},0,snapshot
OnP Fantasy,2025,3,DROP,Cardinals D/ST,D/ST,U Lost to a Red Bull Rookie,(FA),{DC54E68B-78AB-440A-9F0D-63BD7172C682},0,snapshot
OnP Fantasy,2025,3,DROP,Austin Ekeler,RB,Claytons Team of Experts,(FA),{45196FC1-BEBD-41FC-A6D8-2527D65C9C56},0,snapshot
