League,Year,Week,Type,Player,Position,From Team,To Team,Owner ID,FAAB Bid,Source
Operators Football League,2025,2,ADD,Aaron Rodgers,QB,(FA),Ler of the Rings,{16EDDDAE-9081-4D42-ADDD-AE90817D4247},0,snapshot
Operators Football League,2025,2,ADD,Kyle Pitts Sr.,TE,(FA),Mhoney Hurts So Good,{5918A112-DDF9-4368-8414-A143EC58B846},0,snapshot
Operators Football League,2025,2,ADD,Zach Ertz,TE,(FA),Sacks in the City,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},0,snapshot
Operators Football League,2025,2,ADD,Hollywood Brown,WR,(FA),Big Ballsy Bozos,{9B611343-247D-458B-88C3-50BB33789365},0,snapshot
Operators Football League,2025,2,ADD,Rams D/ST,D/ST,(FA),Big Ballsy Bozos,{9B611343-247D-458B-88C3-50BB33789365},0,snapshot
Operators Football League,2025,2,DROP,Cam Ward,QB,Ler of the Rings,(FA),{16EDDDAE-9081-4D42-ADDD-AE90817D4247},0,snapshot
Operators Football League,2025,2,DROP,Tyrone Tracy Jr.,RB,Big Ballsy Bozos,(FA),{9B611343-247D-458B-88C3-50BB33789365},0,snapshot
Operators Football League,2025,2,DROP,Seahawks D/ST,D/ST,Big Ballsy Bozos,(FA),{9B611343-247D-458B-88C3-50BB33789365},0,snapshot
Operators Football League,2025,2,DROP,Pat Freiermuth,TE,Sacks in the City,(FA),{0C1EF165-EE98-44D3-9EF1-65EE9804D340},0,snapshot
Operators Football League,2025,3,ADD,Elic Ayomanor,WR,(FA),Natural rack,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007},0,snapshot
Operators Football League,2025,3,ADD,Seahawks D/ST,D/ST,(FA),Ler of the Rings,{16EDDDAE-9081-4D42-ADDD-AE90817D4247},0,snapshot
Operators Football League,2025,3,ADD,Jake Browning,QB,(FA),Ler of the Rings,{16EDDDAE-9081-4D42-ADDD-AE90817D4247},0,snapshot
Operators Football League,2025,3,ADD,Matthew Stafford,QB,(FA),Ler of the Rings,{16EDDDAE-9081-4D42-ADDD-AE90817D4247},0,snapshot
Operators Football League,2025,3,ADD,Spencer Shrader,K,(FA),Ler of the Rings,{16EDDDAE-9081-4D42-ADDD-AE90817D4247},0,snapshot
Operators Football League,2025,3,ADD,Jared Goff,QB,(FA),Sacks in the City,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},0,snapshot
Operators Football League,2025,3,ADD,Daniel Jones,QB,(FA),Sacks in the City,{0C1EF165-EE98-44D3-9EF1-65EE9804D340},0,snapshot
