League,Year,Week,Type,Player,Position,From Team,To Team,Owner ID,FAAB Bid,Source
Philly Extra Special,2025,2,ADD,Bills D/ST,D/ST,(FA),Pickens Brown Hubbard @ Mahomes,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},0,snapshot
Philly Extra Special,2025,2,ADD,Kenneth Gainwell,RB,(FA),Pickens Brown Hubbard @ Mahomes,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},0,snapshot
Philly Extra Special,2025,2,ADD,Quentin Johnston,WR,(FA),Steenage Mutant Ninja Turtles,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},0,snapshot
Philly Extra Special,2025,2,ADD,Rams D/ST,D/ST,(FA),The Real Kevin Nichols,{DFBF45BA-746C-4337-BF45-BA746C73373F},0,snapshot
Philly Extra Special,2025,2,ADD,Bhayshul Tuten,RB,(FA),Matthew Dorchak,{A6404CB9-25F0-4B29-804C-B925F0CB2975},0,snapshot
Philly Extra Special,2025,2,ADD,Trey Benson,RB,(FA),Matthew Dorchak,{A6404CB9-25F0-4B29-804C-B925F0CB2975},0,snapshot
Philly Extra Special,2025,2,ADD,49ers D/ST,D/ST,(FA),Matthew Dorchak,{A6404CB9-25F0-4B29-804C-B925F0CB2975},0,snapshot
Philly Extra Special,2025,2,ADD,Tyler Loop,K,(FA),Matthew Dorchak,{A6404CB9-25F0-4B29-804C-B925F0CB2975},0,snapshot
Philly Extra Special,2025,2,DROP,Seahawks D/ST,D/ST,Pickens Brown Hubbard @ Mahomes,(FA),{1E294587-F125-49A7-AD9D-7567C0C3DEE1},0,snapshot
Philly Extra Special,2025,2,DROP,Tank Bigsby,RB,Matthew Dorchak,(FA),{A6404CB9-25F0-4B29-804C-B925F0CB2975},0,snapshot
Philly Extra Special,2025,2,DROP,Colston Loveland,TE,Matthew Dorchak,(FA),{A6404CB9-25F0-4B29-804C-B925F0CB2975},0,snapshot
Philly Extra Special,2025,2,DROP,Bengals D/ST,D/ST,Matthew Dorchak,(FA),{A6404CB9-25F0-4B29-804C-B925F0CB2975},0,snapshot
