League,Year,Week,Type,Player,Position,From Team,To Team,Owner ID,FAAB Bid,Source
RRR On Premise ,2022,2,ADD,Browns D/ST,D/ST,(FA),Dennis The Menace ,{72E06046-9EEC-4999-A060-469EEC399959},0,snapshot
RRR On Premise ,2022,2,TEAM->TEAM,Brandon Aiyuk,WR, Johnny  Dramas ,Dennis The Menace ,{72E06046-9EEC-4999-A060-469EEC399959},0,snapshot
RRR On Premise ,2022,2,ADD,Curtis Samuel,WR,(FA), Johnny  Dramas ,{2EE23928-38D5-4A7D-B660-50DE7C47A645},0,snapshot
RRR On Premise ,2022,2,ADD,Rex Burkhead,RB,(FA), Johnny  Dramas ,{2EE23928-38D5-4A7D-B660-50DE7C47A645},0,snapshot
RRR On Premise ,2022,2,ADD,Sterling Shepard,WR,(FA), Johnny  Dramas ,{2EE23928-38D5-4A7D-B660-50DE7C47A645},0,snapshot
RRR On Premise ,2022,2,ADD,Cade York,K,(FA),Hurts So Good,{17471759-D3C1-4206-8612-A156BCC23AA1},0,snapshot
RRR On Premise ,2022,2,ADD,Devin Duvernay,WR,(FA),Hurts So Good,{17471759-D3C1-4206-8612-A156BCC23AA1},0,snapshot
RRR On Premise ,2022,2,ADD,Zay Jones,WR,(FA),Hurts So Good,{17471759-D3C1-4206-8612-A156BCC23AA1},0,snapshot
RRR On Premise ,2022,2,ADD,Broncos D/ST,D/ST,(FA),Jackson's Tiktok,{43035DAF-DDD6-4952-835D-AFDDD6195257},0,snapshot
RRR On Premise ,2022,2,ADD,Jeff Wilson Jr.,RB,(FA),Ready For Hockey Season ,{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A},0,snapshot
RRR On Premise ,2022,2,DROP,Khalil Herbert,RB,Dennis The Menace ,(FA),{72E06046-9EEC-4999-A060-469EEC399959},0,snapshot
RRR On Premise ,2022,2,DROP,Titans D/ST,D/ST,Dennis The Menace ,(FA),{72E06046-9EEC-4999-A060-469EEC399959},0,snapshot
RRR On Premise ,2022,2,DROP,Commanders D/ST,D/ST,Jackson's Tiktok,(FA),{43035DAF-DDD6-4952-835D-AFDDD6195257},0,snapshot
RRR On Premise ,2022,2,DROP,Van Jefferson,WR, Johnny  Dramas ,(FA),{2EE23928-38D5-4A7D-B660-50DE7C47A645},0,snapshot
RRR On Premise ,2022,2,DROP,Mike Davis,RB, Johnny  Dramas ,(FA),{2EE23928-38D5-4A7D-B660-50DE7C47A645},0,snapshot
RRR On Premise ,2022,2,DROP,Harrison Butker,K,Hurts So Good,(FA),{17471759-D3C1-4206-8612-A156BCC23AA1},0,snapshot
RRR On Premise ,2022,2,DROP,Alec Pierce,WR,Hurts So Good,(FA),{17471759-D3C1-4206-8612-A156BCC23AA1},0,snapshot
RRR On Premise ,2022,2,DROP,Isaiah McKenzie,WR,Hurts So Good,(FA),{17471759-D3C1-4206-8612-A156BCC23AA1},0,snapshot
RRR On Premise ,2022,2,DROP,Jalen Tolbert,WR,Ready For Hockey Season ,(FA),{2B6C7E1E-0755-48FB-89CE-4CFFA3D5DC1A},0,snapshot
RRR On Premise ,2022,3,ADD,Carson Wentz,QB,(FA),Funky Town Waffle Stomps,{2D55E6BC-7D33-4BD7-9406-CB412DDA6B48},0,snapshot
RRR On Premise ,2022,3,ADD,Cowboys D/ST,D/ST,(FA),Funky Town Waffle Stomps,{2D55E6BC-7D33-4BD7-9406-CB412DDA6B48},0,snapshot
RRR On Premise ,2022,3,ADD,Gerald Everett,TE,(FA),Victorious  Secret,{ACF2845F-A3D7-477C-962B-9C3D9AB963C5},0,snapshot
