League,Year,Week,Type,Player,Position,From Team,To Team,Owner ID,FAAB Bid,Source
THE BEST OF THE BEST,2022,2,ADD,Rams D/ST,D/ST,(FA),Saving Private Ryan,{A8781626-DB52-4D55-B816-26DB528D55B6},0,snapshot
THE BEST OF THE BEST,2022,2,ADD,Logan Thomas,TE,(FA),Saving Private Ryan,{A8781626-DB52-4D55-B816-26DB528D55B6},0,snapshot
THE BEST OF THE BEST,2022,2,ADD,Jamison Crowder,WR,(FA),Saving Private Ryan,{A8781626-DB52-4D55-B816-26DB528D55B6},0,snapshot
THE BEST OF THE BEST,2022,2,ADD,Devin Duvernay,WR,(FA),Saving Private Ryan,{A8781626-DB52-4D55-B816-26DB528D55B6},0,snapshot
THE BEST OF THE BEST,2022,2,ADD,Patriots D/ST,D/ST,(FA),Crazy Kat,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},0,snapshot
THE BEST OF THE BEST,2022,2,TEAM->TEAM,Rachaad White,RB,The Truth Hurts,The  Dream crusher,{600C56A6-5DB0-42B1-8C56-A65DB022B176},0,snapshot
THE BEST OF THE BEST,2022,2,ADD,Jeff Wilson Jr.,RB,(FA),Peter Pan + the Lost Boys ,{D1128929-4E7D-4D10-9289-294E7DBD10E2},0,snapshot
THE BEST OF THE BEST,2022,2,ADD,Seahawks D/ST,D/ST,(FA),Peter Pan + the Lost Boys ,{D1128929-4E7D-4D10-9289-294E7DBD10E2},0,snapshot
THE BEST OF THE BEST,2022,2,ADD,Dontrell Hilliard,RB,(FA),Breece’s  Pieces,{AB606613-7901-4CE2-A066-1379013CE29D},0,snapshot
THE BEST OF THE BEST,2022,2,ADD,Younghoe Koo,K,(FA),Breece’s  Pieces,{AB606613-7901-4CE2-A066-1379013CE29D},0,snapshot
THE BEST OF THE BEST,2022,2,ADD,Kyle Philips,WR,(FA),Breece’s  Pieces,{AB606613-7901-4CE2-A066-1379013CE29D},0,snapshot
THE BEST OF THE BEST,2022,2,ADD,Zay Jones,WR,(FA),Breece’s  Pieces,{AB606613-7901-4CE2-A066-1379013CE29D},0,snapshot
THE BEST OF THE BEST,2022,2,ADD,Austin Seibert,K,(FA),Lucky #13s,{1AE08E91-6882-4C36-A08E-9168821C36D0},0,snapshot
THE BEST OF THE BEST,2022,2,ADD,Taysom Hill,TE,(FA),Lucky #13s,{1AE08E91-6882-4C36-A08E-9168821C36D0},0,snapshot
THE BEST OF THE BEST,2022,2,ADD,Kenyan Drake,RB,(FA),Lucky #13s,{1AE08E91-6882-4C36-A08E-9168821C36D0},0,snapshot
THE BEST OF THE BEST,2022,2,TEAM->TEAM,Jake Elliott,K,Breece’s  Pieces,The Truth Hurts,{BF8C828B-DE26-4592-8C82-8BDE2675929B},0,snapshot
THE BEST OF THE BEST,2022,2,DROP,Darrel Williams,RB,Peter Pan + the Lost Boys ,(FA),{D1128929-4E7D-4D10-9289-294E7DBD10E2},0,snapshot
THE BEST OF THE BEST,2022,2,DROP,KJ Hamler,WR,Saving Private Ryan,(FA),{A8781626-DB52-4D55-B816-26DB528D55B6},0,snapshot
THE BEST OF THE BEST,2022,2,DROP,Dolphins D/ST,D/ST,Saving Private Ryan,(FA),{A8781626-DB52-4D55-B816-26DB528D55B6},0,snapshot
THE BEST OF THE BEST,2022,2,DROP,Jakobi Meyers,WR,Breece’s  Pieces,(FA),{AB606613-7901-4CE2-A066-1379013CE29D},0,snapshot
THE BEST OF THE BEST,2022,2,DROP,Zamir White,RB,Breece’s  Pieces,(FA),{AB606613-7901-4CE2-A066-1379013CE29D},0,snapshot
THE BEST OF THE BEST,2022,2,DROP,Saints D/ST,D/ST,Crazy Kat,(FA),{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543},0,snapshot
THE BEST OF THE BEST,2022,2,DROP,D'Onta Foreman,RB,The  Dream crusher,(FA),{600C56A6-5DB0-42B1-8C56-A65DB022B176},0,snapshot
THE BEST OF THE BEST,2022,2,DROP,Raheem Mostert,RB,Lucky #13s,(FA),{1AE08E91-6882-4C36-A08E-9168821C36D0},0,snapshot
