League,Year,Week,Type,Player,Position,From Team,To Team,Owner ID,FAAB Bid,Source
The Girl's Room 💞🏈,2026,2,ADD,Caleb Douglas,WR,(FA),Flock Around and Find Out,{3251D3F1-A2F9-4601-BEF2-9005CBB120BE},0,activity
The Girl's Room 💞🏈,2026,2,ADD,49ers D/ST,D/ST,(FA),Third Down and Long Story,{406D4692-3C67-4DBA-B1E3-5736014C31B1},0,activity
The Girl's Room 💞🏈,2026,2,ADD,Antonio Williams,WR,(FA),Third Down and Long Story,{406D4692-3C67-4DBA-B1E3-5736014C31B1},0,activity
The Girl's Room 💞🏈,2026,2,ADD,Trey Smack,K,(FA),Third Down and Long Story,{406D4692-3C67-4DBA-B1E3-5736014C31B1},0,activity
The Girl's Room 💞🏈,2026,2,ADD,Buccaneers D/ST,D/ST,(FA),Sacks and the City,{FD379251-A8A4-42A5-8FA5-83D1DA913174},0,activity
The Girl's Room 💞🏈,2026,2,ADD,Devaughn Vele,WR,(FA),Immaculate Concepcion,{9979E92C-9818-4436-9671-ABA329BBE6D9},0,activity
The Girl's Room 💞🏈,2026,2,ADD,Dontayvion Wicks,WR,(FA),Immaculate Concepcion,{9979E92C-9818-4436-9671-ABA329BBE6D9},0,activity
The Girl's Room 💞🏈,2026,2,ADD,Kendre Miller,RB,(FA),Immaculate Concepcion,{9979E92C-9818-4436-9671-ABA329BBE6D9},0,activity
The Girl's Room 💞🏈,2026,2,ADD,Chiefs D/ST,D/ST,(FA),Immaculate Concepcion,{9979E92C-9818-4436-9671-ABA329BBE6D9},0,activity
The Girl's Room 💞🏈,2026,2,DROP,Mike Washington Jr.,RB,Flock Around and Find Out,(FA),{3251D3F1-A2F9-4601-BEF2-9005CBB120BE},0,activity
The Girl's Room 💞🏈,2026,2,DROP,Spencer Shrader,K,Third Down and Long Story,(FA),{406D4692-3C67-4DBA-B1E3-5736014C31B1},0,activity
The Girl's Room 💞🏈,2026,2,DROP,Rashid Shaheed,WR,Third Down and Long Story,(FA),{406D4692-3C67-4DBA-B1E3-5736014C31B1},0,activity
The Girl's Room 💞🏈,2026,2,DROP,Titans D/ST,D/ST,Third Down and Long Story,(FA),{406D4692-3C67-4DBA-B1E3-5736014C31B1},0,activity
The Girl's Room 💞🏈,2026,2,DROP,Rams D/ST,D/ST,Immaculate Concepcion,(FA),{9979E92C-9818-4436-9671-ABA329BBE6D9},0,activity
The Girl's Room 💞🏈,2026,2,DROP,De'Zhaun Stribling,WR,Immaculate Concepcion,(FA),{9979E92C-9818-4436-9671-ABA329BBE6D9},0,activity
The Girl's Room 💞🏈,2026,2,DROP,Cyrus Allen,WR,Immaculate Concepcion,(FA),{9979E92C-9818-4436-9671-ABA329BBE6D9},0,activity
The Girl's Room 💞🏈,2026,2,DROP,Packers D/ST,D/ST,Sacks and the City,(FA),{FD379251-A8A4-42A5-8FA5-83D1DA913174},0,activity
