Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
1 - 8,8,Ja'Marr Chase,WR,Dak Stinks,289.45,20.67,403.0,23.71,17,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},100.0,A+
13 - 3,123,Brock Bowers,TE,I'm Batman,144.0,9.6,262.7,15.45,17,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},99.05,A+
6 - 5,55,Trey McBride,TE,3rd World Immigrant,182.3,12.15,249.8,15.61,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},95.84,A
10 - 7,97,Brian Thomas Jr.,WR,Division iPad,171.63,11.44,284.0,16.71,17,{A279F58E-795F-4115-B9F5-8E795F7115FC},93.57,A
7 - 5,65,George Kittle,TE,It's Britney's Bench,175.43,11.7,236.6,15.77,15,{30B3E10C-D363-4E74-8961-7D4829DE152A},93.28,A
2 - 7,17,Jahmyr Gibbs,RB,Division iPad,238.5,17.04,362.9,21.35,17,{A279F58E-795F-4115-B9F5-8E795F7115FC},92.57,A-
4 - 4,34,Lamar Jackson,QB,Olave Another,303.83,20.26,430.38,25.32,17,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},92.04,A-
16 - 10,160,Jerry Jeudy,WR,Metcalves of Steele,176.72,11.78,240.9,14.17,17,{5E530C03-3F19-48F0-A309-52B769E76347},91.61,A-
1 - 9,9,Justin Jefferson,WR,Patrick's Stars,282.2,18.81,317.48,18.68,17,{99C913F4-1FF6-4361-93D2-117EA19F759C},91.43,A-
1 - 6,6,Amon-Ra St. Brown,WR,3rd World Immigrant,283.98,18.93,316.18,18.6,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},91.23,A-
4 - 8,38,De'Von Achane,RB,I'm Batman,211.07,15.08,299.9,17.64,17,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},90.49,A-
8 - 6,76,Terry McLaurin,WR,It's Britney's Bench,193.47,12.9,267.8,15.75,17,{30B3E10C-D363-4E74-8961-7D4829DE152A},90.38,A-
1 - 7,7,Saquon Barkley,RB,Olave Another,252.41,18.03,355.3,22.21,16,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},89.85,B+
2 - 9,19,Derrick Henry,RB,Chicken Fried Chicken Meal,225.04,16.07,336.4,19.79,17,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},89.49,B+
7 - 1,61,Joe Burrow,QB,Metcalves of Steele,278.72,18.58,372.82,21.93,17,{5E530C03-3F19-48F0-A309-52B769E76347},89.34,B+
13 - 10,130,Bucky Irving,RB,All my homies hate Dallas,112.11,8.01,244.4,14.38,17,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},88.89,B+
5 - 10,50,Malik Nabers,WR,All my homies hate Dallas,222.57,14.84,273.6,18.24,15,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},88.82,B+
12 - 7,117,Chuba Hubbard,RB,Division iPad,136.19,9.73,241.6,16.11,15,{A279F58E-795F-4115-B9F5-8E795F7115FC},88.54,B+
10 - 8,98,Chase Brown,RB,I'm Batman,166.97,11.93,255.0,15.94,16,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},88.51,B+
3 - 6,26,Drake London,WR,3rd World Immigrant,225.56,15.04,280.8,16.52,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},88.34,B+
14 - 4,134,Brandon Aubrey,K,Olave Another,137.32,8.08,177.0,10.41,17,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},88.34,B+
15 - 10,150,Cameron Dicker,K,All my homies hate Dallas,133.85,7.87,171.0,10.06,17,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},88.29,B+
9 - 8,88,Jaxon Smith-Njigba,WR,Dak Stinks,191.39,12.76,253.0,14.88,17,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},88.07,B+
1 - 2,2,Bijan Robinson,RB,Chicken Fried Chicken Meal,292.77,20.91,341.7,20.1,17,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},87.95,B+
13 - 1,121,Jayden Daniels,QB,Metcalves of Steele,255.91,17.06,355.82,20.93,17,{5E530C03-3F19-48F0-A309-52B769E76347},87.69,B+
4 - 6,36,Josh Allen,QB,It's Britney's Bench,313.58,20.91,379.04,22.3,17,{30B3E10C-D363-4E74-8961-7D4829DE152A},87.28,B+
10 - 4,94,Ladd McConkey,WR,Olave Another,178.4,11.89,240.9,15.06,16,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},86.72,B
14 - 2,132,Jakobi Meyers,WR,Patrick's Stars,175.23,11.68,218.0,14.53,15,{99C913F4-1FF6-4361-93D2-117EA19F759C},86.29,B
9 - 9,89,Courtland Sutton,WR,Patrick's Stars,189.57,12.64,240.3,14.14,17,{99C913F4-1FF6-4361-93D2-117EA19F759C},86.1,B
14 - 6,136,Jared Goff,QB,It's Britney's Bench,234.9,15.66,324.46,19.09,17,{30B3E10C-D363-4E74-8961-7D4829DE152A},85.73,B
6 - 7,57,James Conner,RB,Division iPad,177.8,13.68,253.8,15.86,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},84.75,B
16 - 7,157,Ka'imi Fairbairn,K,Division iPad,135.34,7.96,156.0,9.18,17,{A279F58E-795F-4115-B9F5-8E795F7115FC},84.73,B
3 - 8,28,Josh Jacobs,RB,Dak Stinks,216.51,15.46,293.1,17.24,17,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},84.17,B
15 - 6,146,Jake Bates,K,3rd World Immigrant,129.37,7.61,153.0,9.0,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},83.85,B
13 - 4,124,Jameson Williams,WR,Division iPad,161.76,10.78,212.2,14.15,15,{A279F58E-795F-4115-B9F5-8E795F7115FC},83.59,B
11 - 1,101,Steelers D/ST,D/ST,Metcalves of Steele,137.59,8.09,147.0,8.65,17,{5E530C03-3F19-48F0-A309-52B769E76347},83.45,B
6 - 1,51,DJ Moore,WR,All my homies hate Dallas,223.6,14.91,238.1,14.01,17,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},83.29,B
6 - 6,56,Aaron Jones,RB,It's Britney's Bench,189.91,13.57,241.6,14.21,17,{30B3E10C-D363-4E74-8961-7D4829DE152A},83.23,B
16 - 4,154,Darnell Mooney,WR,Olave Another,174.04,11.6,193.2,12.07,16,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},83.04,B
16 - 2,152,Zach Charbonnet,RB,Patrick's Stars,139.96,10.0,186.9,10.99,17,{99C913F4-1FF6-4361-93D2-117EA19F759C},83.01,B
1 - 5,5,CeeDee Lamb,WR,It's Britney's Bench,316.73,21.12,263.4,17.56,15,{30B3E10C-D363-4E74-8961-7D4829DE152A},83.01,B
3 - 10,30,Alvin Kamara,RB,All my homies hate Dallas,231.09,16.51,265.3,18.95,14,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},82.92,B-
12 - 5,115,Rico Dowdle,RB,3rd World Immigrant,148.5,10.61,197.8,12.36,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},82.7,B-
12 - 2,112,Najee Harris,RB,Patrick's Stars,174.97,12.5,204.6,12.04,17,{99C913F4-1FF6-4361-93D2-117EA19F759C},82.58,B-
7 - 3,63,Tee Higgins,WR,I'm Batman,202.03,14.43,222.1,18.51,12,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},82.53,B-
4 - 3,33,Joe Mixon,RB,Dak Stinks,218.62,15.62,240.5,17.18,14,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},82.26,B-
3 - 1,21,Mike Evans,WR,Metcalves of Steele,235.36,15.69,240.4,17.17,14,{5E530C03-3F19-48F0-A309-52B769E76347},81.88,B-
10 - 1,91,Jordan Addison,WR,All my homies hate Dallas,188.63,12.58,212.5,14.17,15,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},81.77,B-
12 - 4,114,J.K. Dobbins,RB,Olave Another,155.48,11.96,191.8,14.75,13,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},81.63,B-
2 - 8,18,Davante Adams,WR,I'm Batman,234.0,15.6,241.3,17.24,14,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},81.52,B-
2 - 2,12,Garrett Wilson,WR,Patrick's Stars,251.59,16.77,251.9,14.82,17,{99C913F4-1FF6-4361-93D2-117EA19F759C},81.22,B-
8 - 2,72,David Montgomery,RB,Patrick's Stars,177.34,12.67,221.72,15.84,14,{99C913F4-1FF6-4361-93D2-117EA19F759C},81.04,B-
15 - 2,142,Justin Herbert,QB,Chicken Fried Chicken Meal,252.01,16.8,285.4,16.79,17,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},80.98,B-
3 - 4,24,James Cook,RB,Division iPad,221.92,15.85,266.7,16.67,16,{A279F58E-795F-4115-B9F5-8E795F7115FC},80.88,B-
2 - 5,15,Kyren Williams,RB,3rd World Immigrant,232.87,16.63,272.1,17.01,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},80.65,B-
10 - 10,100,Jayden Reed,WR,Metcalves of Steele,180.45,12.03,197.0,11.59,17,{5E530C03-3F19-48F0-A309-52B769E76347},80.54,B-
8 - 7,77,Kyler Murray,QB,Division iPad,264.09,17.61,297.24,17.48,17,{A279F58E-795F-4115-B9F5-8E795F7115FC},80.28,B-
5 - 2,42,Mark Andrews,TE,Chicken Fried Chicken Meal,188.32,12.55,188.8,11.11,17,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},80.12,B-
12 - 10,120,Pat Freiermuth,TE,Metcalves of Steele,138.09,9.21,168.3,9.9,17,{5E530C03-3F19-48F0-A309-52B769E76347},80.1,B-
5 - 5,45,D'Andre Swift,RB,It's Britney's Bench,180.74,12.91,214.5,12.62,17,{30B3E10C-D363-4E74-8961-7D4829DE152A},79.86,C+
3 - 7,27,Travis Kelce,TE,Olave Another,209.13,13.94,195.4,12.21,16,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},79.3,C+
9 - 2,82,Tony Pollard,RB,Chicken Fried Chicken Meal,172.81,12.34,200.7,12.54,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},79.17,C+
5 - 3,43,Nico Collins,WR,I'm Batman,229.68,15.31,210.6,17.55,12,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},78.58,C+
5 - 4,44,Zay Flowers,WR,Division iPad,216.41,14.43,209.5,12.32,17,{A279F58E-795F-4115-B9F5-8E795F7115FC},78.41,C+
9 - 10,90,Xavier Worthy,WR,All my homies hate Dallas,176.21,11.75,187.2,11.01,17,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},77.83,C+
6 - 3,53,Calvin Ridley,WR,Dak Stinks,219.39,14.63,199.2,11.72,17,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},77.73,C+
8 - 8,78,Keenan Allen,WR,I'm Batman,202.19,15.55,184.4,12.29,15,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},77.39,C+
5 - 7,47,DeVonta Smith,WR,Olave Another,225.23,15.02,199.4,15.34,13,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},77.05,C+
5 - 9,49,Patrick Mahomes,QB,Patrick's Stars,307.68,20.51,283.02,17.69,16,{99C913F4-1FF6-4361-93D2-117EA19F759C},77.03,C+
5 - 1,41,Sam LaPorta,TE,Metcalves of Steele,209.78,13.99,174.6,10.91,16,{5E530C03-3F19-48F0-A309-52B769E76347},76.83,C
15 - 3,143,Justin Tucker,K,I'm Batman,136.3,8.02,127.0,7.47,17,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},76.67,C
8 - 9,79,Brock Purdy,QB,Chicken Fried Chicken Meal,259.3,17.29,266.86,17.79,15,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},76.55,C
4 - 1,31,Jalen Hurts,QB,All my homies hate Dallas,314.32,20.95,315.12,21.01,15,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},76.44,C
1 - 10,10,Jonathan Taylor,RB,All my homies hate Dallas,256.83,18.34,244.7,17.48,14,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},76.09,C
1 - 4,4,Tyreek Hill,WR,Division iPad,298.89,19.93,218.2,12.84,17,{A279F58E-795F-4115-B9F5-8E795F7115FC},75.97,C
2 - 1,11,A.J. Brown,WR,All my homies hate Dallas,259.78,17.32,216.9,16.68,13,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},75.77,C
1 - 3,3,Breece Hall,RB,I'm Batman,289.43,20.67,240.9,15.06,16,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},75.61,C
11 - 9,109,Jake Elliott,K,Patrick's Stars,138.95,8.17,127.0,7.47,17,{99C913F4-1FF6-4361-93D2-117EA19F759C},75.59,C
7 - 4,64,David Njoku,TE,Division iPad,170.71,11.38,148.5,13.5,11,{A279F58E-795F-4115-B9F5-8E795F7115FC},75.56,C
13 - 7,127,Aaron Rodgers,QB,Olave Another,265.24,17.68,256.58,15.09,17,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},75.53,C
8 - 5,75,Rhamondre Stevenson,RB,3rd World Immigrant,191.88,13.71,175.9,11.73,15,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},75.41,C
13 - 6,126,Caleb Williams,QB,3rd World Immigrant,252.19,16.81,254.54,14.97,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},75.28,C
3 - 5,25,Marvin Harrison Jr.,WR,It's Britney's Bench,227.94,15.2,196.5,11.56,17,{30B3E10C-D363-4E74-8961-7D4829DE152A},75.22,C
14 - 3,133,Ravens D/ST,D/ST,Dak Stinks,143.74,8.46,116.0,6.82,17,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},75.18,C
4 - 10,40,DK Metcalf,WR,Metcalves of Steele,224.9,14.99,191.2,12.75,15,{5E530C03-3F19-48F0-A309-52B769E76347},75.07,C
16 - 9,159,Lions D/ST,D/ST,Chicken Fried Chicken Meal,117.28,6.9,113.0,6.65,17,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},75.03,C
2 - 3,13,Puka Nacua,WR,Dak Stinks,257.99,17.2,206.6,18.78,11,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},74.91,C
16 - 5,155,Jordan Mason,RB,3rd World Immigrant,82.57,6.35,115.0,9.58,12,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},74.72,C
13 - 9,129,Rome Odunze,WR,Patrick's Stars,175.21,11.68,144.9,8.52,17,{99C913F4-1FF6-4361-93D2-117EA19F759C},74.36,C
14 - 9,139,Adam Thielen,WR,Chicken Fried Chicken Meal,171.4,11.43,139.5,13.95,10,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},74.24,C
4 - 2,32,Kenneth Walker III,RB,Patrick's Stars,212.4,15.17,181.2,15.1,12,{99C913F4-1FF6-4361-93D2-117EA19F759C},74.0,C
15 - 4,144,Chiefs D/ST,D/ST,Division iPad,113.49,6.68,111.0,6.53,17,{A279F58E-795F-4115-B9F5-8E795F7115FC},73.8,C
3 - 9,29,Rachaad White,RB,Patrick's Stars,225.31,16.09,199.6,12.48,16,{99C913F4-1FF6-4361-93D2-117EA19F759C},73.65,C
10 - 5,95,Jerome Ford,RB,3rd World Immigrant,142.8,10.2,134.0,9.57,14,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},73.16,C
8 - 1,71,Brian Robinson Jr.,RB,All my homies hate Dallas,178.79,12.77,159.8,11.41,14,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},73.06,C
7 - 7,67,Javonte Williams,RB,Olave Another,185.2,13.23,157.9,9.29,17,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},72.82,C-
6 - 10,60,George Pickens,WR,Metcalves of Steele,208.97,13.93,164.4,11.74,14,{5E530C03-3F19-48F0-A309-52B769E76347},72.69,C-
7 - 10,70,Kyle Pitts,TE,All my homies hate Dallas,167.16,11.14,131.2,7.72,17,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},72.67,C-
11 - 4,104,Jordan Love,QB,Division iPad,206.72,17.23,233.86,15.59,15,{A279F58E-795F-4115-B9F5-8E795F7115FC},72.52,C-
