Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 6,6,Christian McCaffrey,RB,Mr Steinfeld's Stars,318.41,18.73,404.9,25.31,16,100.0,A+,{99C913F4-1FF6-4361-93D2-117EA19F759C}
6 - 3,53,Jaxon Smith-Njigba,WR,"Michael, The Baker",240.91,14.17,345.5,21.59,16,100.0,A+,{5E530C03-3F19-48F0-A309-52B769E76347}
2 - 6,16,Jonathan Taylor,RB,Griddy Little Liars,288.77,16.99,356.4,22.27,16,100.0,A+,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6}
1 - 3,3,Bijan Robinson,RB,I'm Batman,339.37,19.96,363.5,22.72,16,100.0,A+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
1 - 8,8,Puka Nacua,WR,"Michael, The Baker",298.63,17.57,349.0,23.27,15,99.61,A+,{5E530C03-3F19-48F0-A309-52B769E76347}
1 - 4,4,Jahmyr Gibbs,RB,3rd World Immigrant,317.28,18.66,346.6,21.66,16,98.2,A+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
2 - 3,13,De'Von Achane,RB,"Michael, The Baker",307.53,18.09,322.8,20.18,16,96.42,A,{5E530C03-3F19-48F0-A309-52B769E76347}
3 - 6,26,Josh Allen,QB,Mr Steinfeld's Stars,367.87,21.64,364.62,22.79,16,95.88,A,{99C913F4-1FF6-4361-93D2-117EA19F759C}
3 - 4,24,Trey McBride,TE,3rd World Immigrant,259.22,15.25,302.4,18.9,16,94.5,A,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
16 - 4,154,Matthew Stafford,QB,Chicken Fried Chicken Meal,274.08,16.12,323.72,20.23,16,94.44,A,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
3 - 9,29,James Cook III,RB,Division iPad,269.9,15.88,300.7,18.79,16,93.16,A,{A279F58E-795F-4115-B9F5-8E795F7115FC}
1 - 10,10,Amon-Ra St. Brown,WR,Scrappy Dub,290.62,17.1,299.1,18.69,16,92.7,A-,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
1 - 2,2,Ja'Marr Chase,WR,AJ's Awesome Team,340.02,20.0,290.0,19.33,15,92.56,A-,{353273A6-6607-4A68-ADDE-CC045C217594}
8 - 10,80,Dak Prescott,QB,All my homies hate Dallas,285.8,16.81,313.08,19.57,16,92.55,A-,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
7 - 10,70,George Pickens,WR,Scrappy Dub,221.36,13.02,290.0,18.12,16,92.52,A-,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
14 - 10,140,Caleb Williams,QB,All my homies hate Dallas,279.79,16.46,301.6,18.85,16,91.86,A-,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
8 - 2,72,Chris Olave,WR,Division iPad,209.82,12.34,268.0,16.75,16,91.57,A-,{A279F58E-795F-4115-B9F5-8E795F7115FC}
4 - 1,31,Jalen Hurts,QB,Scrappy Dub,365.49,21.5,299.06,18.69,16,89.7,B+,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
