Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Browns D/ST,D/ST,MPT Phase Tua,0.0,0.0,178.0,10.47,17,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},94.78,A
Kyren Williams,RB,3rd World Immigrant,0.0,0.0,239.0,19.92,12,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},93.9,A
Puka Nacua,WR,3rd World Immigrant,0.0,0.0,246.0,14.47,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},92.14,A-
Brandon Aubrey,K,Brady Gaga,120.21,7.07,173.0,10.18,17,{99C913F4-1FF6-4361-93D2-117EA19F759C},89.87,B+
Jordan Love,QB,Chicken Fried Chicken Meal,0.0,0.0,319.06,18.77,17,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},87.31,B+
Chiefs D/ST,D/ST,India's Most Wanted,0.0,0.0,156.0,9.18,17,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},86.54,B
Jerome Ford,RB,Chicken Fried Chicken Meal,0.0,0.0,189.2,11.13,17,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},85.09,B
Brock Purdy,QB,"Baby Chark, Juju Juju ",0.0,0.0,295.6,18.48,16,{30B3E10C-D363-4E74-8961-7D4829DE152A},84.48,B
Gus Edwards,RB,Brady Gaga,0.0,0.0,181.0,10.65,17,{99C913F4-1FF6-4361-93D2-117EA19F759C},83.64,B
Raiders D/ST,D/ST,"Baby Chark, Juju Juju ",0.0,0.0,148.0,8.71,17,{30B3E10C-D363-4E74-8961-7D4829DE152A},83.54,B
Jayden Reed,WR,Chicken Fried Chicken Meal,0.0,0.0,185.2,11.58,16,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},82.09,B-
C.J. Stroud,QB,India's Most Wanted,0.0,0.0,275.52,18.37,15,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},82.05,B-
Baker Mayfield,QB,Here 4 fun,0.0,0.0,274.06,16.12,17,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},81.88,B-
Trey McBride,TE,Brady Gaga,54.82,3.65,141.0,8.29,17,{99C913F4-1FF6-4361-93D2-117EA19F759C},81.39,B-
Chuba Hubbard,RB,Furnace Party,0.0,0.0,163.0,9.59,17,{895560E7-2F06-4344-BFC6-24F2919D0BB0},80.46,B-
Rashee Rice,WR,India's Most Wanted,0.0,0.0,173.0,10.81,16,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},80.07,B-
Zack Moss,RB,MOTHER MAY I,0.0,0.0,156.1,11.15,14,{5E530C03-3F19-48F0-A309-52B769E76347},79.24,C+
Matthew Stafford,QB,Arm Pitts,0.0,0.0,243.1,16.21,15,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},78.14,C+
Taysom Hill,TE,Arm Pitts,0.0,0.0,127.02,7.94,16,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},77.88,C+
Jason Sanders,K,MPT Phase Tua,124.49,7.32,137.0,8.06,17,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},77.61,C+
Texans D/ST,D/ST,India's Most Wanted,0.0,0.0,132.0,7.76,17,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},77.55,C+
Brandon McManus,K,India's Most Wanted,130.67,7.69,135.0,7.94,17,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},76.93,C
Colts D/ST,D/ST,Chicken Fried Chicken Meal,0.0,0.0,127.0,7.47,17,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},75.68,C
Chris Boswell,K,Here 4 fun,122.38,7.2,129.0,7.59,17,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},74.88,C
Tank Dell,WR,India's Most Wanted,0.0,0.0,141.5,12.86,11,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},74.86,C
Nick Folk,K,Pineapples and Tartar Sauce,129.33,7.61,128.0,7.53,17,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},74.54,C
Tyjae Spears,RB,3rd World Immigrant,0.0,0.0,127.8,7.52,17,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},74.23,C
Vikings D/ST,D/ST,Arm Pitts,0.0,0.0,120.0,7.06,17,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},73.06,C
Curtis Samuel,WR,MPT Phase Tua,0.0,0.0,126.2,7.89,16,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2},72.33,C-
Josh Downs,WR,Brady Gaga,0.0,0.0,123.1,7.24,17,{99C913F4-1FF6-4361-93D2-117EA19F759C},71.82,C-
