Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Performance Grade,Letter Grade,Owner ID
Andy Borregales,K,3rd World Immigrant,118.58,6.98,125.0,7.81,16,100.0,A+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Drake Maye,QB,3rd World Immigrant,285.26,16.78,336.22,21.01,16,99.82,A+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Jason Myers,K,Chicken Fried Chicken Meal,131.91,7.76,184.0,11.5,16,97.93,A+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Romeo Doubs,WR,Division iPad,126.52,7.44,165.4,10.34,16,97.65,A+,{A279F58E-795F-4115-B9F5-8E795F7115FC}
Eddy Pineiro,K,3rd World Immigrant,0.0,0.0,131.0,10.08,13,95.12,A,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
AJ Barner,TE,"Michael, The Baker",81.84,4.81,143.9,8.99,16,94.6,A,{5E530C03-3F19-48F0-A309-52B769E76347}
Rico Dowdle,RB,Scrappy Dub,83.95,4.94,213.3,13.33,16,92.39,A-,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
Troy Franklin,WR,"Michael, The Baker",79.69,4.69,177.1,11.07,16,91.18,A-,{5E530C03-3F19-48F0-A309-52B769E76347}
Trevor Lawrence,QB,Griddy Little Liars,279.32,16.43,314.88,19.68,16,89.11,B+,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6}
Rams D/ST,D/ST,Chicken Fried Chicken Meal,99.92,5.88,127.0,7.94,16,88.81,B+,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Michael Wilson,WR,3rd World Immigrant,115.81,6.81,199.7,12.48,16,88.25,B+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Adonai Mitchell,WR,I'm Batman,84.4,4.96,87.9,5.86,15,88.08,B+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
Buccaneers D/ST,D/ST,"Michael, The Baker",119.8,7.05,85.0,5.31,16,84.99,B,{5E530C03-3F19-48F0-A309-52B769E76347}
Hunter Henry,TE,"Michael, The Baker",148.14,8.71,168.2,10.51,16,81.75,B-,{5E530C03-3F19-48F0-A309-52B769E76347}
Jaguars D/ST,D/ST,I'm Batman,96.71,5.69,137.0,8.56,16,79.51,C+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
Saints D/ST,D/ST,3rd World Immigrant,69.16,4.07,124.0,7.75,16,78.68,C+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
Colby Parkinson,TE,Scrappy Dub,14.74,0.87,110.2,7.87,14,77.75,C+,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
Tyler Shough,QB,I'm Batman,99.94,14.28,136.2,13.62,10,77.25,C+,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8}
Kimani Vidal,RB,Chicken Fried Chicken Meal,0.0,0.0,115.9,9.66,12,75.23,C,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Harold Fannin Jr.,TE,AJ's Awesome Team,53.49,3.15,186.4,11.65,16,75.13,C,{353273A6-6607-4A68-ADDE-CC045C217594}
Juwan Johnson,TE,Chicken Fried Chicken Meal,117.35,6.9,172.8,10.8,16,73.42,C,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
Bills D/ST,D/ST,Scrappy Dub,113.33,6.67,118.0,7.38,16,71.15,C-,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826}
Dalton Schultz,TE,Mr Steinfeld's Stars,126.05,7.41,166.4,10.4,16,70.23,C-,{99C913F4-1FF6-4361-93D2-117EA19F759C}
Cam Little,K,Griddy Little Liars,131.1,7.71,141.0,8.81,16,69.97,D+,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6}
