Team,Draft Grade,Letter Grade,League Name
The Chase is on,84.408125,B,Game of Yards! 2024
Bhals,83.695,B,Brown Munde 2024
The Hungry Dogs,83.56,B,EBC League 2024
Taco Tuesday Everyday,82.25428571428571,B-,THE BEST OF THE BEST 2024
Division iPad,82.11,B-,0755 Fantasy Football 2024
Partners for What's Possible,81.483125,B-,Pennoni Younglings 2024
Team Rodriguez,81.36642857142859,B-,THE BEST OF THE BEST 2024
Hungry Dogs,80.28066666666668,B-,EBC League 2021
Patrick's Stars,80.2725,B-,0755 Fantasy Football 2024
All my homies hate Dallas,80.19437500000001,B-,0755 Fantasy Football 2024
RAJUN CAJUN,79.9,C+,Turf On Grade 2.0 2024
My Team Hurts,79.706875,C+,RRR On Premise  2023
Trestleches,79.47125,C+,Turf On Grade 2.0 2024
Peter Pan + the Lost Boys ,79.41857142857143,C+,THE BEST OF THE BEST 2024
PAI Alcoholics Anonymous ,78.70875,C+,Pennoni Younglings 2024
Golden Receivers,78.4625,C+,Family Fantasy 2024
Hark,78.36375,C+,Brown Munde 2024
Prahlad's Ghost,78.34625,C+,Pennoni Younglings 2024
Pleasant Valley Panthers,78.1225,C+,EBC League 2024
Pain Inflictors,78.03,C+,Game of Yards! 2021
Philadelphia Bills Mafia,78.0,C+,Pennoni Younglings 2024
Django Achane'd,77.8425,C+,Turf On Grade 2.0 2024
Team Vellapanti,77.63117647058823,C+,Game of Yards! 2021
SIGMAS,77.55,C+,Family Fantasy 2024
Arm Pitts,77.45,C+,0755 Fantasy Football 2023
Skibidi Rizzlers,77.350625,C+,Family Fantasy 2024
Wu-Tangs Killabeez,77.325,C+,THE BEST OF THE BEST 2022
Oh My Josh,77.218125,C+,Family Fantasy 2024
BB,77.134375,C+,Game of Yards! 2024
Team HebAchi,76.99058823529411,C,Game of Yards! 2021
Now there are two of them!,76.96941176470588,C,Turf On Grade 2.0 2023
Control Machete,76.90125,C,Turf On Grade 2.0 2024
Inter Miami CF,76.879375,C,EBC League 2024
THE POOL,76.8775,C,EBC League 2023
Seigaku FC,76.69625,C,EBC League 2022
All Barkley No Bite,76.689375,C,Game of Yards! 2019
I'm Batman,76.686875,C,0755 Fantasy Football 2024
Numb Nutz - CHAMP,76.67625,C,Family Fantasy 2024
PAI India Division Manager,76.618125,C,Pennoni Younglings 2023
Pain Inflictors,76.58764705882353,C,Game of Yards! 2023
Dirty Tone and  The Boys,76.46357142857143,C,THE BEST OF THE BEST 2024
Wakanda Forever,76.39750000000001,C,Game of Yards! 2024
Team Amijaz,76.29117647058824,C,Game of Yards! 2020
Toon Squad,76.26285714285714,C,THE BEST OF THE BEST 2024
Olave Another,76.165,C,0755 Fantasy Football 2024
Eks Gonna Give It To Ya!,76.138125,C,Brown Munde 2023
NoHalfSends,76.105,C,Brown Munde 2023
3rd World Immigrant,76.05875,C,0755 Fantasy Football 2024
Jim-a-sore-ass,75.94,C,Turf On Grade 2.0 2024
Team BB,75.920625,C,Brown Munde 2024
Team CTE,75.91125,C,Game of Yards! 2024
Red River Rising 💪,75.885625,C,RRR On Premise  2023
Team Date,75.84125,C,Turf On Grade 2.0 2024
Brown Munde,75.83588235294118,C,Game of Yards! 2023
NoHalfSends,75.781875,C,Brown Munde 2024
Team Cogs,75.75375,C,Pennoni Younglings 2024
Eli,75.673125,C,Pennoni Younglings 2024
OAC PADS,75.56764705882354,C,Turf On Grade 2.0 2023
Wut happened uh 🤷🏽‍♂️,75.523125,C,EBC League 2022
Off Script ,75.45714285714287,C,THE BEST OF THE BEST 2023
the   jadey bunch,75.455625,C,THE BEST OF THE BEST 2022
Trestleches,75.45,C,Turf On Grade 2.0 2023
 Johnny  Dramas ,75.40125,C,RRR On Premise  2023
Team HebAchi,75.38411764705882,C,Game of Yards! 2023
19th St Halal Cart,75.18625,C,Pennoni Younglings 2022
Team TitBit,75.17117647058824,C,Game of Yards! 2021
Bench Warmer,75.158125,C,RRR On Premise  2023
BurgerBoyz,75.1175,C,Brown Munde 2023
19th St Halal Cart,74.986875,C,Pennoni Younglings 2024
Brown Munde,74.89,C,Game of Yards! 2024
Terrell Suggs to be you,74.74285714285715,C,THE BEST OF THE BEST 2024
the   jadey bunch,74.70642857142856,C,THE BEST OF THE BEST 2023
It's Britney's Bench,74.703125,C,0755 Fantasy Football 2024
19th St Halal Cart,74.683125,C,Pennoni Younglings 2023
THE BIGMADBLUE,74.67823529411764,C,Game of Yards! 2023
Riley  Read option,74.613125,C,EBC League 2024
Amon a Mission,74.56411764705882,C,Game of Yards! 2023
Gabe's Grand Team,74.538125,C,Family Fantasy 2024
Steel Curtain Athletics,74.53235294117647,C,Turf On Grade 2.0 2023
Team Vellapanti,74.523125,C,Game of Yards! 2019
JanSteez,74.52,C,EBC League 2024
Team Date,74.5070588235294,C,Turf On Grade 2.0 2023
Pleasant Valley Panthers,74.458125,C,EBC League 2023
Run CMC,74.41235294117647,C,Game of Yards! 2023
Wakanda Forever,74.315,C,Game of Yards! 2019
The  Never CameBack,74.20058823529412,C,Game of Yards! 2021
Peter Pan + the Lost Boys ,74.1842857142857,C,THE BEST OF THE BEST 2023
Pitman MaleManipulator,74.14375,C,EBC League 2022
Killler jatt ,74.13875,C,Brown Munde 2023
Dirty Tone and  The Boys,74.13375,C,THE BEST OF THE BEST 2022
Team HebAchi,74.1275,C,Game of Yards! 2024
Team Cogs,74.03937499999999,C,Pennoni Younglings 2022
Bhambhwani Pawan Dilip,74.0,C,Game of Yards! 2021
The  Dream crusher,73.98357142857142,C,THE BEST OF THE BEST 2023
Still Rollin',73.91,C,Brown Munde 2023
Did I Set My Lineup?,73.73294117647059,C,Turf On Grade 2.0 2023
Crazy Kat,73.721875,C,THE BEST OF THE BEST 2022
Pitman OBJYN,73.66333333333334,C,EBC League 2021
Team Padodara,73.631875,C,Brown Munde 2023
PAI Alcoholics Anonymous ,73.594375,C,Pennoni Younglings 2022
Pleasant Valley Panthers,73.55533333333332,C,EBC League 2021
"All Barkley, No Bite",73.5025,C,Brown Munde 2023
THE BIGMADBLUE,73.488125,C,Brown Munde 2024
Still Rollin',73.469375,C,Brown Munde 2024
Wakanda Forever,73.45588235294117,C,Game of Yards! 2023
Did I Set My Lineup?,73.01125,C,Turf On Grade 2.0 2024
Multiple Scoregasm,73.00705882352942,C,Game of Yards! 2020
Wakanda Forever,72.98647058823529,C-,Game of Yards! 2020
Reagor Bombs,72.97125,C-,RRR On Premise  2021
