Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 5,5,Christian McCaffrey,RB,BurgerBoyz,292.17,17.19,364.9,22.81,16,100.0,A+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
4 - 7,37,Jaxon Smith-Njigba,WR,The Man In Jahmyrror,203.58,11.98,309.0,19.31,16,100.0,A+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
1 - 2,2,Bijan Robinson,RB,Team BB,321.12,18.89,342.5,21.41,16,100.0,A+,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
3 - 2,22,Jonathan Taylor,RB,Team BB,287.27,16.9,349.4,21.84,16,100.0,A+,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
2 - 1,11,Puka Nacua,WR,NoHalfSends,257.91,15.17,304.5,20.3,15,100.0,A+,{6A39F767-40D1-4825-B0A7-1D20433A3184}
1 - 4,4,Jahmyr Gibbs,RB,The Man In Jahmyrror,296.14,17.42,322.6,20.16,16,99.5,A+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
2 - 3,13,Josh Allen,QB,THE BIGMADBLUE,358.16,21.07,346.62,21.66,16,97.98,A+,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
3 - 8,28,James Cook III,RB,THE BIGMADBLUE,260.94,15.35,306.2,19.14,16,96.07,A,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
3 - 7,27,Trey McBride,TE,"All Barkley, No Bite",265.97,15.65,308.4,19.27,16,95.89,A,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
3 - 3,23,De'Von Achane,RB,Still Rollin',277.56,16.33,298.3,18.64,16,95.22,A,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
9 - 9,89,Dak Prescott,QB,Team Padodara,270.19,15.89,299.58,18.72,16,94.27,A,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
7 - 5,65,George Pickens,WR,BurgerBoyz,191.32,11.25,254.0,15.88,16,93.45,A,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
12 - 9,119,Drake Maye,QB,Team BB,269.9,15.88,314.22,19.64,16,93.42,A,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
1 - 6,6,Derrick Henry,RB,Bhals,286.68,16.86,276.4,17.27,16,93.37,A,{0E22E7FC-569B-49C8-A313-22E034A6865F}
16 - 6,156,Jared Goff,QB,BurgerBoyz,245.84,14.46,263.82,16.49,16,92.83,A-,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
2 - 4,14,Amon-Ra St. Brown,WR,"All Barkley, No Bite",241.61,14.21,254.1,15.88,16,92.55,A-,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
6 - 1,51,Patrick Mahomes,QB,NoHalfSends,310.48,18.26,268.18,19.16,14,92.11,A-,{6A39F767-40D1-4825-B0A7-1D20433A3184}
1 - 1,1,Ja'Marr Chase,WR,Hark,295.56,17.39,246.5,16.43,15,91.97,A-,{8BF15A87-7793-43C2-B15A-87779313C26A}
8 - 7,77,Bo Nix,QB,The Man In Jahmyrror,287.53,16.91,286.3,17.89,16,91.28,A-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
12 - 7,117,Caleb Williams,QB,The Man In Jahmyrror,262.22,15.42,292.1,18.26,16,90.51,A-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
9 - 7,87,Chris Olave,WR,"All Barkley, No Bite",174.06,10.24,225.0,14.06,16,89.05,B+,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
13 - 10,130,Travis Etienne Jr.,RB,NoHalfSends,167.77,9.87,235.6,14.72,16,89.04,B+,{6A39F767-40D1-4825-B0A7-1D20433A3184}
3 - 5,25,Jalen Hurts,QB,BurgerBoyz,349.8,20.58,284.06,17.75,16,88.75,B+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
15 - 9,149,Seahawks D/ST,D/ST,Team Padodara,174.73,10.28,226.0,14.12,16,87.22,B+,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
11 - 10,110,Javonte Williams,RB,NoHalfSends,202.64,11.92,229.3,14.33,16,87.11,B+,{6A39F767-40D1-4825-B0A7-1D20433A3184}
3 - 1,21,Kyren Williams,RB,Hark,278.28,16.37,237.7,14.86,16,87.01,B+,{8BF15A87-7793-43C2-B15A-87779313C26A}
3 - 9,29,Chase Brown,RB,Team Padodara,256.55,15.09,237.1,14.82,16,86.58,B,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
12 - 4,114,Justin Herbert,QB,"All Barkley, No Bite",268.18,15.78,262.88,16.43,16,86.53,B,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
6 - 4,54,Baker Mayfield,QB,"All Barkley, No Bite",293.36,17.26,243.7,15.23,16,86.38,B,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
5 - 10,50,D'Andre Swift,RB,NoHalfSends,214.94,12.64,213.3,14.22,15,86.29,B,{6A39F767-40D1-4825-B0A7-1D20433A3184}
15 - 3,143,Texans D/ST,D/ST,Still Rollin',184.34,10.84,219.0,13.69,16,86.26,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
2 - 7,17,Josh Jacobs,RB,The Man In Jahmyrror,272.46,16.03,219.1,14.61,15,86.04,B,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
1 - 3,3,Saquon Barkley,RB,Still Rollin',317.63,18.68,221.8,13.86,16,85.81,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
11 - 2,102,Brock Purdy,QB,Team BB,292.38,17.2,168.2,21.02,8,85.57,B,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
2 - 2,12,Nico Collins,WR,Team Padodara,250.65,14.74,198.7,13.25,15,84.72,B,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
10 - 1,91,Jaylen Warren,RB,NoHalfSends,226.72,13.34,188.7,12.58,15,84.45,B,{6A39F767-40D1-4825-B0A7-1D20433A3184}
1 - 8,8,Ashton Jeanty,RB,THE BIGMADBLUE,280.74,16.51,213.7,13.36,16,84.41,B,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
14 - 3,133,Jordan Love,QB,THE BIGMADBLUE,252.12,14.83,225.64,15.04,15,83.39,B,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
2 - 5,15,A.J. Brown,WR,Bhals,240.96,14.17,191.3,12.75,15,83.36,B,{0E22E7FC-569B-49C8-A313-22E034A6865F}
5 - 9,49,Breece Hall,RB,Team Padodara,210.26,12.37,198.66,12.42,16,83.18,B,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
11 - 1,101,Brandon Aubrey,K,Hark,139.5,8.21,180.6,11.29,16,83.12,B,{8BF15A87-7793-43C2-B15A-87779313C26A}
3 - 10,30,Davante Adams,WR,NoHalfSends,222.66,13.1,194.9,13.92,14,82.99,B-,{6A39F767-40D1-4825-B0A7-1D20433A3184}
6 - 5,55,Courtland Sutton,WR,Bhals,195.7,11.51,186.2,11.64,16,82.58,B-,{0E22E7FC-569B-49C8-A313-22E034A6865F}
7 - 2,62,Jameson Williams,WR,Team BB,192.69,11.33,185.0,11.56,16,82.11,B-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
1 - 9,9,CeeDee Lamb,WR,Team Padodara,271.15,15.95,175.5,13.5,13,81.66,B-,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
14 - 9,139,Kyle Pitts Sr.,TE,Team BB,145.05,8.53,201.0,12.56,16,81.29,B-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
2 - 8,18,Drake London,WR,Still Rollin',227.29,13.37,162.1,14.74,11,81.22,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
5 - 6,46,George Kittle,TE,Bhals,234.09,13.77,155.6,15.56,10,81.2,B-,{0E22E7FC-569B-49C8-A313-22E034A6865F}
